OBJECTID,Asset Group,SAP ID,Validation State,GlobalID,Description,Site,Site Description,Local Board,Street Name,Street Number,City,Shape__Area,Shape__Length
440,Court,1000145536,3,e24234cd-c605-44c5-8e6a-de3175ce9606,COUR-Summer-Lime-2-Softball Diamond,10931,Rosedale Park,Upper Harbour,Jack Hinton Drive,2,Auckland,1200.3388671875,133.385376212288
441,Sports Field Soil,1000161809,3,5cec50f2-eaf8-4e85-bf2e-1fc40b43ed0c,Winter - Soil - 1 - General Sport,11107,Little Shoal Bay Reserve/Dudding Park,Kaipatiki,Council Terrace,17,Auckland,5204.7578125,358.002198707454
442,Cricket Practice Area,1000711701,3,68349987-dca3-410e-a12d-5ffe07449c99,CricketNet-Astro Wickt-x4 Lanes(By Fld2),10265,Coxs Bay Reserve,Waitemata,West End Road,44-66,Auckland,364.7197265625,80.6512058127986
443,Cricket Wicket,1000142375,3,cda142e2-b634-465d-8b35-ca578683b462,Summer - Astro - Cricket Wicket 1,10408,Crossfield Reserve,Orakei,Crossfield Road,83,Auckland,69.419921875,56.422316650821
444,Cricket Wicket,1000146447,3,832ce5f5-2e0b-43c0-80f8-1dcbc7cc4fa4,Summer - Concrete - Kilikiti Wicket 1,10822,Kohuora Park,Otara-Papatoetoe,Station Road,44R,Manukau,48,51.9999665144227
445,Sports Field Soil,1000137702,3,9d2dd29c-55fc-423b-b014-47c808ab37a8,Sport - Soil Sbj76,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,621.611328125,130.978386905883
446,Sports Field Soil,1000139352,3,b56a3691-1e69-4966-9aed-94fe0baaca5b,Sport - Soil Sbk09,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,258.388671875,58.0422349563223
447,Sports Field Soil,1000139627,3,f4008ebd-f10a-4c8d-83a7-f942f8805797,Sport - Soil Sbj71,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,4300.8701171875,438.318344002935
448,Sports Field Soil,1000140185,3,1727e0e9-34f1-48f7-931e-bb3595324d4f,Winter - Soil - 3 - Football,10415,Melville Park,Albert-Eden,Gillies Avenue,249,Auckland,1103.3427734375,134.949579395028
449,Sports Field Soil,1000139433,3,0b4ba021-c132-4c35-a803-598ea99b1812,Sport - Soil Sbj56,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,8008.861328125,592.344582622988
450,Sports Field Soil,1000137519,3,09748ca5-1015-449a-bb27-dbcd1f02c478,Sport - Soil Sbj34,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,289.1240234375,91.6648734466088
451,Sports Field Soil,1000139646,3,594e658c-6071-4d7d-a1d7-a33628a12ebd,Sport - Soil Sbj77,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,336.1474609375,133.81947386698
452,Sports Field Soil,1000138890,3,412630ba-67e0-48d0-b215-f7e0f300c852,Winter - Soil - 15 - Football,10365,Keith Hay Park,Puketapapa,Richardson Road,660,Auckland Central,6425.8779296875,328.752141849546
453,Sports Field Soil,1000140176,3,2b4a2233-daae-493f-b789-a5d5439c7af6,Winter - Soil - 2 - Football,10415,Melville Park,Albert-Eden,Gillies Avenue,249,Auckland,1103.3251953125,134.948378964543
454,Artificial Sports Field,1000138006,3,d2fc10df-27dd-4dc4-90bd-14156dbf3fbb,Winter - Artificial - 1 - Football,10338,Bill Mckinlay Park,Maungakiekie-Tamaki,Ireland Road,3-35,Auckland Central,8401.2861328125,375.02052451635
455,Sports Field Soil,1000142540,3,6cf0f6d9-5cf5-463a-bd11-db028f2faee4,Winter - Soil - 5 - Football,10415,Melville Park,Albert-Eden,Gillies Avenue,249,Auckland,1103.373046875,134.951548875645
456,Sports Field Soil,1000146126,3,68a89478-9d11-46ba-bde8-2c62ae1dfa39,Winter - Soil - 1 - Rugby League,10738,House Park,Mangere-Otahuhu,Kirkbride Road,241R,Auckland,7547.98828125,357.999371088876
457,Sports Field Soil,1000137598,3,65f9a0dd-70dd-4f83-956a-51c9a8b9417d,Sport - Soil Sbj92,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,1559.607421875,246.074099339679
458,Sports Field Soil,1000141000,3,6411f397-60e8-499a-81c9-4ffe76828f74,Winter - Soil - 4 - League,10394,Fowlds Park,Albert-Eden,Western Springs Road,50,Auckland,3759.265625,253.975324086247
459,Sports Field Soil,1000142531,3,0383d8e4-de41-4aa1-8639-60ac60173084,Winter - Soil - 4 - Football,10415,Melville Park,Albert-Eden,Gillies Avenue,249,Auckland,1103.36328125,134.950827041751
460,Sports Field Soil,1000138597,3,c96979c0-ab0e-4f77-97b3-0fe72fa2c5cb,Winter - Soil - 3 - General Sport,10295,Windmill Park,Albert-Eden,Windmill Road,48,Auckland,693.1123046875,116.05280347171
461,Sports Field Soil,1000142971,3,9a0a7f96-da04-43b3-8023-f67e11bb7827,Winter - Soil - 3 - Football,10535,Massey Park - Waiuku,Franklin,Belgium Street,2,Waiuku,2860.0048828125,218.000242089082
462,Sports Field Soil,1000137486,3,acd9b570-6b9a-4d00-992e-1a43eaa6220d,Sport - Soil Sbk19,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,346.984375,78.063834981096
463,Sports Field Soil,1000139487,3,5576a7e8-a4ef-4580-8649-1901777fa2b3,Sport - Soil Sbj87,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,497.0126953125,93.6014697780139
464,Sports Field Soil,1000133884,3,a9281fb8-3611-4859-b380-99761660a778,Winter - Soil - 2 - Football,10055,"Three Kings Resv, incl Fickling,Metrowat",Puketapapa,Mount Eden Road,1011,Auckland,6174.8935546875,319.248978006635
465,Sports Field Soil,1000139451,3,dc330044-e979-44c2-9157-d3e7e9bcaccc,Sport - Soil Sbj59,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,3732.1474609375,404.588867395505
466,Sports Field Soil,1000140172,3,6d78656f-7578-49b7-b15c-27136e4528dd,Winter - Soil - 1 - Football,10415,Melville Park,Albert-Eden,Gillies Avenue,249,Auckland,1103.36328125,134.950836558262
467,Sports Field Soil,1000140226,3,64903cfe-d069-45ca-9c91-3fdd3de1bdea,Winter - Soil - 1 - Football,10378,Owairaka/Mount Albert,Albert-Eden,Summit Drive,27,Auckland,5077.44140625,296.372072767518
468,Sports Field Sand,1000134051,3,1965e5ca-f3e3-4b7a-ba7a-e6f7d24f6d6c,Winter - Sand - 2 - League,10004,Walker Park,Albert-Eden,Walker Road,7,Auckland,6749.5166015625,337.000341721432
469,Sports Field Soil,1000138978,3,c5d51b38-a291-4736-a04f-dde70e63cbec,Winter - Soil - 3 - Football,10302,Onetangi Sports Park (Rangihoua),Waiheke,O'Brien Road,133-165,Waiheke Island,7854.0146484375,359.123460100883
470,Sports Field Soil,1000134724,3,277ab214-e189-4aca-9b9b-dcdb04fb768e,Winter - Soil - 1 - Multi-Use,10177,Platina Reserve,Orakei,Platina Street,14-16,Auckland,2566.9970703125,207.1797673938
471,Sports Field Soil,1000146135,3,b3760436-13fe-4289-a849-18c3b6ed9f27,Winter - Soil - 2 - Rugby League,10738,House Park,Mangere-Otahuhu,Kirkbride Road,241R,Auckland,7436.990234375,355.999877798055
472,Sports Field Soil,1000139513,3,cacdd8bb-d674-45d6-b7b3-4eef9473e839,Sport - Soil Sbj90,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,11135.9775390625,974.823239344153
473,Sports Field Soil,1000137639,3,cf91944a-2164-4975-bae5-0bcd4e8689d8,Sport - Soil Sbk05,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,2898.6005859375,265.283530759
474,Sports Field Sand,1000146962,3,ae77cc12-4e2c-40ac-9f64-eca1402fb5ea,Winter - Sand - 2 - Football,10756,Millhouse Park,Howick,Millhouse Drive,67R,Auckland,6299.9970703125,319.999931470802
475,Sports Field Soil,1000139469,3,7b0d2b74-5bf3-4ba1-a36c-30650c023f97,Sport - Soil Sbj62,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,978.2919921875,172.762246136643
476,Sports Field Soil,1000142857,3,86207962-478b-4bc4-a7a5-48848fb45e0e,Winter - Soil - 4 - Rugby Union,10534,Karaka Sports Park & Karaka Hall,Franklin,Blackbridge Road,,Franklin,8400.052734375,380.001052967301
477,Sports Field Soil,1000137070,3,97343871-8502-4b34-acac-46a34bb6fe41,Winter - Soil - 2 - General Sport,10295,Windmill Park,Albert-Eden,Windmill Road,48,Auckland,674.478515625,134.318754460377
478,Sports Field Soil,1000135323,3,a0f25ee3-3b44-42eb-9213-9a87c8c20a2a,Winter - Soil - 1 - Rugby,10198,Fearon Park,Puketapapa,Fearon Avenue,21A,Auckland,6419.9453125,333.139349004276
479,Sports Field Soil,1000136885,3,cfd7553c-57de-4172-910c-c2e34f09f6db,Winter - Soil - 8 - Football,10194,Waikaraka Park,Maungakiekie-Tamaki,Neilson Street,175-243,Auckland Central,3094.9873046875,225.23199799493
480,Sports Field Sand,1000757551,3,3d8a5b3f-55bf-4fd5-9d35-eaa49241c505,Winter - Sand - 2 - Rugby Union,10002,Orakei Domain B,Orakei,Reihana Street,40,Auckland,5746.7001953125,322.524985592453
481,Sports Field Soil,1000133695,3,68871836-da6d-41a5-870b-d5d6ee178d29,Winter - Soil - 1 - Football,10053,Martyn Wilson Fields & Sonia Res,Orakei,Shore Road,153,Auckland,4024.5908203125,273.593708228345
482,Sports Track,1000151223,3,39a1a3c8-3669-462f-963d-4b02cccaab1c,Sports Track-Discus Surface,11471,Ceramco Park,Waitakere Ranges,Glendale Road,112,Auckland,135.151361048222,55.1707089766097
483,Sports Field Soil,1000139682,3,d64ba07d-e9dd-4488-9605-19851e3e3c36,Sport - Soil Sbj82,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,164.98046875,47.189319799506
484,Sports Field Soil,1000144012,3,b42e606e-dbd7-4628-b6e1-6e8dabed875b,Winter - Soil - 2 - League,10662,Finlayson Ave Reserve,Manurewa,Finlayson Avenue,76R,Auckland,6000.001953125,319.999703146964
485,Sports Field Sand,1000187037,3,25a008c7-1b4d-473b-84ad-7c4ec82ca564,Winter - Sand - 1 - League,10381,Margaret Griffen Park,Puketapapa,Griffen Park Road,16,Auckland,7615.923828125,360.307111225725
486,Sports Field Soil,1000137397,3,b7ef7402-c7c3-4fa8-8a0d-e759de774e31,Winter - Soil - 1 - Football,10343,Pollard Park,Albert-Eden,Waitomo Avenue,1A,Auckland,6009.4599609375,319.993765364808
487,Sports Field Sand,1000142357,3,d7a9490e-ebaa-4009-b1b2-07c5752083c9,Winter - Sand - 2 - Football,10408,Crossfield Reserve,Orakei,Crossfield Road,83,Auckland,8188.595703125,376.940527894177
488,Sports Field Sand,1000186477,3,4b63cf85-56dd-4bd9-96bf-bd612ea75c78,Winter - Hybrid - 1 - Rugby,10151,Nixon Park,Albert-Eden,Fourth Avenue,7,Auckland,6433.1064453125,327.82424390143
489,Sports Field Soil,1000139478,3,91b9635e-8c5b-4d64-b0f5-80b8b25437c5,Sport - Soil Sbj63,10324,Chamberlain Park,Albert-Eden,Linwood Avenue,46A,Auckland,5121.2314453125,430.518566589553
