OBJECTID,Asset Group,SAP ID,Validation State,GlobalID,Description,Site,Site Description,Local Board,Street Name,Street Number,City,Shape__Area,Shape__Length
1,Court,1000145544,3,9b09c3b4-0117-47b2-a98c-69a9b124a8ab,Petanque Terrian-41000,10652,Omana Esplanade,Franklin,Omana Esplanade,26R,Auckland,144.7001953125,48.1192078673155
2,Court,1000150669,3,d763204d-4a81-4144-b01b-869a838cabd1,Basecourse-Netball x3 indoor,11376,Te Pai Park,Henderson-Massey,Te Pai Place,31-35,Auckland,2170,193.999951030205
3,Cricket Wicket,1000588380,3,7b00982d-e099-4468-ae74-5f7eb3cc8ab2,Summer - Astro - Cricket Wicket 1A,11235,Port Albert Recreation Reserve,Rodney,Wellsford Valley Road,570,Auckland,85.1865234375,58.0028867304597
4,Cricket Wicket,1000584184,3,e25a04a5-36ba-4e4f-bc70-03c88a272f80,Summer - Astro - Cricket Wicket 6A,21624,Avondale Racecourse - Third Party,Whau,Ash Street,2,Auckland,67.763671875,55.2259168641613
5,Cricket Wicket,1000150459,3,7c715e6b-7a37-48ba-a9e8-abeb75f42370,Summer - Soil - Cricket Block 1,11222,Bourne Dean Recreation Reserve,Rodney,Kaipara Flats Road,903,Auckland,272.169921875,73.5984942414748
6,Court,1000152615,3,b0601528-7f04-4517-9f1b-0a4299ad39e9,COUR-Volleyball Court,20299,Melrose Reserve,Devonport-Takapuna,Shoal Bay Road,26,Auckland,215.1953125,84.4805959534687
7,Cricket Wicket,1000146329,3,147254a4-6e70-43da-8f7a-fdc534011608,Summer - Astro - Cricket Wicket 2A,11069,Onewa Domain,Kaipatiki,Northcote Road,44,Auckland,65.8740234375,55.4512276843214
8,Court,1000145835,3,5c4fd83e-3988-4f29-8237-1c06b77d911d,COUC-Basketball-Next Playground,10932,Meadowood Reserve,Upper Harbour,Meadowood Drive,55,Auckland,105.4541015625,43.16513607452
9,Court,1000141155,3,8e5b4842-33b0-4114-8741-3fe1cc673b62,COUR-Basketball - Concrete-37000,10383,Murphy Park,Mangere-Otahuhu,Church Street,102,Auckland,62.4013671875,31.6002534523107
10,Cricket Wicket,1000150087,3,f43cbf11-9a23-4365-9d55-9b50b7b749fb,Summer - Astro - Cricket Wicket 1A,11205,Riverhead War Memorial Park,Rodney,Coatesville-Riverhead Highway,1087,Auckland,67.3037109375,58.4352879814152
11,Court,1000144672,3,2eac5961-2b1c-4773-a7b4-fdd246802921,COUR-Basketball-NW of skatepark,10751,David Lange Park,Mangere-Otahuhu,Bader Drive,98R,Auckland,220.8837890625,62.0474817343425
12,Sports Track,1000150096,3,8675d227-00d9-4616-81c9-34acb718734c,STRA-ATHL-Longjump E of playground,11205,Riverhead War Memorial Park,Rodney,Coatesville-Riverhead Highway,1087,Auckland,75.65625,36.8800108586117
13,Cricket Wicket,1000584183,3,fb517156-f64e-43b7-8609-deb4f45b91de,Summer - Astro - Cricket Wicket 4A,21624,Avondale Racecourse - Third Party,Whau,Ash Street,2,Auckland,68.7509765625,55.4999692986314
14,Cricket Wicket,1000145777,3,740a1910-79b7-4392-ab15-c91355288bbe,Summer - Astro - Cricket Wicket 1A,10926,Shepherds Park,Kaipatiki,Cresta Avenue,31-35,Auckland,87.1416015625,62.3964085133075
15,Court,1000148958,3,2e8da919-fe7a-4989-801c-774c8c8a8671,COUR-Volleyball-SW of carpark,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,176.150390625,55.572295823771
16,Court,1000163645,3,381d9db6-b819-44cd-96ea-f1b8ec81cf05,COUC-Tennis practice court,22445,Baddeleys Beach Reserve,Rodney,Baddeleys Beach Road,1,Auckland,106.4541015625,41.8471776840835
17,Cricket Wicket,1000148262,3,1d6cde3c-5fd1-4456-8bab-6ca8aa5ddcbf,Summer - Astro - Cricket Wicket 2A,11053,Bay City Park,Upper Harbour,Andersons Road,50,Auckland,81.21875,64.803448795784
18,Court,1000148041,3,c93a9a34-9b94-42c7-91e6-694d36463081,COUC-Tennis-Volley,10935,Greenhithe War Memorial Park,Upper Harbour,Roland Road,10,Auckland,76.3935546875,37.3750614068535
19,Court,1000164554,3,816d87d9-77d4-4b00-b08e-9dac184fa254,COUC-Basketball Court - 10x10,22199,Stanaway Reserve,Kaipatiki,Stanaway Street,36,Auckland,136.0419921875,46.6756404410075
20,Cricket Wicket,1000148967,3,51eb846d-520a-42dc-9f33-26947fc9a973,Cricket Net - Astro Wicket - x2 Lanes,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,269.65234375,86.9681895700052
21,Court,1000136333,3,fc4f3d0a-90de-4eeb-9344-b57113887250,BBAL - Half Court by volleyball,10107,Eastdale Reserve,Whau,Eastdale Road,33-37,Auckland,37.2412109375,24.4102601386649
22,Cricket Wicket,1000146695,3,f4ad3bdf-5748-41fd-bb0d-49a16032a73c,Summer - Astro - Cricket Wicket 1A,11072,Sunnynook Park,Devonport-Takapuna,Sunnynook Road,90,Auckland,70.826171875,59.1531151851598
23,Cricket Wicket,1000148800,3,59389cc7-8c7d-4125-919c-59ebfd6f940f,Cricket Wicket Astro - x3 Lanes,11275,Stanmore Bay Park,Hibiscus and Bays,Brightside Road,159-177,Auckland,169,52.0000021111683
24,Court,1000151593,3,5ed7393f-36c7-4dc8-b0f3-d334aca56ef4,Courts-Basketball Half Court,11418,Lawson Park,Whau,Willerton Avenue,38,Auckland,33.8671875,23.2946042448237
25,Court,1000148940,3,e9a99bdb-cb42-4b8c-9149-510da8084f35,COUR-Tennis,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,457.328125,96.0502661868188
26,Cricket Wicket,1000145360,3,358f60a7-df60-4e07-a784-de1d6fd8cf16,Summer - Concrete - Kilikiti Wicket 1,10646,Mayfield Park,Otara-Papatoetoe,Hills Road,42R,Auckland,84.0029296875,65.600132003184
27,Cricket Wicket,1000149321,3,7c7a0271-5ef4-4464-81ff-59d700ed4fbf,Summer - Astro - Cricket Wicket 1A,11141,Bayswater Park,Devonport-Takapuna,Bayswater Avenue,131,Auckland,65.3916015625,54.7575585794947
28,Cricket Wicket,1000149599,3,e0dcd3f5-a266-41f4-8c94-2373f3ce7a17,Summer - Astro - Cricket Wicket 1A,11128,Vauxhall Sportsfields,Devonport-Takapuna,Vauxhall Road,28,Auckland,75.53125,64.1883895205951
29,Court,1000148949,3,a9ce9197-e2f2-4242-9227-17cddd7d6982,COUR-Tennis,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,527.98828125,100.240614951815
30,Cricket Wicket,1000145909,3,577125dc-5706-4761-b2ce-2bb381fd51b8,Summer - Astro - Cricket Wicket 1A,10927,Onepoto Domain,Kaipatiki,Tarahanga Street,24,Auckland,75.3046875,63.3970590542558
31,Cricket Wicket,1000147669,3,234f4a80-1667-454b-a1ee-fddb05ffaf14,Summer - Astro - Cricket Wicket 1,10887,Te Puru Park,Franklin,Whitford Maraetei Road,954R,Auckland,74.369140625,56.5194918918937
32,Court,1000148869,3,bec27ada-9326-4293-94b4-b5b633161777,COUH-Tennis-E of playing fields,11107,Little Shoal Bay Reserve/Dudding Park,Kaipatiki,Council Terrace,20,Auckland,578.345703125,100.425609699076
33,Court,1000730528,3,019b9fe6-afbb-47ef-ae3f-1aa96b64b4a0,SURF - Half Court surface,10418,Riversdale Reserve,Whau,Riversdale Road,93,Auckland,82.560546875,39.582857019489
34,Court,1000146940,3,daa35646-712f-4884-9851-2a8225ffa4c5,COUR-Tennis-3 crts west of clubhouse,11059,Mairangi Bay Park,Hibiscus and Bays,Maxwelton Drive,63,Auckland,1713.12109375,164.126250106814
35,Cricket Wicket,1000146616,3,3952541a-3269-476f-8e79-2e138c3f16b9,Summer - Soil - Cricket Block 1,11087,Stanley Bay Park,Devonport-Takapuna,Calliope Road,166,Auckland,221.169921875,67.6185623491775
36,Cricket Wicket,1000151748,3,49fb4a74-5f3d-42c1-bcfe-2cc1d706ff9d,Summer - Soil - Cricket Block 1,11366,Ken Maunder Park,Whau,Binsted Road,34,Auckland,493.5703125,93.6925507739165
37,Court,1000015275,3,fed378c6-8fed-452c-9188-e609d2ad7071,COUR-Basketball/Tennis Court,20996,Malcolm Hahn Memorial Reserve,Upper Harbour,Waimarie Road,39,Auckland,549.85546875,101.401923304553
38,Cricket Wicket,1000147251,3,3b18c7a4-5934-4d27-bd93-6b1d04e3cd05,Summer - Astro - Cricket Wicket 3A,11054,Birkenhead War Memorial Park,Kaipatiki,Birkenhead Avenue,102,Auckland,75.03125,60.198492335416
39,Court,1000157566,3,67932453-9052-4a9d-ba46-8641718cf73d,SURF - Half Court 1_basketball,21048,Waima Reserve,Waitakere Ranges,Boylan Road,2,Auckland,99.69921875,39.9472651792548
40,Cricket Wicket,1000146223,3,d89aa73c-aa94-4261-a0be-d0eafa38995e,Summer - Astro - Cricket Wicket 1A,10930,Wainoni Park North,Upper Harbour,Churchouse Road,56,Auckland,72.6484375,64.9199392637901
41,Cricket Wicket,1000141834,3,acba996f-0ad3-4a9f-99e0-25bf2913d821,Summer - Astro - Cricket Wicket 1,10401,Thomas Bloodworth Park,Orakei,Shore Road,2-30,Auckland,62.6396484375,54.8489138726266
42,Cricket Wicket,1000150048,3,0e598abb-b6b8-4202-8833-f24ecd473ccb,Summer - Astro - Cricket Wicket 2A,11211,Wellsford Centennial Park,Rodney,Centennial Park Road,83,Auckland,42.81640625,43.9733330563417
43,Court,1000148881,3,24d606b3-5b2a-4306-9c38-fd4345900c3a,COUR-Tennis-6 crts east of clubhouse,11059,Mairangi Bay Park,Hibiscus and Bays,Maxwelton Drive,63,Auckland,2949.3466796875,238.344575705169
44,Cricket Wicket,1000150206,3,f8d0e362-c242-4433-9925-4c40671237e4,Summer - Astro - Cricket Wicket 1A,11213,Rautawhiri Park,Rodney,Rautawhiri Road,164,Auckland,84.80859375,65.4924958014773
45,Cricket Wicket,1000584182,3,6790101a-2a42-4fff-bba1-f442001b7180,Summer - Astro - Cricket Wicket 4A,10107,Eastdale Reserve,Whau,Eastdale Road,33-37,Auckland,71.0380859375,55.7788750770757
46,Court,1000148432,3,a0e0bf3d-5634-44df-bfba-1efa3c259d1d,COUR-Sand-Volleyball-adj Surf Club c/prk,11273,Orewa Reserve,Hibiscus and Bays,Hibiscus Coast Highway,265,Auckland,377.732421875,79.4430000965084
47,Cricket Wicket,1000584178,3,62608ae9-df9a-4bb3-8c0a-4aa879924e0f,Summer - Astro - Cricket Wicket 2A,10418,Riversdale Reserve,Whau,Riversdale Road,93-123,Auckland,69.7236328125,56.8463268188871
48,Cricket Practice Area,1000727455,3,13e11b59-47be-4992-b48a-a00859ed4ebc,Cricket Net - Astro Wicket - x3 Lanes,10200,Victoria Park,Waitemata,Victoria Street West,203-271,Auckland,287.3193359375,75.3091472293768
49,Cricket Wicket,1000148379,3,a61874f8-af08-459d-b7b3-cfc2b785c11a,Summer - Astro - Cricket Wicket 1a,11069,Onewa Domain,Kaipatiki,Northcote Road,44,Auckland,65.921875,55.1976986645053
50,Court,1000151224,3,016dcbe9-e7fb-4710-b653-cd8e00492029,COUC-Bball-By p/grnd,20054,Greville Reserve,Devonport-Takapuna,Forest Hill Road,R 253,Auckland,135.134765625,48.671305690156
51,Court,1000150145,3,7f1fdb2c-e7b6-4401-90c2-3b8fb31fadd8,PETA-Along Side Lesiure Centre,11275,Stanmore Bay Park,Hibiscus and Bays,Brightside Road,159-177,Auckland,446.6611328125,84.3578413924882
52,Court,1000156973,3,52e54fdf-5361-4850-a505-a4f705c70d9b,SURF - Half Court,21295,Flaunty Reserve,Henderson-Massey,Flaunty Place,24,Auckland,241.120972631878,65.0907078340554
53,Cricket Wicket,1000584181,3,0860b4f2-67c4-4059-b45c-8b53e7f0ba45,Summer - Astro - Cricket Wicket 5A,10107,Eastdale Reserve,Whau,Eastdale Road,33-37,Auckland,60.4287109375,54.5046102199558
54,Court,1000149412,3,be943700-8257-4ce3-abfd-9e82b102d1d0,COUH-Tennis-Netball #4,11201,Huapai Recreation Reserve,Rodney,Tapu Road,46,Auckland,811.9130859375,122.833241696476
55,Cricket Wicket,1000152665,3,af222ac1-6338-456f-a0f6-0e16bebb014d,Summer - Soil - Cricket Block 1,20405,Colin Maiden Park,Orakei,Merton Road,71-73,Auckland,325.12890625,80.2756509874238
56,Court,1000146828,3,e6601fe2-ccf9-42a7-a5c2-c9d348a68d49,COUC-Netball,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,641.94140625,107.680341531607
57,Cricket Wicket,1000584193,3,a86900a9-0841-4cb3-a12c-6ddf50525b48,Summer - Astro - Kilikiti Wicket 2A,22677,Archibald Park,Whau,Archibald Road,109,Auckland,52.861328125,54.4455724685199
58,Cricket Wicket,1000146170,3,69a07899-8db9-454f-8199-025872fc8e04,Summer - Soil - Cricket Block 1,10998,Devonport Domain,Devonport-Takapuna,King Edward Parade,52,Auckland,422.0693359375,86.0017986051228
59,Court,1000163666,3,24100e04-fc2a-4af6-8873-f6fa98b91f47,SURF - Basketball Half Court,22531,Starforth Reserve,Henderson-Massey,Starforth Place,32,Auckland,160.30078125,69.1129979625051
60,Court,1000166230,3,dab2afb1-58ce-457e-997e-496e5da7d225,Petanque Courts-Petanque,22674,Ambrico Reserve,Whau,Ambrico Place,5,Auckland,53.9140625,31.0144899650118
61,Cricket Wicket,1000148731,3,90d471d8-8a73-4e46-950a-f3528d2ee3cb,Cricket Net - Astro Wicket - x2 Lanes,11087,Stanley Bay Park,Devonport-Takapuna,Calliope Road,166,Auckland,44.27734375,27.0540420331975
62,Cricket Wicket,1000146177,3,c6df43eb-79cd-4fee-8139-f099e1bd062b,Summer - Soil - Cricket Block 3,10998,Devonport Domain,Devonport-Takapuna,King Edward Parade,52,Auckland,164.6689453125,64.89881726074
63,Cricket Wicket,1000704383,3,bfa079a0-cac2-40c7-81f0-c97f4804a673,Astro - Cricket Wicket 2A,11201,Huapai Recreation Reserve,Rodney,Tapu Road,46,Auckland,59.3056640625,52.1848957037754
64,Cricket Wicket,1000584179,3,256deef4-eeff-401f-9382-b534dd8e9b79,Summer - Astro - Cricket Wicket 1A,10418,Riversdale Reserve,Whau,Riversdale Road,93-123,Auckland,62.927734375,54.1647085253867
65,Court,1000152211,3,0b3ea38f-8a39-4a2c-a59a-4e1040e92bab,Courts - Basketball Half Court 2,11482,Olympic Park,Whau,Portage Road,36,Auckland,99.197265625,39.8413898638975
66,Cricket Wicket,1000150215,3,80e61587-8fc9-46dc-8ae1-e20e7dfc4224,Summer - Astro - Cricket Wicket 2A,11213,Rautawhiri Park,Rodney,Rautawhiri Road,164,Auckland,68.625,55.6384177126018
67,Cricket Wicket,1000148740,3,5bf0473e-4f10-4859-a7a4-d8b1a9bc80e3,Summer - Astro - Cricket Wicket 2A,11087,Stanley Bay Park,Devonport-Takapuna,Calliope Road,166,Auckland,46.3173828125,55.1001328296949
68,Court,1000145768,3,c3f98226-9358-4625-a053-ac97a40e53ff,COUR-Tennis Court (X4),10926,Shepherds Park,Kaipatiki,Cresta Avenue,31-35,Auckland,2256.4794921875,196.127227654821
69,Cricket Wicket,1000146190,3,4487d9c9-9fff-46b5-862e-62755f9d3318,Summer - Soil - Cricket Block 4,10998,Devonport Domain,Devonport-Takapuna,King Edward Parade,52,Auckland,162.2060546875,63.7057884385164
70,Court,1000148474,3,46c4a0f9-9fa7-4dde-a918-9691e8666de6,COUR-Tennis Court,11056,Freyberg Park,Hibiscus and Bays,Woodlands Crescent,4,Auckland,2565.4287109375,212.170124195797
71,Cricket Wicket,1000150906,3,ca7897dd-44b0-4af7-a16a-79377cde3502,Summer - Astro - Cricket Wicket 1A,20024,Silverdale War Memorial Park,Hibiscus and Bays,Hibiscus Coast Highway,12,Auckland,57.10546875,48.8674274988013
72,Court,1000163200,3,2346ccbf-c560-41d2-89a9-af7462abc596,COUC-Basketball Half Court,23398,Fernbank Stormwater Reserve,Upper Harbour,George Deane Place,36,Auckland,25.8779296875,20.3515040269401
73,Cricket Wicket,1000147414,3,74b9c4ab-fb20-42ff-b642-c4e058539637,Cricket Net - Astro Wicket - x3 Lanes,10998,Devonport Domain,Devonport-Takapuna,King Edward Parade,52,Auckland,438.6591796875,96.5322467178356
74,Cricket Wicket,1000146558,3,fddd12b8-64dc-443b-847f-45eb2370ea20,Summer - Astro - Cricket Wicket 1A,11056,Freyberg Park,Hibiscus and Bays,Woodlands Crescent,4,Auckland,78.6708984375,64.9973475712405
75,Cricket Wicket,1000150220,3,80abc850-49af-4cd2-9b01-d347b7e9b79b,Cricket Net - Astro Wicket - x3 Lanes,11263,Victor Eaves Park,Hibiscus and Bays,West Hoe Road,122,Auckland,169.8623046875,52.1858936728588
76,Court,1000165029,3,87b4d245-45da-45d0-a250-26d5df803d7c,SURF-Concrete area,22560,Semillon Reserve,Henderson-Massey,Semillon Avenue,23,Auckland,98.08203125,39.6163117923551
77,Cricket Wicket,1000149583,3,e150caba-07e3-4a6a-aa83-7d3409170cc7,Summer - Astro - Cricket Wicket 4A,11201,Huapai Recreation Reserve,Rodney,Tapu Road,46,Auckland,79.1416015625,56.4761643005651
78,Cricket Wicket,1000141843,3,8c76a9c3-f24b-4311-8984-35dd13f1fc05,Summer - Astro - Cricket Wicket 7,10401,Thomas Bloodworth Park,Orakei,Shore Road,2-30,Auckland,48.8740234375,41.1316072465974
79,Cricket Wicket,1000584185,3,115f1e54-af25-4868-bd11-06a3a8154a9f,Summer - Astro - Cricket Wicket 1A,21624,Avondale Racecourse - Third Party,Whau,Ash Street,2,Auckland,68.7490234375,55.4999528843955
80,Cricket Wicket,1000151757,3,e4996d5e-402d-416b-b073-afa8c30f21ca,Summer - Soil - Cricket Block 2,11366,Ken Maunder Park,Whau,Binsted Road,34,Auckland,312.4541015625,79.929872264699
81,Court,1000160385,3,8d2f5689-5101-4ea4-9084-f0e797104e53,COUC-B/ball-Half-Opp Widdison Pl a/w,21887,The Landing,Upper Harbour,Landing Drive,86,Auckland,25.3681640625,20.1514380507819
82,Court,1000146799,3,ee251b52-b923-4542-a154-cad72e7ff765,COUR-Rubber-8-Netball,10751,David Lange Park,Mangere-Otahuhu,Bader Drive,98R,Auckland,752.0478515625,114.432659876008
83,Court,1000193676,3,4f2d11ec-5e28-4254-a2c3-beef4f1bb7ee,SURF - Basketball Half x2-Mid & S courts,11335,Parrs Park,Waitakere Ranges,Parrs Cross Road,131A,Auckland,200.83984375,59.8591423928542
84,Cricket Wicket,1000150640,3,db9af660-ab55-4ce3-a3ad-73ef6836fe8d,SURF - Summer/Astro - Cricket Wicket 6A,11435,Te Atatu Peninsula Park,Henderson-Massey,Neil Avenue,39,Auckland,72.486328125,55.8239479837007
85,Cricket Wicket,1000151730,3,491108c7-1d32-4b58-ae1f-3539c285bddb,Summer - Astro - Cricket Wicket 2A,11366,Ken Maunder Park,Whau,Binsted Road,34,Auckland,97.0810546875,65.3354049541914
86,Cricket Wicket,1000148137,3,ff84eaee-9135-4892-af31-f2c79a205513,Summer - Sand - Cricket Block 1,11263,Victor Eaves Park,Hibiscus and Bays,West Hoe Road,122,Auckland,499.5791015625,92.2322693833565
87,Court,1000012601,3,66b7c62f-da51-4770-b38b-5ebc93eabb7a,COUR-Basketball Half Court,10279,Canal Reserve,Whau,Canal Road,14-18,Auckland,63.2001953125,31.7999654873792
88,Cricket Wicket,1000145786,3,65f1928e-de6d-4020-bb57-be2ba6a4042c,Summer - Sand - Cricket Block 2,10926,Shepherds Park,Kaipatiki,Cresta Avenue,31-35,Auckland,251.322265625,73.0990549337712
89,Court,1000155910,3,2674d3c2-d35f-462d-8c2f-661106a2bc38,COUR-Half Court-Basketball-Conc-37000,20760,Harania/Marys Foreshore Reserve,Mangere-Otahuhu,Harania Avenue,38R,Auckland,98.8388671875,39.7675222026759
90,Court,1000156381,3,bc56cc04-65d0-4eda-a931-0e32634b57c6,COUC-Basketball,21119,Rewi Alley Reserve,Kaipatiki,Trias Road,52,Auckland,93.703125,38.7377246616898
91,Court,1000164720,3,ee7b5f66-0227-465a-931b-9a0ded7635b8,COUC-B/ball-by p/grnd,22161,Lynn Reserve,Kaipatiki,Lynn Road,107,Auckland,100.576171875,40.1157070906233
92,Court,1000150794,3,309ee785-dd7d-4a19-bf39-a245d5fef092,SURF-Netball Court,11445,Laingholm Hall Reserve,Waitakere Ranges,Victory Road,69,Auckland,399.38671875,84.4625597464159
93,Cricket Wicket,1000034381,3,502a9f3f-5de0-47cb-aac1-75a5c1096e29,SURF-Cricket Wicket 1A,11395,Corban Reserve,Henderson-Massey,Henderson Valley Road,,Auckland,56.900390625,54.5177093910295
94,Court,1000150729,3,ee8ddd99-84b0-40f8-aa57-3cb8b6da09d8,SURF - Basketball Half Court,11350,Swanson Station Park,Waitakere Ranges,Swanson Road,760,Auckland,96.490234375,39.2996985183897
95,Court,1000148793,3,a9759452-7a03-4ce2-8534-f630bba2ee8f,PETA-Near playground,11222,Bourne Dean Recreation Reserve,Rodney,Kaipara Flats Road,903,Auckland,119.9970703125,45.999807919017
96,Court,1000146837,3,ead14ff9-3c60-4922-9107-559fdba02722,COUC-Tennis-Practice Area,11089,Woodall Park,Devonport-Takapuna,Old Lake Road,2,Auckland,64.162109375,34.0347321214471
97,Court,1000005355,3,2242ecd0-4533-4d54-ab5f-a2b068a00240,SURF - Half Court surface,22650,Bob Hill Reserve,Whau,Hill Crescent,18,Auckland,100.2197265625,40.0438490822521
98,Cricket Wicket,1000584186,3,820aab4a-2b69-4f66-8f15-24e5aed51bca,Summer - Astro - Cricket Wicket 10A,21624,Avondale Racecourse - Third Party,Whau,Ash Street,2,Auckland,68.7490234375,55.4999328886858
99,Court,1000147004,3,cb713b9f-0236-4e5b-8bc6-5044d3502e44,COUR-Tennis LEASED,11074,Taharoto Park,Devonport-Takapuna,Taharoto Road,13,Auckland,81.9365234375,36.2724931668204
100,Cricket Wicket,1000148483,3,f456c13b-ab18-466e-861b-24abc9021300,Summer - Astro - Cricket Wicket 2A,11056,Freyberg Park,Hibiscus and Bays,Woodlands Crescent,4,Auckland,77.7529296875,65.3873287224825
101,Cricket Wicket,1000149574,3,e6dcafce-fbc2-4749-8d51-fb65d7438adc,Summer - Astro - Cricket Wicket 3A,11201,Huapai Recreation Reserve,Rodney,Tapu Road,46,Auckland,79.1416015625,56.4761643003571
102,Court,1000146526,3,e84b9592-1fa6-4099-b63b-0c5e4d8f8b49,COUH-Tennis-RHS road to summit,11085,Takarunga/Mt Victoria,Devonport-Takapuna,Kerr Street,24,Auckland,1005.732421875,128.048230861083
103,Cricket Wicket,1000584187,3,413b5dd9-1f0c-4844-8c8f-4126f45ae353,Summer - Astro - Cricket Wicket 3A,21624,Avondale Racecourse - Third Party,Whau,Ash Street,2,Auckland,68.7333984375,55.4863180651621
104,Court,1000148308,3,d605ade4-dc62-4a1b-abf1-b635a6563756,COUC-B/ball-next to playground,11272,Martins Bay Rec Reserve & Holiday Park,Rodney,Martins Bay Road,287,Auckland,144.0009765625,47.9999859289013
105,Cricket Wicket,1000152682,3,990d35fb-7730-4b3a-b0ea-52d0f70d097d,Summer - Soil - Cricket Block 5,20405,Colin Maiden Park,Orakei,Merton Road,71-73,Auckland,415.4951171875,86.390330459658
106,Court,1000149388,3,99848629-9e7e-479b-a569-a46c2415276a,COUH-Multi-Tennis-B/ball-N/ball #1,11201,Huapai Recreation Reserve,Rodney,Tapu Road,46,Auckland,821.2548828125,122.434870380746
107,Court,1000148032,3,eca78c11-fc85-4c3c-9198-d029bae5f281,COUR-Tennis Court LEASED,10935,Greenhithe War Memorial Park,Upper Harbour,Roland Road,10,Auckland,1113.0498046875,135.325525644769
108,Court,1000164801,3,d62aeed2-3561-4359-a7d4-aeb34367c41d,SURF - Half Court,22487,Dalmatia Green,Henderson-Massey,Chislehurst Street,7,Auckland,98.794921875,41.674069228185
109,Cricket Wicket,1000148322,3,b96a359e-4437-4b12-9f7c-5519f7139e6a,Summer - Soil - Cricket Block Brian Neal,11201,Huapai Recreation Reserve,Rodney,Tapu Road,46,Auckland,367.064453125,80.3470493585722
110,Cricket Wicket,1000146338,3,12c0ae4f-9449-4d43-bbe4-68af61d06679,Summer - Sand - Cricket Block 1,11069,Onewa Domain,Kaipatiki,Northcote Road,44,Auckland,381.5546875,81.675860305005
111,Court,1000148890,3,ba6c3164-01d2-4f3b-86a9-aa1781aa03dc,COUC-B/ball (keyhole) by toilet block,11059,Mairangi Bay Park,Hibiscus and Bays,Maxwelton Drive,63,Auckland,139.1240234375,48.708594302128
112,Court,1000150136,3,116c10d3-48a9-4220-a7d3-71d37de908c5,COUC-Basketball-By Skate Park,11275,Stanmore Bay Park,Hibiscus and Bays,Brightside Road,159-177,Auckland,261.001953125,64.8001038061198
113,Court,1000148754,3,abe3dffc-0d4f-45a4-a982-6daad4c0b1b7,COUC-Basketball Half Court - 10x10,11058,Okura Reserve,Hibiscus and Bays,Okura River Road,81,North Shore,33.736328125,23.8344701510936
114,Cricket Wicket,1000146174,3,3e9e3a77-3fd9-4bfb-a628-cdc0872b7716,Summer - Soil - Cricket Block 2,10998,Devonport Domain,Devonport-Takapuna,King Edward Parade,52,Auckland,309.533203125,76.3197765487371
115,Court,1000145979,3,7de36ff9-f784-452f-8c82-4870b0a2441d,COUR-Tennis Court LEASED,10935,Greenhithe War Memorial Park,Upper Harbour,Roland Road,10,Auckland,1087.107421875,132.473943277168
116,Court,1000156145,3,c6bc6033-ada6-4dc5-9140-f2ef5bd928e4,SURF - Half Court 2_voleyball,21048,Waima Reserve,Waitakere Ranges,Boylan Road,2,Auckland,67.7265625,34.083325480957
117,Cricket Wicket,1000028447,3,46a7a08e-49b1-4aaf-aba2-28dfd882e827,SURF-Cricket Wicket 1A,11393,Henderson Park - Henderson,Henderson-Massey,Wilsher Crescent,41,Auckland,71.216796875,49.4891627835578
118,Court,1000153619,3,61dedc70-0949-43c6-a970-b38f0e988c97,COUC-B/ball by p/grnd-10x10,20076,Hooton/Oteha Valley/Gills/Anaharta Resv,Upper Harbour,Oteha Valley Road,259,Auckland,39.2197265625,25.014674364834
119,Court,1000160660,3,be2e670b-0475-4edd-816f-1b0983dc1ca0,COUR - Basketball - Concrete-37000,21638,Bedingfield Memorial Park,Mangere-Otahuhu,Princes Street East,127,Auckland,162.0791015625,50.7757334787224
120,Cricket Wicket,1000152656,3,3ec7dc36-312b-4eba-8f0c-ed7fa1f37a1b,Summer - Astro - Cricket Wicket 1,20405,Colin Maiden Park,Orakei,Merton Road,71-73,Auckland,85.76171875,64.2280729219041
121,Court,1000099020,3,96b50574-58f0-4d95-a91d-8f8bc802aa33,,,,,,,,2094.6474609375,187.155158503762
122,Cricket Wicket,1000149565,3,d45d3aa0-f0ea-4ae8-8ec1-d477a32e2f5a,Summer - Astro - Cricket Wicket 2A,11201,Huapai Recreation Reserve,Rodney,Tapu Road,46,Auckland,84.671875,66.1038628877467
123,Cricket Wicket,1000150332,3,e5e04934-b445-4073-bf07-a50732234285,Summer - Astro - Cricket Wicket 1A,11275,Stanmore Bay Park,Hibiscus and Bays,Brightside Road,159-177,Auckland,68.0029296875,55.4142461695709
124,Court,1000192646,3,b0cdec47-369b-4f2a-9489-8307ca487b18,COUR-Tennis/Basketball Court,22524,Connemara Reserve,Upper Harbour,Connemara Court,38,Auckland,590.8408203125,103.12547554247
125,Court,1000151255,3,c71c418c-dec7-4c95-a38f-7303047d4324,SURF - Half Court_Basketball,11479,Neville Power Memorial Park,Henderson-Massey,Kirrie Avenue,,Auckland,100.5107421875,40.1040674037618
126,Court,1000025474,3,7b019a00-620a-4959-b339-31bb90e120bf,SURF-Netball court,11469,Harold Moody Reserve Duck Park,Waitakere Ranges,Glendale Road,40,Auckland,526.44140625,96.7457731650673
