Drug Free Sport NZ,,,,
Graeme Steel - Chief Executive,Disclosure Period: July 2016 - June 2017,,,
International and Domestic Travel Expenses,,,,
International Travel,Credit Card Expenses,,,
21/06/2017, $33.00 ,Lunch CAS Hearing x4,Lunch,Auckland
22/06/2017, $40.20 ,Lunch CAS Hearing x3,Lunch,Auckland
, $784.38 ,,,
,,,,
Hospitality provided,Non credit card expenses,,,
,,,,
Date(s),Amount ($NZ),Purpose,Nature,Locations
,,,,
,,,,
,,,,
Total hospitality expenses for the 12 months, $784.38 ,,,
,,,,
Gifts and Hospitality received,,,,
,,,,
Date(s),Amount ($NZ),Purpose,Nature,Locations
7/06/2017, $400.00 ,Networkng at Rugby Match,2x Ticket & Hositality,Eden Park
16/06/2017, $400.00 ,Networkng at Rugby Match,2x Ticket & Hositality,Eden Park
, $800.00 ,,,
,,,,
Total gifts and hospitality received for the 12 month period, $800.00 ,,,
,,,,
Others,,,,
Date(s),Amount ($NZ),Purpose,Nature,Locations
Jul-16, $270.00 ,ANZ ,Sports membership,-
11/03/2017, $25.01 ,Adaptor,Pharmacie Metro Ouchy,Switzerland
Full Year, $750.00 ,Mobile Phone,Mobile Phone,-
Full Year," $60,665.00 ",NZ Herald,Daily News Paper,Auckland
," $61,710.01 ",,,
,,,,
Total other expenses for the 12 month period," $61,710.01 ",,,
