Financial year,Industry,Industry Code,Quartile label,Financial benchmark,Value type,Value,Value Unit,Value Label,Null Reason
2024,Accommodation,H4400,Micro,Gross profit ratio,Median (50th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Micro,Liability structure,Lower bound (25th percentile),-0.02,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Micro,Liability structure,Upper bound (75th percentile),0.85,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Micro,Liability structure,Median (50th percentile),0.24,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Micro,Quick ratio,Lower bound (25th percentile),0.04,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Quick ratio,Upper bound (75th percentile),2.53,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Quick ratio,Median (50th percentile),0.31,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Current ratio,Lower bound (25th percentile),0.04,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Current ratio,Upper bound (75th percentile),2.67,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Current ratio,Median (50th percentile),0.35,percentage,% of total current liabilities,
2024,Accommodation,H4400,Micro,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Micro,Return on equity,Upper bound (75th percentile),0.22,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Micro,Return on equity,Median (50th percentile),0.02,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Micro,Return on total assets,Lower bound (25th percentile),0,percentage,% of total assets,
2024,Accommodation,H4400,Micro,Return on total assets,Upper bound (75th percentile),0.05,percentage,% of total assets,
2024,Accommodation,H4400,Micro,Return on total assets,Median (50th percentile),0.01,percentage,% of total assets,
2024,Accommodation,H4400,Micro,Salaries and wages / turnover ratio,Lower bound (25th percentile),0,percentage,% of turnover income,
2024,Accommodation,H4400,Micro,Salaries and wages / turnover ratio,Upper bound (75th percentile),0,percentage,% of turnover income,
2024,Accommodation,H4400,Micro,Salaries and wages / turnover ratio,Median (50th percentile),0,percentage,% of turnover income,
2024,Accommodation,H4400,Micro,Stock turnover per annum,Lower bound (25th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Micro,Stock turnover per annum,Upper bound (75th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Micro,Stock turnover per annum,Median (50th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Small,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Small,Return on equity,Upper bound (75th percentile),0.3,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Small,Return on equity,Median (50th percentile),0.05,percentage,% of total proprietor or shareholder funds,
2024,Accommodation,H4400,Small,Gross profit ratio,Lower bound (25th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Small,Gross profit ratio,Upper bound (75th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Small,Gross profit ratio,Median (50th percentile),,percentage,% of sales and/or services,not available
2024,Accommodation,H4400,Small,Return on total assets,Lower bound (25th percentile),0,percentage,% of total assets,
2024,Accommodation,H4400,Small,Return on total assets,Upper bound (75th percentile),0.08,percentage,% of total assets,
2024,Accommodation,H4400,Small,Return on total assets,Median (50th percentile),0.01,percentage,% of total assets,
2024,Accommodation,H4400,Small,Liability structure,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Small,Liability structure,Upper bound (75th percentile),0.74,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Small,Liability structure,Median (50th percentile),0.21,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Accommodation,H4400,Small,Salaries and wages / turnover ratio,Lower bound (25th percentile),0,percentage,% of turnover income,
2024,Accommodation,H4400,Small,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.04,percentage,% of turnover income,
2024,Accommodation,H4400,Small,Salaries and wages / turnover ratio,Median (50th percentile),0,percentage,% of turnover income,
2024,Accommodation,H4400,Small,Quick ratio,Lower bound (25th percentile),0.08,percentage,% of total current liabilities,
2024,Accommodation,H4400,Small,Quick ratio,Upper bound (75th percentile),2.84,percentage,% of total current liabilities,
2024,Accommodation,H4400,Small,Quick ratio,Median (50th percentile),0.6,percentage,% of total current liabilities,
2024,Accommodation,H4400,Small,Current ratio,Lower bound (25th percentile),0.09,percentage,% of total current liabilities,
2024,Accommodation,H4400,Small,Current ratio,Upper bound (75th percentile),2.9,percentage,% of total current liabilities,
2024,Accommodation,H4400,Small,Current ratio,Median (50th percentile),0.64,percentage,% of total current liabilities,
2024,Accommodation,H4400,Small,Stock turnover per annum,Lower bound (25th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Small,Stock turnover per annum,Upper bound (75th percentile),,number,Ratio,not available
2024,Accommodation,H4400,Small,Stock turnover per annum,Median (50th percentile),,number,Ratio,not available
2024,Cafes and restaurants,H4511,Large,Current ratio,Lower bound (25th percentile),0.25,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Large,Current ratio,Upper bound (75th percentile),1.47,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Large,Current ratio,Median (50th percentile),0.63,percentage,% of total current liabilities,
2024,Cafes and restaurants,H4511,Large,Stock turnover per annum,Lower bound (25th percentile),20,number,Ratio,
2024,Cafes and restaurants,H4511,Large,Stock turnover per annum,Upper bound (75th percentile),60,number,Ratio,
2024,Cafes and restaurants,H4511,Large,Stock turnover per annum,Median (50th percentile),35,number,Ratio,
2024,Cafes and restaurants,H4511,Large,Return on equity,Lower bound (25th percentile),0,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Large,Return on equity,Upper bound (75th percentile),0.7,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Large,Return on equity,Median (50th percentile),0.23,percentage,% of total proprietor or shareholder funds,
2024,Cafes and restaurants,H4511,Large,Gross profit ratio,Lower bound (25th percentile),0.61,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Large,Gross profit ratio,Upper bound (75th percentile),0.7,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Large,Gross profit ratio,Median (50th percentile),0.66,percentage,% of sales and/or services,
2024,Cafes and restaurants,H4511,Large,Return on total assets,Lower bound (25th percentile),0,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Large,Return on total assets,Upper bound (75th percentile),0.19,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Large,Return on total assets,Median (50th percentile),0.03,percentage,% of total assets,
2024,Cafes and restaurants,H4511,Large,Liability structure,Lower bound (25th percentile),-0.03,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Large,Liability structure,Upper bound (75th percentile),0.49,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Large,Liability structure,Median (50th percentile),0.13,percentage,% of total proprietor or shareholder funds plus total liabilities,
2024,Cafes and restaurants,H4511,Large,Salaries and wages / turnover ratio,Lower bound (25th percentile),0.28,percentage,% of turnover income,
2024,Cafes and restaurants,H4511,Large,Salaries and wages / turnover ratio,Upper bound (75th percentile),0.43,percentage,% of turnover income,
