Calendar Year,Measure,Item,Item Code,Code,Value,Value Unit,Value Label,Null Reason
2013,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,210333,nzd,NZD thousands,
2014,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,259550,nzd,NZD thousands,
2015,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,268492,nzd,NZD thousands,
2016,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,246538,nzd,NZD thousands,
2017,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,273006,nzd,NZD thousands,
2018,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,286130,nzd,NZD thousands,
2019,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,310064,nzd,NZD thousands,
2020,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,329786,nzd,NZD thousands,
2021,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,353343,nzd,NZD thousands,
2022,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,343499,nzd,NZD thousands,
2023,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,369879,nzd,NZD thousands,
2024,Imports (cost including insurance and freight),Meat and edible meat offal,HS02,02,439772,nzd,NZD thousands,
2000,Imports (value for duty),Meat and edible meat offal,HS02,02,86463,nzd,NZD thousands,
2001,Imports (value for duty),Meat and edible meat offal,HS02,02,103692,nzd,NZD thousands,
2002,Imports (value for duty),Meat and edible meat offal,HS02,02,127632,nzd,NZD thousands,
2003,Imports (value for duty),Meat and edible meat offal,HS02,02,100736,nzd,NZD thousands,
2004,Imports (value for duty),Meat and edible meat offal,HS02,02,98223,nzd,NZD thousands,
2005,Imports (value for duty),Meat and edible meat offal,HS02,02,119644,nzd,NZD thousands,
2006,Imports (value for duty),Meat and edible meat offal,HS02,02,128670,nzd,NZD thousands,
2007,Imports (value for duty),Meat and edible meat offal,HS02,02,155290,nzd,NZD thousands,
2008,Imports (value for duty),Meat and edible meat offal,HS02,02,153682,nzd,NZD thousands,
2009,Imports (value for duty),Meat and edible meat offal,HS02,02,172502,nzd,NZD thousands,
2010,Imports (value for duty),Meat and edible meat offal,HS02,02,155182,nzd,NZD thousands,
2011,Imports (value for duty),Meat and edible meat offal,HS02,02,160962,nzd,NZD thousands,
2012,Imports (value for duty),Meat and edible meat offal,HS02,02,160910,nzd,NZD thousands,
2013,Imports (value for duty),Meat and edible meat offal,HS02,02,198845,nzd,NZD thousands,
2014,Imports (value for duty),Meat and edible meat offal,HS02,02,246153,nzd,NZD thousands,
2015,Imports (value for duty),Meat and edible meat offal,HS02,02,252407,nzd,NZD thousands,
2016,Imports (value for duty),Meat and edible meat offal,HS02,02,232483,nzd,NZD thousands,
2017,Imports (value for duty),Meat and edible meat offal,HS02,02,259792,nzd,NZD thousands,
