Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Value,Value Unit,Value Label,Null Reason
2024,Building,S0403,Level 4 certificate,Level 4 Certificate,9190,number,Number of students enrolled,
2024,Building,S0403,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,3205,number,Number of students enrolled,
2024,Building,S0403,Bachelor degree,Bachelor Degree,1325,number,Number of students enrolled,
2024,Building,S0403,Graduate diploma/certificate,Graduate Diploma/Certificate,140,number,Number of students enrolled,
2024,Building,S0403,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,35,number,Number of students enrolled,
2024,Building,S0403,Masters degree,Masters Degree,85,number,Number of students enrolled,
2024,Building,S0403,Doctorate degree,Doctorate Degree,10,number,Number of students enrolled,
2024,Building,S0403,Total people,Total,19545,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Level 1 certificate,Level 1 Certificate,10,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Level 2 certificate,Level 2 Certificate,2265,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Level 3 certificate,Level 3 Certificate,6250,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Level 4 certificate,Level 4 Certificate,1250,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,505,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Bachelor degree,Bachelor Degree,2425,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Graduate diploma/certificate,Graduate Diploma/Certificate,75,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,455,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Masters degree,Masters Degree,720,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Doctorate degree,Doctorate Degree,190,number,Number of students enrolled,
2024,"Agriculture, environmental and related studies",S05,Total people,Total,13720,number,Number of students enrolled,
2024,Agriculture,S0501,Level 1 certificate,Level 1 Certificate,5,number,Number of students enrolled,
2024,Agriculture,S0501,Level 2 certificate,Level 2 Certificate,755,number,Number of students enrolled,
2024,Agriculture,S0501,Level 3 certificate,Level 3 Certificate,1495,number,Number of students enrolled,
2024,Agriculture,S0501,Level 4 certificate,Level 4 Certificate,465,number,Number of students enrolled,
2024,Agriculture,S0501,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,150,number,Number of students enrolled,
2024,Agriculture,S0501,Bachelor degree,Bachelor Degree,1275,number,Number of students enrolled,
2024,Agriculture,S0501,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,Agriculture,S0501,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,40,number,Number of students enrolled,
2024,Agriculture,S0501,Masters degree,Masters Degree,115,number,Number of students enrolled,
2024,Agriculture,S0501,Doctorate degree,Doctorate Degree,100,number,Number of students enrolled,
2024,Agriculture,S0501,Total people,Total,4345,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Level 2 certificate,Level 2 Certificate,310,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Level 3 certificate,Level 3 Certificate,4455,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Level 4 certificate,Level 4 Certificate,510,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,165,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Bachelor degree,Bachelor Degree,175,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Graduate diploma/certificate,Graduate Diploma/Certificate,20,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,15,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Masters degree,Masters Degree,35,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Doctorate degree,Doctorate Degree,5,number,Number of students enrolled,
2024,Horticulture and viticulture,S0503,Total people,Total,5600,number,Number of students enrolled,
2024,Forestry studies,S0505,Level 1 certificate,Level 1 Certificate,5,number,Number of students enrolled,
2024,Forestry studies,S0505,Level 2 certificate,Level 2 Certificate,195,number,Number of students enrolled,
2024,Forestry studies,S0505,Level 3 certificate,Level 3 Certificate,110,number,Number of students enrolled,
2024,Forestry studies,S0505,Level 4 certificate,Level 4 Certificate,55,number,Number of students enrolled,
2024,Forestry studies,S0505,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,20,number,Number of students enrolled,
2024,Forestry studies,S0505,Bachelor degree,Bachelor Degree,135,number,Number of students enrolled,
2024,Forestry studies,S0505,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Forestry studies,S0505,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,15,number,Number of students enrolled,
2024,Forestry studies,S0505,Masters degree,Masters Degree,10,number,Number of students enrolled,
2024,Forestry studies,S0505,Doctorate degree,Doctorate Degree,15,number,Number of students enrolled,
2024,Forestry studies,S0505,Total people,Total,550,number,Number of students enrolled,
2024,Fisheries studies,S0507,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Fisheries studies,S0507,Level 2 certificate,Level 2 Certificate,115,number,Number of students enrolled,
2024,Fisheries studies,S0507,Level 3 certificate,Level 3 Certificate,15,number,Number of students enrolled,
2024,Fisheries studies,S0507,Level 4 certificate,Level 4 Certificate,10,number,Number of students enrolled,
2024,Fisheries studies,S0507,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,0,number,Number of students enrolled,
2024,Fisheries studies,S0507,Bachelor degree,Bachelor Degree,70,number,Number of students enrolled,
2024,Fisheries studies,S0507,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,Fisheries studies,S0507,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,5,number,Number of students enrolled,
2024,Fisheries studies,S0507,Masters degree,Masters Degree,0,number,Number of students enrolled,
2024,Fisheries studies,S0507,Doctorate degree,Doctorate Degree,0,number,Number of students enrolled,
2024,Fisheries studies,S0507,Total people,Total,210,number,Number of students enrolled,
2024,Environmental studies,S0509,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Environmental studies,S0509,Level 2 certificate,Level 2 Certificate,5,number,Number of students enrolled,
2024,Environmental studies,S0509,Level 3 certificate,Level 3 Certificate,75,number,Number of students enrolled,
2024,Environmental studies,S0509,Level 4 certificate,Level 4 Certificate,210,number,Number of students enrolled,
2024,Environmental studies,S0509,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,165,number,Number of students enrolled,
2024,Environmental studies,S0509,Bachelor degree,Bachelor Degree,815,number,Number of students enrolled,
2024,Environmental studies,S0509,Graduate diploma/certificate,Graduate Diploma/Certificate,45,number,Number of students enrolled,
2024,Environmental studies,S0509,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,380,number,Number of students enrolled,
2024,Environmental studies,S0509,Masters degree,Masters Degree,550,number,Number of students enrolled,
2024,Environmental studies,S0509,Doctorate degree,Doctorate Degree,70,number,Number of students enrolled,
2024,Environmental studies,S0509,Total people,Total,2285,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Level 2 certificate,Level 2 Certificate,955,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Level 3 certificate,Level 3 Certificate,170,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Level 4 certificate,Level 4 Certificate,5,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,10,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Bachelor degree,Bachelor Degree,30,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,20,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Masters degree,Masters Degree,15,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Doctorate degree,Doctorate Degree,0,number,Number of students enrolled,
2024,"Other agriculture, environmental and related studies",S0599,Total people,Total,1205,number,Number of students enrolled,
2024,Health,S06,Level 1 certificate,Level 1 Certificate,5,number,Number of students enrolled,
2024,Health,S06,Level 2 certificate,Level 2 Certificate,195,number,Number of students enrolled,
2024,Health,S06,Level 3 certificate,Level 3 Certificate,4095,number,Number of students enrolled,
2024,Health,S06,Level 4 certificate,Level 4 Certificate,4015,number,Number of students enrolled,
2024,Health,S06,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,4765,number,Number of students enrolled,
2024,Health,S06,Bachelor degree,Bachelor Degree,25555,number,Number of students enrolled,
2024,Health,S06,Graduate diploma/certificate,Graduate Diploma/Certificate,1080,number,Number of students enrolled,
2024,Health,S06,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,7330,number,Number of students enrolled,
2024,Health,S06,Masters degree,Masters Degree,3400,number,Number of students enrolled,
2024,Health,S06,Doctorate degree,Doctorate Degree,1530,number,Number of students enrolled,
2024,Health,S06,Total people,Total,50830,number,Number of students enrolled,
2024,Medical studies,S0601,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Medical studies,S0601,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Medical studies,S0601,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Medical studies,S0601,Level 4 certificate,Level 4 Certificate,0,number,Number of students enrolled,
2024,Medical studies,S0601,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,0,number,Number of students enrolled,
2024,Medical studies,S0601,Bachelor degree,Bachelor Degree,3580,number,Number of students enrolled,
2024,Medical studies,S0601,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Medical studies,S0601,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,845,number,Number of students enrolled,
2024,Medical studies,S0601,Masters degree,Masters Degree,75,number,Number of students enrolled,
2024,Medical studies,S0601,Doctorate degree,Doctorate Degree,200,number,Number of students enrolled,
2024,Medical studies,S0601,Total people,Total,4675,number,Number of students enrolled,
2024,Nursing,S0603,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Nursing,S0603,Level 2 certificate,Level 2 Certificate,10,number,Number of students enrolled,
2024,Nursing,S0603,Level 3 certificate,Level 3 Certificate,705,number,Number of students enrolled,
2024,Nursing,S0603,Level 4 certificate,Level 4 Certificate,130,number,Number of students enrolled,
2024,Nursing,S0603,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,1660,number,Number of students enrolled,
2024,Nursing,S0603,Bachelor degree,Bachelor Degree,9530,number,Number of students enrolled,
2024,Nursing,S0603,Graduate diploma/certificate,Graduate Diploma/Certificate,705,number,Number of students enrolled,
2024,Nursing,S0603,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,3365,number,Number of students enrolled,
2024,Nursing,S0603,Masters degree,Masters Degree,1365,number,Number of students enrolled,
2024,Nursing,S0603,Doctorate degree,Doctorate Degree,110,number,Number of students enrolled,
2024,Nursing,S0603,Total people,Total,17450,number,Number of students enrolled,
2024,Pharmacy,S0605,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Pharmacy,S0605,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Pharmacy,S0605,Level 3 certificate,Level 3 Certificate,775,number,Number of students enrolled,
2024,Pharmacy,S0605,Level 4 certificate,Level 4 Certificate,685,number,Number of students enrolled,
2024,Pharmacy,S0605,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,470,number,Number of students enrolled,
2024,Pharmacy,S0605,Bachelor degree,Bachelor Degree,545,number,Number of students enrolled,
2024,Pharmacy,S0605,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Pharmacy,S0605,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,205,number,Number of students enrolled,
2024,Pharmacy,S0605,Masters degree,Masters Degree,20,number,Number of students enrolled,
2024,Pharmacy,S0605,Doctorate degree,Doctorate Degree,65,number,Number of students enrolled,
2024,Pharmacy,S0605,Total people,Total,2420,number,Number of students enrolled,
2024,Dental studies,S0607,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Dental studies,S0607,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Dental studies,S0607,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Dental studies,S0607,Level 4 certificate,Level 4 Certificate,0,number,Number of students enrolled,
2024,Dental studies,S0607,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,0,number,Number of students enrolled,
2024,Dental studies,S0607,Bachelor degree,Bachelor Degree,790,number,Number of students enrolled,
2024,Dental studies,S0607,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Dental studies,S0607,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,50,number,Number of students enrolled,
2024,Dental studies,S0607,Masters degree,Masters Degree,10,number,Number of students enrolled,
2024,Dental studies,S0607,Doctorate degree,Doctorate Degree,60,number,Number of students enrolled,
2024,Dental studies,S0607,Total people,Total,905,number,Number of students enrolled,
2024,Optical science,S0609,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Optical science,S0609,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Optical science,S0609,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Optical science,S0609,Level 4 certificate,Level 4 Certificate,0,number,Number of students enrolled,
2024,Optical science,S0609,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,0,number,Number of students enrolled,
2024,Optical science,S0609,Bachelor degree,Bachelor Degree,235,number,Number of students enrolled,
2024,Optical science,S0609,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Optical science,S0609,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,0,number,Number of students enrolled,
2024,Optical science,S0609,Masters degree,Masters Degree,5,number,Number of students enrolled,
2024,Optical science,S0609,Doctorate degree,Doctorate Degree,20,number,Number of students enrolled,
2024,Optical science,S0609,Total people,Total,255,number,Number of students enrolled,
2024,Veterinary studies,S0611,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Veterinary studies,S0611,Level 2 certificate,Level 2 Certificate,50,number,Number of students enrolled,
2024,Veterinary studies,S0611,Level 3 certificate,Level 3 Certificate,875,number,Number of students enrolled,
2024,Veterinary studies,S0611,Level 4 certificate,Level 4 Certificate,205,number,Number of students enrolled,
2024,Veterinary studies,S0611,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,1110,number,Number of students enrolled,
2024,Veterinary studies,S0611,Bachelor degree,Bachelor Degree,890,number,Number of students enrolled,
2024,Veterinary studies,S0611,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,Veterinary studies,S0611,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,30,number,Number of students enrolled,
2024,Veterinary studies,S0611,Masters degree,Masters Degree,105,number,Number of students enrolled,
2024,Veterinary studies,S0611,Doctorate degree,Doctorate Degree,45,number,Number of students enrolled,
2024,Veterinary studies,S0611,Total people,Total,3290,number,Number of students enrolled,
2024,Public health,S0613,Level 1 certificate,Level 1 Certificate,5,number,Number of students enrolled,
2024,Public health,S0613,Level 2 certificate,Level 2 Certificate,30,number,Number of students enrolled,
2024,Public health,S0613,Level 3 certificate,Level 3 Certificate,1215,number,Number of students enrolled,
2024,Public health,S0613,Level 4 certificate,Level 4 Certificate,1560,number,Number of students enrolled,
2024,Public health,S0613,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,600,number,Number of students enrolled,
2024,Public health,S0613,Bachelor degree,Bachelor Degree,2360,number,Number of students enrolled,
2024,Public health,S0613,Graduate diploma/certificate,Graduate Diploma/Certificate,170,number,Number of students enrolled,
2024,Public health,S0613,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,620,number,Number of students enrolled,
2024,Public health,S0613,Masters degree,Masters Degree,455,number,Number of students enrolled,
2024,Public health,S0613,Doctorate degree,Doctorate Degree,225,number,Number of students enrolled,
2024,Public health,S0613,Total people,Total,7090,number,Number of students enrolled,
2024,Radiography,S0615,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Radiography,S0615,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Radiography,S0615,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Radiography,S0615,Level 4 certificate,Level 4 Certificate,0,number,Number of students enrolled,
2024,Radiography,S0615,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,0,number,Number of students enrolled,
2024,Radiography,S0615,Bachelor degree,Bachelor Degree,525,number,Number of students enrolled,
2024,Radiography,S0615,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Radiography,S0615,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,370,number,Number of students enrolled,
2024,Radiography,S0615,Masters degree,Masters Degree,5,number,Number of students enrolled,
2024,Radiography,S0615,Doctorate degree,Doctorate Degree,5,number,Number of students enrolled,
2024,Radiography,S0615,Total people,Total,900,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Level 4 certificate,Level 4 Certificate,160,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,145,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Bachelor degree,Bachelor Degree,2320,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,550,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Masters degree,Masters Degree,390,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Doctorate degree,Doctorate Degree,45,number,Number of students enrolled,
2024,Rehabilitation therapies,S0617,Total people,Total,3595,number,Number of students enrolled,
2024,Complementary therapies,S0619,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Complementary therapies,S0619,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Complementary therapies,S0619,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Complementary therapies,S0619,Level 4 certificate,Level 4 Certificate,20,number,Number of students enrolled,
2024,Complementary therapies,S0619,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,135,number,Number of students enrolled,
2024,Complementary therapies,S0619,Bachelor degree,Bachelor Degree,425,number,Number of students enrolled,
2024,Complementary therapies,S0619,Graduate diploma/certificate,Graduate Diploma/Certificate,0,number,Number of students enrolled,
2024,Complementary therapies,S0619,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,10,number,Number of students enrolled,
2024,Complementary therapies,S0619,Masters degree,Masters Degree,35,number,Number of students enrolled,
2024,Complementary therapies,S0619,Doctorate degree,Doctorate Degree,0,number,Number of students enrolled,
2024,Complementary therapies,S0619,Total people,Total,615,number,Number of students enrolled,
2024,Other health,S0699,Level 1 certificate,Level 1 Certificate,5,number,Number of students enrolled,
2024,Other health,S0699,Level 2 certificate,Level 2 Certificate,105,number,Number of students enrolled,
2024,Other health,S0699,Level 3 certificate,Level 3 Certificate,560,number,Number of students enrolled,
2024,Other health,S0699,Level 4 certificate,Level 4 Certificate,1260,number,Number of students enrolled,
2024,Other health,S0699,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,690,number,Number of students enrolled,
2024,Other health,S0699,Bachelor degree,Bachelor Degree,5405,number,Number of students enrolled,
2024,Other health,S0699,Graduate diploma/certificate,Graduate Diploma/Certificate,195,number,Number of students enrolled,
2024,Other health,S0699,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,1670,number,Number of students enrolled,
2024,Other health,S0699,Masters degree,Masters Degree,1035,number,Number of students enrolled,
2024,Other health,S0699,Doctorate degree,Doctorate Degree,760,number,Number of students enrolled,
2024,Other health,S0699,Total people,Total,11465,number,Number of students enrolled,
2024,Education,S07,Level 1 certificate,Level 1 Certificate,275,number,Number of students enrolled,
2024,Education,S07,Level 2 certificate,Level 2 Certificate,250,number,Number of students enrolled,
2024,Education,S07,Level 3 certificate,Level 3 Certificate,365,number,Number of students enrolled,
2024,Education,S07,Level 4 certificate,Level 4 Certificate,2845,number,Number of students enrolled,
2024,Education,S07,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,2060,number,Number of students enrolled,
2024,Education,S07,Bachelor degree,Bachelor Degree,8960,number,Number of students enrolled,
2024,Education,S07,Graduate diploma/certificate,Graduate Diploma/Certificate,3535,number,Number of students enrolled,
2024,Education,S07,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,2215,number,Number of students enrolled,
2024,Education,S07,Masters degree,Masters Degree,2775,number,Number of students enrolled,
2024,Education,S07,Doctorate degree,Doctorate Degree,815,number,Number of students enrolled,
2024,Education,S07,Total people,Total,23580,number,Number of students enrolled,
2024,Teacher education,S0701,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Teacher education,S0701,Level 2 certificate,Level 2 Certificate,75,number,Number of students enrolled,
2024,Teacher education,S0701,Level 3 certificate,Level 3 Certificate,365,number,Number of students enrolled,
2024,Teacher education,S0701,Level 4 certificate,Level 4 Certificate,2725,number,Number of students enrolled,
2024,Teacher education,S0701,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,1955,number,Number of students enrolled,
2024,Teacher education,S0701,Bachelor degree,Bachelor Degree,6130,number,Number of students enrolled,
2024,Teacher education,S0701,Graduate diploma/certificate,Graduate Diploma/Certificate,3360,number,Number of students enrolled,
2024,Teacher education,S0701,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,1440,number,Number of students enrolled,
2024,Teacher education,S0701,Masters degree,Masters Degree,1570,number,Number of students enrolled,
2024,Teacher education,S0701,Doctorate degree,Doctorate Degree,115,number,Number of students enrolled,
2024,Teacher education,S0701,Total people,Total,17435,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Level 4 certificate,Level 4 Certificate,35,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,105,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Bachelor degree,Bachelor Degree,2950,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Graduate diploma/certificate,Graduate Diploma/Certificate,65,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,735,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Masters degree,Masters Degree,1125,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Doctorate degree,Doctorate Degree,665,number,Number of students enrolled,
2024,Curriculum and education studies,S0703,Total people,Total,5635,number,Number of students enrolled,
2024,Other education,S0799,Level 1 certificate,Level 1 Certificate,275,number,Number of students enrolled,
2024,Other education,S0799,Level 2 certificate,Level 2 Certificate,175,number,Number of students enrolled,
2024,Other education,S0799,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Other education,S0799,Level 4 certificate,Level 4 Certificate,85,number,Number of students enrolled,
2024,Other education,S0799,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,5,number,Number of students enrolled,
2024,Other education,S0799,Bachelor degree,Bachelor Degree,35,number,Number of students enrolled,
2024,Other education,S0799,Graduate diploma/certificate,Graduate Diploma/Certificate,115,number,Number of students enrolled,
2024,Other education,S0799,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,110,number,Number of students enrolled,
2024,Other education,S0799,Masters degree,Masters Degree,175,number,Number of students enrolled,
2024,Other education,S0799,Doctorate degree,Doctorate Degree,40,number,Number of students enrolled,
2024,Other education,S0799,Total people,Total,905,number,Number of students enrolled,
2024,Management and commerce,S08,Level 1 certificate,Level 1 Certificate,90,number,Number of students enrolled,
2024,Management and commerce,S08,Level 2 certificate,Level 2 Certificate,2300,number,Number of students enrolled,
2024,Management and commerce,S08,Level 3 certificate,Level 3 Certificate,8050,number,Number of students enrolled,
2024,Management and commerce,S08,Level 4 certificate,Level 4 Certificate,14440,number,Number of students enrolled,
2024,Management and commerce,S08,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,11490,number,Number of students enrolled,
2024,Management and commerce,S08,Bachelor degree,Bachelor Degree,28200,number,Number of students enrolled,
2024,Management and commerce,S08,Graduate diploma/certificate,Graduate Diploma/Certificate,2005,number,Number of students enrolled,
2024,Management and commerce,S08,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,2065,number,Number of students enrolled,
2024,Management and commerce,S08,Masters degree,Masters Degree,10520,number,Number of students enrolled,
2024,Management and commerce,S08,Doctorate degree,Doctorate Degree,830,number,Number of students enrolled,
2024,Management and commerce,S08,Total people,Total,77395,number,Number of students enrolled,
2024,Accountancy,S0801,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Accountancy,S0801,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Accountancy,S0801,Level 3 certificate,Level 3 Certificate,25,number,Number of students enrolled,
2024,Accountancy,S0801,Level 4 certificate,Level 4 Certificate,2775,number,Number of students enrolled,
2024,Accountancy,S0801,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,205,number,Number of students enrolled,
2024,Accountancy,S0801,Bachelor degree,Bachelor Degree,6930,number,Number of students enrolled,
2024,Accountancy,S0801,Graduate diploma/certificate,Graduate Diploma/Certificate,190,number,Number of students enrolled,
2024,Accountancy,S0801,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,145,number,Number of students enrolled,
2024,Accountancy,S0801,Masters degree,Masters Degree,1055,number,Number of students enrolled,
2024,Accountancy,S0801,Doctorate degree,Doctorate Degree,100,number,Number of students enrolled,
2024,Accountancy,S0801,Total people,Total,11360,number,Number of students enrolled,
2024,Business and management,S0803,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
