Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Value,Value Unit,Value Label,Null Reason
2024,Earth sciences,S0107,Total people,Total,2870,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 2 certificate,Level 2 Certificate,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 3 certificate,Level 3 Certificate,50,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,1570,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,625,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,9380,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,85,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,565,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,870,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,890,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,13890,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,35,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,225,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Bachelor degree,Bachelor Degree,1840,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Graduate diploma/certificate,Graduate Diploma/Certificate,90,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,815,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Masters degree,Masters Degree,710,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Doctorate degree,Doctorate Degree,275,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Total people,Total,3970,number,Number of students enrolled,
2024,Information technology,S02,Level 1 certificate,Level 1 Certificate,15,number,Number of students enrolled,
2024,Information technology,S02,Level 2 certificate,Level 2 Certificate,155,number,Number of students enrolled,
2024,Information technology,S02,Level 3 certificate,Level 3 Certificate,65,number,Number of students enrolled,
2024,Information technology,S02,Level 4 certificate,Level 4 Certificate,1005,number,Number of students enrolled,
2024,Information technology,S02,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,3245,number,Number of students enrolled,
2024,Information technology,S02,Bachelor degree,Bachelor Degree,11685,number,Number of students enrolled,
2024,Information technology,S02,Graduate diploma/certificate,Graduate Diploma/Certificate,640,number,Number of students enrolled,
2024,Information technology,S02,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,1690,number,Number of students enrolled,
2024,Information technology,S02,Masters degree,Masters Degree,4760,number,Number of students enrolled,
2024,Information technology,S02,Doctorate degree,Doctorate Degree,565,number,Number of students enrolled,
2024,Information technology,S02,Total people,Total,23210,number,Number of students enrolled,
2024,Computer science,S0201,Level 1 certificate,Level 1 Certificate,15,number,Number of students enrolled,
2024,Computer science,S0201,Level 2 certificate,Level 2 Certificate,35,number,Number of students enrolled,
2024,Computer science,S0201,Level 3 certificate,Level 3 Certificate,55,number,Number of students enrolled,
2024,Computer science,S0201,Level 4 certificate,Level 4 Certificate,195,number,Number of students enrolled,
2024,Computer science,S0201,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,1690,number,Number of students enrolled,
2024,Computer science,S0201,Bachelor degree,Bachelor Degree,8935,number,Number of students enrolled,
2024,Computer science,S0201,Graduate diploma/certificate,Graduate Diploma/Certificate,245,number,Number of students enrolled,
2024,Computer science,S0201,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,1230,number,Number of students enrolled,
2024,Computer science,S0201,Masters degree,Masters Degree,2725,number,Number of students enrolled,
2024,Computer science,S0201,Doctorate degree,Doctorate Degree,455,number,Number of students enrolled,
2024,Computer science,S0201,Total people,Total,15295,number,Number of students enrolled,
2024,Information systems,S0203,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Information systems,S0203,Level 2 certificate,Level 2 Certificate,10,number,Number of students enrolled,
2024,Information systems,S0203,Level 3 certificate,Level 3 Certificate,0,number,Number of students enrolled,
2024,Information systems,S0203,Level 4 certificate,Level 4 Certificate,80,number,Number of students enrolled,
2024,Information systems,S0203,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,540,number,Number of students enrolled,
2024,Information systems,S0203,Bachelor degree,Bachelor Degree,3570,number,Number of students enrolled,
2024,Information systems,S0203,Graduate diploma/certificate,Graduate Diploma/Certificate,350,number,Number of students enrolled,
2024,Information systems,S0203,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,400,number,Number of students enrolled,
2024,Information systems,S0203,Masters degree,Masters Degree,1290,number,Number of students enrolled,
2024,Information systems,S0203,Doctorate degree,Doctorate Degree,100,number,Number of students enrolled,
2024,Information systems,S0203,Total people,Total,6300,number,Number of students enrolled,
2024,Other information technology,S0299,Level 1 certificate,Level 1 Certificate,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 2 certificate,Level 2 Certificate,120,number,Number of students enrolled,
2024,Other information technology,S0299,Level 3 certificate,Level 3 Certificate,10,number,Number of students enrolled,
2024,Other information technology,S0299,Level 4 certificate,Level 4 Certificate,805,number,Number of students enrolled,
2024,Other information technology,S0299,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,1335,number,Number of students enrolled,
2024,Other information technology,S0299,Bachelor degree,Bachelor Degree,1315,number,Number of students enrolled,
2024,Other information technology,S0299,Graduate diploma/certificate,Graduate Diploma/Certificate,115,number,Number of students enrolled,
2024,Other information technology,S0299,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,150,number,Number of students enrolled,
2024,Other information technology,S0299,Masters degree,Masters Degree,1035,number,Number of students enrolled,
2024,Other information technology,S0299,Doctorate degree,Doctorate Degree,10,number,Number of students enrolled,
2024,Other information technology,S0299,Total people,Total,4835,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 1 certificate,Level 1 Certificate,400,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 2 certificate,Level 2 Certificate,2930,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 3 certificate,Level 3 Certificate,8350,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 4 certificate,Level 4 Certificate,10885,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,3385,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Bachelor degree,Bachelor Degree,3920,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Graduate diploma/certificate,Graduate Diploma/Certificate,230,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,10045,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Masters degree,Masters Degree,2300,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Doctorate degree,Doctorate Degree,1580,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Total people,Total,42805,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 1 certificate,Level 1 Certificate,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 2 certificate,Level 2 Certificate,255,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 3 certificate,Level 3 Certificate,35,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 4 certificate,Level 4 Certificate,70,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Bachelor degree,Bachelor Degree,35,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Graduate diploma/certificate,Graduate Diploma/Certificate,5,number,Number of students enrolled,
