Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Ethnic group,Value,Value Unit,Value Label,Null Reason
2024,Information systems,S0203,Total people,Total,Domestic,Pacific Peoples,205,number,Number of students enrolled,
2024,Information systems,S0203,Total people,Total,Domestic,Asian,1145,number,Number of students enrolled,
2024,Information systems,S0203,Total people,Total,Domestic,Other,285,number,Number of students enrolled,
2024,Information systems,S0203,Total people,Total,Domestic,Total,3355,number,Number of students enrolled,
2024,Other information technology,S0299,Level 1 certificate,Level 1 Certificate,Domestic,European,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 1 certificate,Level 1 Certificate,Domestic,Māori,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 1 certificate,Level 1 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 1 certificate,Level 1 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 1 certificate,Level 1 Certificate,Domestic,Total,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 2 certificate,Level 2 Certificate,Domestic,European,80,number,Number of students enrolled,
2024,Other information technology,S0299,Level 2 certificate,Level 2 Certificate,Domestic,Māori,65,number,Number of students enrolled,
2024,Other information technology,S0299,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,15,number,Number of students enrolled,
2024,Other information technology,S0299,Level 2 certificate,Level 2 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Other information technology,S0299,Level 2 certificate,Level 2 Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,Other information technology,S0299,Level 2 certificate,Level 2 Certificate,Domestic,Total,120,number,Number of students enrolled,
2024,Other information technology,S0299,Level 3 certificate,Level 3 Certificate,Domestic,European,5,number,Number of students enrolled,
2024,Other information technology,S0299,Level 3 certificate,Level 3 Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Other information technology,S0299,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Other information technology,S0299,Level 3 certificate,Level 3 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Other information technology,S0299,Level 3 certificate,Level 3 Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,Other information technology,S0299,Level 3 certificate,Level 3 Certificate,Domestic,Total,10,number,Number of students enrolled,
2024,Other information technology,S0299,Level 4 certificate,Level 4 Certificate,Domestic,European,270,number,Number of students enrolled,
2024,Other information technology,S0299,Level 4 certificate,Level 4 Certificate,Domestic,Māori,105,number,Number of students enrolled,
2024,Other information technology,S0299,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,130,number,Number of students enrolled,
2024,Other information technology,S0299,Level 4 certificate,Level 4 Certificate,Domestic,Asian,315,number,Number of students enrolled,
2024,Other information technology,S0299,Level 4 certificate,Level 4 Certificate,Domestic,Other,70,number,Number of students enrolled,
2024,Other information technology,S0299,Level 4 certificate,Level 4 Certificate,Domestic,Total,785,number,Number of students enrolled,
2024,Other information technology,S0299,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,490,number,Number of students enrolled,
2024,Other information technology,S0299,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,145,number,Number of students enrolled,
2024,Other information technology,S0299,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,115,number,Number of students enrolled,
2024,Other information technology,S0299,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Asian,485,number,Number of students enrolled,
2024,Other information technology,S0299,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Other,90,number,Number of students enrolled,
2024,Other information technology,S0299,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,1220,number,Number of students enrolled,
2024,Other information technology,S0299,Bachelor degree,Bachelor Degree,Domestic,European,240,number,Number of students enrolled,
2024,Other information technology,S0299,Bachelor degree,Bachelor Degree,Domestic,Māori,45,number,Number of students enrolled,
2024,Other information technology,S0299,Bachelor degree,Bachelor Degree,Domestic,Pacific Peoples,20,number,Number of students enrolled,
2024,Other information technology,S0299,Bachelor degree,Bachelor Degree,Domestic,Asian,110,number,Number of students enrolled,
2024,Other information technology,S0299,Bachelor degree,Bachelor Degree,Domestic,Other,30,number,Number of students enrolled,
2024,Other information technology,S0299,Bachelor degree,Bachelor Degree,Domestic,Total,390,number,Number of students enrolled,
2024,Other information technology,S0299,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,European,25,number,Number of students enrolled,
2024,Other information technology,S0299,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Other information technology,S0299,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Other information technology,S0299,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Asian,20,number,Number of students enrolled,
2024,Other information technology,S0299,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,Other information technology,S0299,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,60,number,Number of students enrolled,
2024,Other information technology,S0299,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,European,45,number,Number of students enrolled,
2024,Other information technology,S0299,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Māori,5,number,Number of students enrolled,
2024,Other information technology,S0299,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Other information technology,S0299,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Asian,35,number,Number of students enrolled,
2024,Other information technology,S0299,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Other,5,number,Number of students enrolled,
2024,Other information technology,S0299,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,75,number,Number of students enrolled,
2024,Other information technology,S0299,Masters degree,Masters Degree,Domestic,European,25,number,Number of students enrolled,
2024,Other information technology,S0299,Masters degree,Masters Degree,Domestic,Māori,5,number,Number of students enrolled,
2024,Other information technology,S0299,Masters degree,Masters Degree,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Other information technology,S0299,Masters degree,Masters Degree,Domestic,Asian,195,number,Number of students enrolled,
2024,Other information technology,S0299,Masters degree,Masters Degree,Domestic,Other,60,number,Number of students enrolled,
2024,Other information technology,S0299,Masters degree,Masters Degree,Domestic,Total,280,number,Number of students enrolled,
2024,Other information technology,S0299,Doctorate degree,Doctorate Degree,Domestic,European,5,number,Number of students enrolled,
2024,Other information technology,S0299,Doctorate degree,Doctorate Degree,Domestic,Māori,0,number,Number of students enrolled,
2024,Other information technology,S0299,Doctorate degree,Doctorate Degree,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Other information technology,S0299,Doctorate degree,Doctorate Degree,Domestic,Asian,5,number,Number of students enrolled,
2024,Other information technology,S0299,Doctorate degree,Doctorate Degree,Domestic,Other,0,number,Number of students enrolled,
2024,Other information technology,S0299,Doctorate degree,Doctorate Degree,Domestic,Total,5,number,Number of students enrolled,
2024,Other information technology,S0299,Total people,Total,Domestic,European,1170,number,Number of students enrolled,
2024,Other information technology,S0299,Total people,Total,Domestic,Māori,375,number,Number of students enrolled,
2024,Other information technology,S0299,Total people,Total,Domestic,Pacific Peoples,300,number,Number of students enrolled,
2024,Other information technology,S0299,Total people,Total,Domestic,Asian,1145,number,Number of students enrolled,
2024,Other information technology,S0299,Total people,Total,Domestic,Other,255,number,Number of students enrolled,
2024,Other information technology,S0299,Total people,Total,Domestic,Total,2890,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 1 certificate,Level 1 Certificate,Domestic,European,300,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 1 certificate,Level 1 Certificate,Domestic,Māori,60,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 1 certificate,Level 1 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 1 certificate,Level 1 Certificate,Domestic,Other,10,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 1 certificate,Level 1 Certificate,Domestic,Total,355,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 2 certificate,Level 2 Certificate,Domestic,European,1840,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 2 certificate,Level 2 Certificate,Domestic,Māori,1080,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,320,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 2 certificate,Level 2 Certificate,Domestic,Asian,180,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 2 certificate,Level 2 Certificate,Domestic,Other,100,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 2 certificate,Level 2 Certificate,Domestic,Total,2915,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 3 certificate,Level 3 Certificate,Domestic,European,4300,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 3 certificate,Level 3 Certificate,Domestic,Māori,2505,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,1375,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 3 certificate,Level 3 Certificate,Domestic,Asian,1055,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 3 certificate,Level 3 Certificate,Domestic,Other,400,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 3 certificate,Level 3 Certificate,Domestic,Total,8130,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 4 certificate,Level 4 Certificate,Domestic,European,7675,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 4 certificate,Level 4 Certificate,Domestic,Māori,2025,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,1045,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 4 certificate,Level 4 Certificate,Domestic,Asian,915,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 4 certificate,Level 4 Certificate,Domestic,Other,445,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 4 certificate,Level 4 Certificate,Domestic,Total,10840,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,1890,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,320,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,245,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Asian,495,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Other,220,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,2840,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Bachelor degree,Bachelor Degree,Domestic,European,1775,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Bachelor degree,Bachelor Degree,Domestic,Māori,245,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Bachelor degree,Bachelor Degree,Domestic,Pacific Peoples,340,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Bachelor degree,Bachelor Degree,Domestic,Asian,960,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Bachelor degree,Bachelor Degree,Domestic,Other,275,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Bachelor degree,Bachelor Degree,Domestic,Total,3125,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,European,60,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Asian,25,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,95,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,European,5530,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Māori,600,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Pacific Peoples,405,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Asian,3450,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Other,530,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,9285,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Masters degree,Masters Degree,Domestic,European,290,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Masters degree,Masters Degree,Domestic,Māori,35,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Masters degree,Masters Degree,Domestic,Pacific Peoples,35,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Masters degree,Masters Degree,Domestic,Asian,350,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Masters degree,Masters Degree,Domestic,Other,80,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Masters degree,Masters Degree,Domestic,Total,720,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Doctorate degree,Doctorate Degree,Domestic,European,270,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Doctorate degree,Doctorate Degree,Domestic,Māori,30,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Doctorate degree,Doctorate Degree,Domestic,Pacific Peoples,15,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Doctorate degree,Doctorate Degree,Domestic,Asian,225,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Doctorate degree,Doctorate Degree,Domestic,Other,80,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Doctorate degree,Doctorate Degree,Domestic,Total,580,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Total people,Total,Domestic,European,23250,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Total people,Total,Domestic,Māori,6705,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Total people,Total,Domestic,Pacific Peoples,3680,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Total people,Total,Domestic,Asian,7505,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Total people,Total,Domestic,Other,2080,number,Number of students enrolled,
2024,Engineering and related technologies,S03,Total people,Total,Domestic,Total,37790,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 1 certificate,Level 1 Certificate,Domestic,European,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 1 certificate,Level 1 Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 1 certificate,Level 1 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 1 certificate,Level 1 Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 1 certificate,Level 1 Certificate,Domestic,Total,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 2 certificate,Level 2 Certificate,Domestic,European,175,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 2 certificate,Level 2 Certificate,Domestic,Māori,80,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,20,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 2 certificate,Level 2 Certificate,Domestic,Asian,20,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 2 certificate,Level 2 Certificate,Domestic,Other,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 2 certificate,Level 2 Certificate,Domestic,Total,250,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 3 certificate,Level 3 Certificate,Domestic,European,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 3 certificate,Level 3 Certificate,Domestic,Māori,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 3 certificate,Level 3 Certificate,Domestic,Asian,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 3 certificate,Level 3 Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 3 certificate,Level 3 Certificate,Domestic,Total,35,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 4 certificate,Level 4 Certificate,Domestic,European,60,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 4 certificate,Level 4 Certificate,Domestic,Māori,10,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 4 certificate,Level 4 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 4 certificate,Level 4 Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 4 certificate,Level 4 Certificate,Domestic,Total,70,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Asian,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Other,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Bachelor degree,Bachelor Degree,Domestic,European,15,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Bachelor degree,Bachelor Degree,Domestic,Māori,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Bachelor degree,Bachelor Degree,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Bachelor degree,Bachelor Degree,Domestic,Asian,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Bachelor degree,Bachelor Degree,Domestic,Other,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Bachelor degree,Bachelor Degree,Domestic,Total,20,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,European,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Other,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,European,35,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Māori,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Pacific Peoples,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Asian,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Other,5,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,40,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Masters degree,Masters Degree,Domestic,European,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Masters degree,Masters Degree,Domestic,Māori,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Masters degree,Masters Degree,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Masters degree,Masters Degree,Domestic,Asian,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Masters degree,Masters Degree,Domestic,Other,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Masters degree,Masters Degree,Domestic,Total,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Doctorate degree,Doctorate Degree,Domestic,European,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Doctorate degree,Doctorate Degree,Domestic,Māori,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Doctorate degree,Doctorate Degree,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Doctorate degree,Doctorate Degree,Domestic,Asian,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Doctorate degree,Doctorate Degree,Domestic,Other,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Doctorate degree,Doctorate Degree,Domestic,Total,0,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Total people,Total,Domestic,European,305,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Total people,Total,Domestic,Māori,115,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Total people,Total,Domestic,Pacific Peoples,40,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Total people,Total,Domestic,Asian,40,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Total people,Total,Domestic,Other,20,number,Number of students enrolled,
2024,"Manufacturing, engineering and technology",S0301,Total people,Total,Domestic,Total,430,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 1 certificate,Level 1 Certificate,Domestic,European,50,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 1 certificate,Level 1 Certificate,Domestic,Māori,5,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 1 certificate,Level 1 Certificate,Domestic,Pacific Peoples,0,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 1 certificate,Level 1 Certificate,Domestic,Asian,0,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 1 certificate,Level 1 Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 1 certificate,Level 1 Certificate,Domestic,Total,50,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 2 certificate,Level 2 Certificate,Domestic,European,40,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 2 certificate,Level 2 Certificate,Domestic,Māori,25,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 2 certificate,Level 2 Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 2 certificate,Level 2 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 2 certificate,Level 2 Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 2 certificate,Level 2 Certificate,Domestic,Total,65,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 3 certificate,Level 3 Certificate,Domestic,European,80,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 3 certificate,Level 3 Certificate,Domestic,Māori,70,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 3 certificate,Level 3 Certificate,Domestic,Pacific Peoples,45,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 3 certificate,Level 3 Certificate,Domestic,Asian,40,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 3 certificate,Level 3 Certificate,Domestic,Other,5,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 3 certificate,Level 3 Certificate,Domestic,Total,210,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 4 certificate,Level 4 Certificate,Domestic,European,80,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 4 certificate,Level 4 Certificate,Domestic,Māori,35,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 4 certificate,Level 4 Certificate,Domestic,Pacific Peoples,10,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 4 certificate,Level 4 Certificate,Domestic,Asian,5,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 4 certificate,Level 4 Certificate,Domestic,Other,10,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 4 certificate,Level 4 Certificate,Domestic,Total,120,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,European,325,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Māori,55,number,Number of students enrolled,
2024,Process and resources engineering,S0303,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Pacific Peoples,20,number,Number of students enrolled,
