Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2024,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,0,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,International,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,0,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Graduate diploma/certificate,Graduate Diploma/Certificate,Total,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,10,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,10,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,0,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,International,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,10,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,15,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,10,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,10,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,10,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Total,10,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Masters degree,Masters Degree,Domestic,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Masters degree,Masters Degree,International,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,10,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,5,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,10,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,10,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Masters degree,Masters Degree,Total,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Domestic,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,International,5,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,5,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Doctorate degree,Doctorate Degree,Total,10,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Total people,Total,Domestic,405,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Total people,Total,Domestic,420,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Total people,Total,Domestic,395,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Total people,Total,Domestic,375,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Total people,Total,Domestic,395,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Total people,Total,Domestic,440,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Total people,Total,Domestic,540,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Total people,Total,Domestic,560,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Total people,Total,Domestic,480,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Total people,Total,Domestic,470,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Total people,Total,International,45,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Total people,Total,International,50,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Total people,Total,International,55,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Total people,Total,International,40,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Total people,Total,International,50,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Total people,Total,International,40,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Total people,Total,International,30,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Total people,Total,International,25,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Total people,Total,International,45,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Total people,Total,International,65,number,Number of students enrolled,
2015,Geomatic engineering,S0311,Total people,Total,Total,450,number,Number of students enrolled,
2016,Geomatic engineering,S0311,Total people,Total,Total,475,number,Number of students enrolled,
2017,Geomatic engineering,S0311,Total people,Total,Total,450,number,Number of students enrolled,
2018,Geomatic engineering,S0311,Total people,Total,Total,415,number,Number of students enrolled,
2019,Geomatic engineering,S0311,Total people,Total,Total,445,number,Number of students enrolled,
2020,Geomatic engineering,S0311,Total people,Total,Total,480,number,Number of students enrolled,
2021,Geomatic engineering,S0311,Total people,Total,Total,570,number,Number of students enrolled,
2022,Geomatic engineering,S0311,Total people,Total,Total,585,number,Number of students enrolled,
2023,Geomatic engineering,S0311,Total people,Total,Total,525,number,Number of students enrolled,
2024,Geomatic engineering,S0311,Total people,Total,Total,535,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,30,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,35,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,40,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,50,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,40,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,15,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,15,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,5,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,0,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Domestic,5,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,5,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,5,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,International,0,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,30,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,35,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,40,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,50,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,45,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,20,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,15,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,5,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,0,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 1 certificate,Level 1 Certificate,Total,5,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,1035,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,905,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,505,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,335,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,305,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,320,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,405,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,415,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,600,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Domestic,885,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,10,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,0,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,10,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,International,5,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,1045,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,910,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,505,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,335,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,305,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,325,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,415,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,420,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,600,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 2 certificate,Level 2 Certificate,Total,885,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,1115,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,1130,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,1370,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,1470,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,1680,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,2045,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,2855,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,2640,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,2770,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Domestic,2665,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,85,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,80,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,100,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,80,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,70,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,35,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,20,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,20,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,15,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,International,25,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,1200,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,1210,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,1470,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,1550,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,1750,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,2085,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,2875,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,2660,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,2790,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 3 certificate,Level 3 Certificate,Total,2690,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,1195,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,1095,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,1045,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,945,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,705,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,630,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,765,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,790,number,Number of students enrolled,
2023,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,5955,number,Number of students enrolled,
2024,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,Domestic,5395,number,Number of students enrolled,
2015,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,105,number,Number of students enrolled,
2016,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,55,number,Number of students enrolled,
2017,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,30,number,Number of students enrolled,
2018,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,20,number,Number of students enrolled,
2019,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,20,number,Number of students enrolled,
2020,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,15,number,Number of students enrolled,
2021,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,10,number,Number of students enrolled,
2022,Electrical and electronic engineering and technology,S0313,Level 4 certificate,Level 4 Certificate,International,5,number,Number of students enrolled,
