Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Value,Value Unit,Value Label,Null Reason
2017,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,40,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,5,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,5,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,5,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,30,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,20,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,20,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 2 certificate,Level 2 Certificate,Total,15,number,Number of students enrolled,
2015,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,1070,number,Number of students enrolled,
2016,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,915,number,Number of students enrolled,
2017,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,910,number,Number of students enrolled,
2018,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,685,number,Number of students enrolled,
2019,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,610,number,Number of students enrolled,
2020,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,530,number,Number of students enrolled,
2021,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,560,number,Number of students enrolled,
2022,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,385,number,Number of students enrolled,
2023,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,400,number,Number of students enrolled,
2024,Natural and physical sciences,S01,Level 3 certificate,Level 3 Certificate,Domestic,235,number,Number of students enrolled,
