Year ended June,Measure,External cause of injury or poisoning,External cause of injury or poisoning Code,Sex,Age group,Value,Value Unit,Value Label,Null Reason
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Male,85-*,11198,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,total,119866,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,*-4,3972,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,5-9,2849,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,10-14,3442,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,15-19,5440,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,20-24,5454,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,25-29,5584,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,30-34,6054,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,35-39,5225,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,40-44,4589,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,45-49,4923,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,50-54,5930,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,55-59,6517,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,60-64,7431,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,65-69,7714,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,70-74,8360,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,75-79,9552,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,80-84,10280,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Chapter 20 External cause of morbidity and mortality,U50-Y98,Female,85-*,16550,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,total,2,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,*-4,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,5-9,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,10-14,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,15-19,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,20-24,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,25-29,1,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,30-34,1,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,35-39,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,40-44,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,45-49,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,50-54,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,55-59,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,60-64,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,65-69,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,70-74,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,75-79,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,80-84,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Total,85-*,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,total,1,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,*-4,0,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,U50-U73 Activity,U50-U73,Male,5-9,0,number,Number of hospitalisations,
