Year ended June,Measure,External cause of injury or poisoning,External cause of injury or poisoning Code,Sex,Age group,Value,Value Unit,Value Label,Null Reason
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,50-54,36,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,55-59,17,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,60-64,18,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,65-69,12,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,70-74,11,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,75-79,7,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,80-84,5,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Male,85-*,9,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,total,341,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,*-4,6,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,5-9,4,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,10-14,20,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,15-19,50,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,20-24,33,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,25-29,28,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,30-34,40,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,35-39,31,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,40-44,24,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,45-49,21,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,50-54,16,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,55-59,21,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,60-64,10,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,65-69,5,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,70-74,13,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,75-79,5,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,80-84,5,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y10-Y34 Event of undetermined intent,Y10-Y34,Female,85-*,9,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,total,2866,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,*-4,706,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,5-9,259,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,10-14,234,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,15-19,217,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,20-24,190,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,25-29,157,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,30-34,190,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,35-39,134,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,40-44,99,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,45-49,128,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,50-54,135,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,55-59,86,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,60-64,104,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,65-69,76,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,70-74,66,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,75-79,33,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,80-84,25,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Total,85-*,27,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,total,1341,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,*-4,420,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,5-9,162,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,10-14,118,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,15-19,79,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,20-24,67,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,25-29,57,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,30-34,59,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,35-39,60,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,40-44,34,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,45-49,48,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,50-54,55,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,55-59,38,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,60-64,54,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,65-69,32,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,70-74,30,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,75-79,12,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,80-84,8,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Male,85-*,8,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,total,1525,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,*-4,286,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,5-9,97,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,10-14,116,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,15-19,138,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,20-24,123,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,25-29,100,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,30-34,131,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,35-39,74,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,40-44,65,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,45-49,80,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,50-54,80,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,55-59,48,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,60-64,50,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,65-69,44,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,70-74,36,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,75-79,21,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,80-84,17,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y35-Y36 Legal intervention and operations of war,Y35-Y36,Female,85-*,19,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,total,80539,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,*-4,1917,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,5-9,802,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,10-14,1012,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,15-19,1331,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,20-24,1846,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,25-29,2658,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,30-34,3481,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,35-39,3154,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,40-44,3085,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,45-49,3502,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,50-54,4687,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,55-59,5635,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,60-64,7319,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,65-69,7813,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,70-74,8518,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,75-79,8728,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,80-84,7548,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Total,85-*,7503,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,total,39671,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,*-4,1140,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,5-9,483,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,10-14,557,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,15-19,529,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,20-24,632,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,25-29,787,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,30-34,982,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,35-39,994,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,40-44,1128,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,45-49,1397,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,50-54,2190,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,55-59,2863,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,60-64,3892,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,65-69,4336,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,70-74,4863,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,75-79,4857,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,80-84,4149,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Male,85-*,3892,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,total,40868,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,*-4,777,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,5-9,319,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,10-14,455,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,15-19,802,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,20-24,1214,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,25-29,1871,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,30-34,2499,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,35-39,2160,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,40-44,1957,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,45-49,2105,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,50-54,2497,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,55-59,2772,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,60-64,3427,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,65-69,3477,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,70-74,3655,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,75-79,3871,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,80-84,3399,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,Y40-Y84 Complications of medical and surgical care,Y40-Y84,Female,85-*,3611,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,total,31197,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,*-4,601,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,5-9,238,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,10-14,352,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,15-19,458,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,20-24,609,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,25-29,777,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,30-34,1008,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,35-39,920,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,40-44,946,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,45-49,1104,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,50-54,1588,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,55-59,1998,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,60-64,2612,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,65-69,3018,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,70-74,3521,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,75-79,3777,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,80-84,3561,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Total,85-*,4109,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,total,14029,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,*-4,334,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,5-9,144,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,10-14,174,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,15-19,173,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,20-24,187,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,25-29,217,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,30-34,276,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,35-39,275,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,40-44,346,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,45-49,433,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,50-54,689,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,55-59,943,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,60-64,1250,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,65-69,1492,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,70-74,1839,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,75-79,1847,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,80-84,1697,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Male,85-*,1713,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Female,total,17168,number,Number of hospitalisations,
2023,Publicly funded hospital discharges by recorded external cause,"Y40-Y59 Drugs, medicaments and biological substances causing adverse effects in therapeutic use",Y40-Y59,Female,*-4,267,number,Number of hospitalisations,
