Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2022,Apprentices,Sport and recreation,S0921,1255,number,Number of people,
2023,Apprentices,Sport and recreation,S0921,850,number,Number of people,
2024,Apprentices,Sport and recreation,S0921,450,number,Number of people,
2015,Apprentices,Studies in human society,S0903,0,number,Number of people,
2016,Apprentices,Studies in human society,S0903,0,number,Number of people,
2017,Apprentices,Studies in human society,S0903,0,number,Number of people,
2018,Apprentices,Studies in human society,S0903,0,number,Number of people,
2019,Apprentices,Studies in human society,S0903,0,number,Number of people,
2020,Apprentices,Studies in human society,S0903,5,number,Number of people,
2021,Apprentices,Studies in human society,S0903,5,number,Number of people,
2022,Apprentices,Studies in human society,S0903,5,number,Number of people,
2023,Apprentices,Studies in human society,S0903,5,number,Number of people,
2024,Apprentices,Studies in human society,S0903,0,number,Number of people,
2015,Apprentices,Teacher education,S0701,75,number,Number of people,
2016,Apprentices,Teacher education,S0701,85,number,Number of people,
2017,Apprentices,Teacher education,S0701,85,number,Number of people,
2018,Apprentices,Teacher education,S0701,70,number,Number of people,
2019,Apprentices,Teacher education,S0701,25,number,Number of people,
2020,Apprentices,Teacher education,S0701,15,number,Number of people,
2021,Apprentices,Teacher education,S0701,15,number,Number of people,
2022,Apprentices,Teacher education,S0701,5,number,Number of people,
2023,Apprentices,Teacher education,S0701,0,number,Number of people,
2024,Apprentices,Teacher education,S0701,0,number,Number of people,
2015,Apprentices,Tourism,S0807,15,number,Number of people,
2016,Apprentices,Tourism,S0807,5,number,Number of people,
2017,Apprentices,Tourism,S0807,5,number,Number of people,
2018,Apprentices,Tourism,S0807,5,number,Number of people,
2019,Apprentices,Tourism,S0807,0,number,Number of people,
2020,Apprentices,Tourism,S0807,0,number,Number of people,
2021,Apprentices,Tourism,S0807,0,number,Number of people,
2022,Apprentices,Tourism,S0807,0,number,Number of people,
2023,Apprentices,Tourism,S0807,0,number,Number of people,
2024,Apprentices,Tourism,S0807,0,number,Number of people,
2015,Apprentices,Visual arts and crafts,S1003,25,number,Number of people,
2016,Apprentices,Visual arts and crafts,S1003,20,number,Number of people,
2017,Apprentices,Visual arts and crafts,S1003,15,number,Number of people,
2018,Apprentices,Visual arts and crafts,S1003,20,number,Number of people,
2019,Apprentices,Visual arts and crafts,S1003,10,number,Number of people,
2020,Apprentices,Visual arts and crafts,S1003,5,number,Number of people,
2021,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
2022,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
2023,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
2024,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
