Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2024,Apprentices,Natural and physical sciences,S01,45,number,Number of people,
2015,Apprentices,Society and culture,S09,530,number,Number of people,
2016,Apprentices,Society and culture,S09,670,number,Number of people,
2017,Apprentices,Society and culture,S09,1735,number,Number of people,
2018,Apprentices,Society and culture,S09,2845,number,Number of people,
2019,Apprentices,Society and culture,S09,3130,number,Number of people,
2020,Apprentices,Society and culture,S09,3805,number,Number of people,
2021,Apprentices,Society and culture,S09,5425,number,Number of people,
2022,Apprentices,Society and culture,S09,6595,number,Number of people,
2023,Apprentices,Society and culture,S09,5885,number,Number of people,
2024,Apprentices,Society and culture,S09,5725,number,Number of people,
2015,Apprentices,Total,TOTAL,42000,number,Number of people,
2016,Apprentices,Total,TOTAL,42950,number,Number of people,
2017,Apprentices,Total,TOTAL,46095,number,Number of people,
2018,Apprentices,Total,TOTAL,50460,number,Number of people,
2019,Apprentices,Total,TOTAL,53525,number,Number of people,
2020,Apprentices,Total,TOTAL,61840,number,Number of people,
2021,Apprentices,Total,TOTAL,78440,number,Number of people,
2022,Apprentices,Total,TOTAL,84250,number,Number of people,
2023,Apprentices,Total,TOTAL,77445,number,Number of people,
2024,Apprentices,Total,TOTAL,69760,number,Number of people,
2015,Apprentices,Aerospace engineering and technology,S0315,740,number,Number of people,
2016,Apprentices,Aerospace engineering and technology,S0315,630,number,Number of people,
2017,Apprentices,Aerospace engineering and technology,S0315,570,number,Number of people,
2018,Apprentices,Aerospace engineering and technology,S0315,505,number,Number of people,
2019,Apprentices,Aerospace engineering and technology,S0315,500,number,Number of people,
2020,Apprentices,Aerospace engineering and technology,S0315,565,number,Number of people,
2021,Apprentices,Aerospace engineering and technology,S0315,575,number,Number of people,
2022,Apprentices,Aerospace engineering and technology,S0315,605,number,Number of people,
2023,Apprentices,Aerospace engineering and technology,S0315,590,number,Number of people,
2024,Apprentices,Aerospace engineering and technology,S0315,580,number,Number of people,
2015,Apprentices,Agriculture,S0501,2260,number,Number of people,
2016,Apprentices,Agriculture,S0501,2430,number,Number of people,
2017,Apprentices,Agriculture,S0501,2565,number,Number of people,
2018,Apprentices,Agriculture,S0501,2540,number,Number of people,
2019,Apprentices,Agriculture,S0501,3165,number,Number of people,
2020,Apprentices,Agriculture,S0501,3650,number,Number of people,
2021,Apprentices,Agriculture,S0501,4270,number,Number of people,
2022,Apprentices,Agriculture,S0501,3375,number,Number of people,
2023,Apprentices,Agriculture,S0501,1890,number,Number of people,
2024,Apprentices,Agriculture,S0501,1380,number,Number of people,
2015,Apprentices,Architecture and urban environment,S0401,0,number,Number of people,
