Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2024,Trainees,Other society and culture,S0999,520,number,Number of people,
2015,Trainees,Performing arts,S1001,0,number,Number of people,
2016,Trainees,Performing arts,S1001,0,number,Number of people,
2017,Trainees,Performing arts,S1001,0,number,Number of people,
2018,Trainees,Performing arts,S1001,45,number,Number of people,
2019,Trainees,Performing arts,S1001,75,number,Number of people,
2020,Trainees,Performing arts,S1001,220,number,Number of people,
2021,Trainees,Performing arts,S1001,160,number,Number of people,
2022,Trainees,Performing arts,S1001,95,number,Number of people,
2023,Trainees,Performing arts,S1001,65,number,Number of people,
2024,Trainees,Performing arts,S1001,150,number,Number of people,
2015,Trainees,Personal services,S1103,95,number,Number of people,
2016,Trainees,Personal services,S1103,90,number,Number of people,
2017,Trainees,Personal services,S1103,40,number,Number of people,
2018,Trainees,Personal services,S1103,95,number,Number of people,
2019,Trainees,Personal services,S1103,85,number,Number of people,
2020,Trainees,Personal services,S1103,25,number,Number of people,
2021,Trainees,Personal services,S1103,10,number,Number of people,
2022,Trainees,Personal services,S1103,5,number,Number of people,
2023,Trainees,Personal services,S1103,5,number,Number of people,
2024,Trainees,Personal services,S1103,0,number,Number of people,
2015,Trainees,Process and resources engineering,S0303,4515,number,Number of people,
2016,Trainees,Process and resources engineering,S0303,4370,number,Number of people,
2017,Trainees,Process and resources engineering,S0303,5810,number,Number of people,
2018,Trainees,Process and resources engineering,S0303,5930,number,Number of people,
2019,Trainees,Process and resources engineering,S0303,4980,number,Number of people,
2020,Trainees,Process and resources engineering,S0303,4445,number,Number of people,
2021,Trainees,Process and resources engineering,S0303,3895,number,Number of people,
2022,Trainees,Process and resources engineering,S0303,3590,number,Number of people,
2023,Trainees,Process and resources engineering,S0303,3015,number,Number of people,
2024,Trainees,Process and resources engineering,S0303,2490,number,Number of people,
2015,Trainees,Public health,S0613,2030,number,Number of people,
2016,Trainees,Public health,S0613,2940,number,Number of people,
2017,Trainees,Public health,S0613,2010,number,Number of people,
2018,Trainees,Public health,S0613,930,number,Number of people,
2019,Trainees,Public health,S0613,705,number,Number of people,
2020,Trainees,Public health,S0613,490,number,Number of people,
2021,Trainees,Public health,S0613,380,number,Number of people,
2022,Trainees,Public health,S0613,440,number,Number of people,
2023,Trainees,Public health,S0613,470,number,Number of people,
2024,Trainees,Public health,S0613,520,number,Number of people,
2015,Trainees,Sales and marketing,S0805,12620,number,Number of people,
2016,Trainees,Sales and marketing,S0805,15950,number,Number of people,
2017,Trainees,Sales and marketing,S0805,12645,number,Number of people,
2018,Trainees,Sales and marketing,S0805,9170,number,Number of people,
2019,Trainees,Sales and marketing,S0805,7435,number,Number of people,
2020,Trainees,Sales and marketing,S0805,5770,number,Number of people,
2021,Trainees,Sales and marketing,S0805,5320,number,Number of people,
2022,Trainees,Sales and marketing,S0805,4520,number,Number of people,
2023,Trainees,Sales and marketing,S0805,4105,number,Number of people,
2024,Trainees,Sales and marketing,S0805,2715,number,Number of people,
2015,Trainees,Sport and recreation,S0921,3265,number,Number of people,
2016,Trainees,Sport and recreation,S0921,4530,number,Number of people,
2017,Trainees,Sport and recreation,S0921,4155,number,Number of people,
2018,Trainees,Sport and recreation,S0921,3880,number,Number of people,
2019,Trainees,Sport and recreation,S0921,3530,number,Number of people,
2020,Trainees,Sport and recreation,S0921,2280,number,Number of people,
2021,Trainees,Sport and recreation,S0921,2735,number,Number of people,
2022,Trainees,Sport and recreation,S0921,2045,number,Number of people,
2023,Trainees,Sport and recreation,S0921,1885,number,Number of people,
2024,Trainees,Sport and recreation,S0921,2530,number,Number of people,
2015,Trainees,Studies in human society,S0903,0,number,Number of people,
2016,Trainees,Studies in human society,S0903,0,number,Number of people,
2017,Trainees,Studies in human society,S0903,0,number,Number of people,
2018,Trainees,Studies in human society,S0903,0,number,Number of people,
2019,Trainees,Studies in human society,S0903,0,number,Number of people,
2020,Trainees,Studies in human society,S0903,50,number,Number of people,
2021,Trainees,Studies in human society,S0903,80,number,Number of people,
2022,Trainees,Studies in human society,S0903,70,number,Number of people,
2023,Trainees,Studies in human society,S0903,60,number,Number of people,
2024,Trainees,Studies in human society,S0903,5,number,Number of people,
2015,Trainees,Teacher education,S0701,920,number,Number of people,
2016,Trainees,Teacher education,S0701,875,number,Number of people,
2017,Trainees,Teacher education,S0701,725,number,Number of people,
2018,Trainees,Teacher education,S0701,625,number,Number of people,
2019,Trainees,Teacher education,S0701,515,number,Number of people,
2020,Trainees,Teacher education,S0701,480,number,Number of people,
2021,Trainees,Teacher education,S0701,395,number,Number of people,
2022,Trainees,Teacher education,S0701,305,number,Number of people,
2023,Trainees,Teacher education,S0701,315,number,Number of people,
2024,Trainees,Teacher education,S0701,140,number,Number of people,
2015,Trainees,Tourism,S0807,1420,number,Number of people,
2016,Trainees,Tourism,S0807,1090,number,Number of people,
2017,Trainees,Tourism,S0807,1340,number,Number of people,
2018,Trainees,Tourism,S0807,1320,number,Number of people,
2019,Trainees,Tourism,S0807,740,number,Number of people,
2020,Trainees,Tourism,S0807,325,number,Number of people,
2021,Trainees,Tourism,S0807,180,number,Number of people,
2022,Trainees,Tourism,S0807,85,number,Number of people,
2023,Trainees,Tourism,S0807,45,number,Number of people,
2024,Trainees,Tourism,S0807,55,number,Number of people,
2015,Trainees,Veterinary studies,S0611,0,number,Number of people,
2016,Trainees,Veterinary studies,S0611,310,number,Number of people,
2017,Trainees,Veterinary studies,S0611,375,number,Number of people,
2018,Trainees,Veterinary studies,S0611,250,number,Number of people,
2019,Trainees,Veterinary studies,S0611,350,number,Number of people,
2020,Trainees,Veterinary studies,S0611,175,number,Number of people,
2021,Trainees,Veterinary studies,S0611,150,number,Number of people,
2022,Trainees,Veterinary studies,S0611,65,number,Number of people,
2023,Trainees,Veterinary studies,S0611,65,number,Number of people,
2024,Trainees,Veterinary studies,S0611,95,number,Number of people,
2015,Trainees,Visual arts and crafts,S1003,20,number,Number of people,
2016,Trainees,Visual arts and crafts,S1003,10,number,Number of people,
2017,Trainees,Visual arts and crafts,S1003,10,number,Number of people,
2018,Trainees,Visual arts and crafts,S1003,10,number,Number of people,
2019,Trainees,Visual arts and crafts,S1003,5,number,Number of people,
2020,Trainees,Visual arts and crafts,S1003,0,number,Number of people,
2021,Trainees,Visual arts and crafts,S1003,0,number,Number of people,
2022,Trainees,Visual arts and crafts,S1003,0,number,Number of people,
2023,Trainees,Visual arts and crafts,S1003,0,number,Number of people,
2024,Trainees,Visual arts and crafts,S1003,0,number,Number of people,
