Census Year,Subject population,Age group,Post-school qualification field of study,Post-school qualification field of study Code,Unit,Value,Value Unit,Value Label,Null Reason
2023,Census usually resident population,15-*,Astronomy,S010303,Count,213,number,Number of people,
2023,Census usually resident population,15-*,Astronomy,S010303,Percentage of total stated,0.005523013854208,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Chemical sciences not further defined,S010500,Count,8361,number,Number of people,
2013,Census usually resident population,15-*,Chemical sciences not further defined,S010500,Percentage of total stated,0.2830496235653,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Chemical sciences not further defined,S010500,Count,4083,number,Number of people,
2018,Census usually resident population,15-*,Chemical sciences not further defined,S010500,Percentage of total stated,0.1164450133129,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Chemical sciences not further defined,S010500,Count,4581,number,Number of people,
2023,Census usually resident population,15-*,Chemical sciences not further defined,S010500,Percentage of total stated,0.1187836923292,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Organic chemistry,S010501,Count,117,number,Number of people,
2013,Census usually resident population,15-*,Organic chemistry,S010501,Percentage of total stated,0.00396086663762,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Organic chemistry,S010501,Count,1983,number,Number of people,
2018,Census usually resident population,15-*,Organic chemistry,S010501,Percentage of total stated,0.05655411741353,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Organic chemistry,S010501,Count,2196,number,Number of people,
2023,Census usually resident population,15-*,Organic chemistry,S010501,Percentage of total stated,0.05694149494761,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Inorganic chemistry,S010503,Count,18,number,Number of people,
2013,Census usually resident population,15-*,Inorganic chemistry,S010503,Percentage of total stated,0.0006093640980954,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Inorganic chemistry,S010503,Count,1119,number,Number of people,
2018,Census usually resident population,15-*,Inorganic chemistry,S010503,Percentage of total stated,0.03191329167209,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Inorganic chemistry,S010503,Count,1176,number,Number of people,
2023,Census usually resident population,15-*,Inorganic chemistry,S010503,Percentage of total stated,0.03049325958943,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Chemical sciences not elsewhere classified,S010599,Count,279,number,Number of people,
2013,Census usually resident population,15-*,Chemical sciences not elsewhere classified,S010599,Percentage of total stated,0.009445143520479,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Chemical sciences not elsewhere classified,S010599,Count,1470,number,Number of people,
2018,Census usually resident population,15-*,Chemical sciences not elsewhere classified,S010599,Percentage of total stated,0.04192362712955,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Chemical sciences not elsewhere classified,S010599,Count,1479,number,Number of people,
2023,Census usually resident population,15-*,Chemical sciences not elsewhere classified,S010599,Percentage of total stated,0.03834994126936,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Earth sciences not further defined,S010700,Count,612,number,Number of people,
2013,Census usually resident population,15-*,Earth sciences not further defined,S010700,Percentage of total stated,0.02071837933524,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Earth sciences not further defined,S010700,Count,693,number,Number of people,
2018,Census usually resident population,15-*,Earth sciences not further defined,S010700,Percentage of total stated,0.01976399564679,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Earth sciences not further defined,S010700,Count,957,number,Number of people,
2023,Census usually resident population,15-*,Earth sciences not further defined,S010700,Percentage of total stated,0.02481466788017,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Atmospheric sciences,S010701,Count,150,number,Number of people,
2013,Census usually resident population,15-*,Atmospheric sciences,S010701,Percentage of total stated,0.005078034150795,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Atmospheric sciences,S010701,Count,207,number,Number of people,
2018,Census usually resident population,15-*,Atmospheric sciences,S010701,Percentage of total stated,0.005903531167222,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Atmospheric sciences,S010701,Count,246,number,Number of people,
2023,Census usually resident population,15-*,Atmospheric sciences,S010701,Percentage of total stated,0.006378692056973,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Geology,S010703,Count,2715,number,Number of people,
2013,Census usually resident population,15-*,Geology,S010703,Percentage of total stated,0.09191241812939,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Geology,S010703,Count,3621,number,Number of people,
2018,Census usually resident population,15-*,Geology,S010703,Percentage of total stated,0.103269016215,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Geology,S010703,Count,4029,number,Number of people,
2023,Census usually resident population,15-*,Geology,S010703,Percentage of total stated,0.1044705296648,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Geophysics,S010705,Count,240,number,Number of people,
2013,Census usually resident population,15-*,Geophysics,S010705,Percentage of total stated,0.008124854641272,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Geophysics,S010705,Count,360,number,Number of people,
2018,Census usually resident population,15-*,Geophysics,S010705,Percentage of total stated,0.0102670107256,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Geophysics,S010705,Count,387,number,Number of people,
2023,Census usually resident population,15-*,Geophysics,S010705,Percentage of total stated,0.0100347716506,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Geochemistry,S010707,Count,72,number,Number of people,
2013,Census usually resident population,15-*,Geochemistry,S010707,Percentage of total stated,0.002437456392382,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Geochemistry,S010707,Count,99,number,Number of people,
2018,Census usually resident population,15-*,Geochemistry,S010707,Percentage of total stated,0.002823427949541,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Geochemistry,S010707,Count,108,number,Number of people,
2023,Census usually resident population,15-*,Geochemistry,S010707,Percentage of total stated,0.002800401390866,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Soil science,S010709,Count,357,number,Number of people,
2013,Census usually resident population,15-*,Soil science,S010709,Percentage of total stated,0.01208572127889,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Soil science,S010709,Count,411,number,Number of people,
2018,Census usually resident population,15-*,Soil science,S010709,Percentage of total stated,0.01172150391173,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Soil science,S010709,Count,414,number,Number of people,
2023,Census usually resident population,15-*,Soil science,S010709,Percentage of total stated,0.01073487199832,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Hydrology,S010711,Count,147,number,Number of people,
2013,Census usually resident population,15-*,Hydrology,S010711,Percentage of total stated,0.004976473467779,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Hydrology,S010711,Count,138,number,Number of people,
2018,Census usually resident population,15-*,Hydrology,S010711,Percentage of total stated,0.003935687444815,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Hydrology,S010711,Count,141,number,Number of people,
2023,Census usually resident population,15-*,Hydrology,S010711,Percentage of total stated,0.003656079593631,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Oceanography,S010713,Count,84,number,Number of people,
2013,Census usually resident population,15-*,Oceanography,S010713,Percentage of total stated,0.002843699124445,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Oceanography,S010713,Count,150,number,Number of people,
2018,Census usually resident population,15-*,Oceanography,S010713,Percentage of total stated,0.004277921135668,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Oceanography,S010713,Count,168,number,Number of people,
2023,Census usually resident population,15-*,Oceanography,S010713,Percentage of total stated,0.004356179941347,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Earth sciences not elsewhere classified,S010799,Count,453,number,Number of people,
2013,Census usually resident population,15-*,Earth sciences not elsewhere classified,S010799,Percentage of total stated,0.0153356631354,percentage,% of people aged 15+ where information available,
