Census Year,Subject population,Age group,Post-school qualification field of study,Post-school qualification field of study Code,Unit,Value,Value Unit,Value Label,Null Reason
2023,Census usually resident population,15-*,Electrical engineering,S031301,Percentage of total stated,1.051706300125,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Electronic engineering,S031303,Count,4812,number,Number of people,
2013,Census usually resident population,15-*,Electronic engineering,S031303,Percentage of total stated,0.1629033355575,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Electronic engineering,S031303,Count,2679,number,Number of people,
2018,Census usually resident population,15-*,Electronic engineering,S031303,Percentage of total stated,0.07640367148304,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Electronic engineering,S031303,Count,3621,number,Number of people,
2023,Census usually resident population,15-*,Electronic engineering,S031303,Percentage of total stated,0.09389123552154,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Computer engineering,S031305,Count,1989,number,Number of people,
2013,Census usually resident population,15-*,Computer engineering,S031305,Percentage of total stated,0.06733473283955,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Computer engineering,S031305,Count,11565,number,Number of people,
2018,Census usually resident population,15-*,Computer engineering,S031305,Percentage of total stated,0.32982771956,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Computer engineering,S031305,Count,14289,number,Number of people,
2023,Census usually resident population,15-*,Computer engineering,S031305,Percentage of total stated,0.3705086617971,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Communications technologies,S031307,Count,1899,number,Number of people,
2013,Census usually resident population,15-*,Communications technologies,S031307,Percentage of total stated,0.06428791234907,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Communications technologies,S031307,Count,5451,number,Number of people,
2018,Census usually resident population,15-*,Communications technologies,S031307,Percentage of total stated,0.1554596540702,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Communications technologies,S031307,Count,5925,number,Number of people,
2023,Census usually resident population,15-*,Communications technologies,S031307,Percentage of total stated,0.15363313186,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Communications equipment installation and maintenance,S031309,Count,6690,number,Number of people,
2013,Census usually resident population,15-*,Communications equipment installation and maintenance,S031309,Percentage of total stated,0.2264803231255,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Communications equipment installation and maintenance,S031309,Count,5397,number,Number of people,
2018,Census usually resident population,15-*,Communications equipment installation and maintenance,S031309,Percentage of total stated,0.1539196024613,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Communications equipment installation and maintenance,S031309,Count,5490,number,Number of people,
2023,Census usually resident population,15-*,Communications equipment installation and maintenance,S031309,Percentage of total stated,0.142353737369,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Power line installation and maintenance,S031311,Count,1260,number,Number of people,
2013,Census usually resident population,15-*,Power line installation and maintenance,S031311,Percentage of total stated,0.04265548686668,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Power line installation and maintenance,S031311,Count,1950,number,Number of people,
2018,Census usually resident population,15-*,Power line installation and maintenance,S031311,Percentage of total stated,0.05561297476369,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Power line installation and maintenance,S031311,Count,2001,number,Number of people,
2023,Census usually resident population,15-*,Power line installation and maintenance,S031311,Percentage of total stated,0.05188521465855,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,"Electrical fitting, electrical mechanics",S031313,Count,1056,number,Number of people,
2013,Census usually resident population,15-*,"Electrical fitting, electrical mechanics",S031313,Percentage of total stated,0.0357493604216,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,"Electrical fitting, electrical mechanics",S031313,Count,4260,number,Number of people,
2018,Census usually resident population,15-*,"Electrical fitting, electrical mechanics",S031313,Percentage of total stated,0.121492960253,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,"Electrical fitting, electrical mechanics",S031313,Count,4131,number,Number of people,
2023,Census usually resident population,15-*,"Electrical fitting, electrical mechanics",S031313,Percentage of total stated,0.1071153532006,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,"Refrigeration, heating and air conditioning",S031315,Count,2526,number,Number of people,
2013,Census usually resident population,15-*,"Refrigeration, heating and air conditioning",S031315,Percentage of total stated,0.08551409509939,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,"Refrigeration, heating and air conditioning",S031315,Count,2436,number,Number of people,
2018,Census usually resident population,15-*,"Refrigeration, heating and air conditioning",S031315,Percentage of total stated,0.06947343924325,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,"Refrigeration, heating and air conditioning",S031315,Count,3024,number,Number of people,
2023,Census usually resident population,15-*,"Refrigeration, heating and air conditioning",S031315,Percentage of total stated,0.07841123894425,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Electronic equipment servicing,S031317,Count,1353,number,Number of people,
2013,Census usually resident population,15-*,Electronic equipment servicing,S031317,Percentage of total stated,0.04580386804017,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Electronic equipment servicing,S031317,Count,1416,number,Number of people,
2018,Census usually resident population,15-*,Electronic equipment servicing,S031317,Percentage of total stated,0.04038357552071,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Electronic equipment servicing,S031317,Count,1197,number,Number of people,
2023,Census usually resident population,15-*,Electronic equipment servicing,S031317,Percentage of total stated,0.0310377820821,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Electrical and electronic engineering  and technology not elsewhere classified,S031399,Count,822,number,Number of people,
2013,Census usually resident population,15-*,Electrical and electronic engineering  and technology not elsewhere classified,S031399,Percentage of total stated,0.02782762714636,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Electrical and electronic engineering  and technology not elsewhere classified,S031399,Count,732,number,Number of people,
2018,Census usually resident population,15-*,Electrical and electronic engineering  and technology not elsewhere classified,S031399,Percentage of total stated,0.02087625514206,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Electrical and electronic engineering  and technology not elsewhere classified,S031399,Count,1131,number,Number of people,
2023,Census usually resident population,15-*,Electrical and electronic engineering  and technology not elsewhere classified,S031399,Percentage of total stated,0.02932642567657,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Aerospace engineering and technology not further defined,S031500,Count,0,number,Number of people,
2013,Census usually resident population,15-*,Aerospace engineering and technology not further defined,S031500,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Aerospace engineering and technology not further defined,S031500,Count,3,number,Number of people,
2018,Census usually resident population,15-*,Aerospace engineering and technology not further defined,S031500,Percentage of total stated,0.00008555842271337,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Aerospace engineering and technology not further defined,S031500,Count,0,number,Number of people,
2023,Census usually resident population,15-*,Aerospace engineering and technology not further defined,S031500,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Aerospace engineering,S031501,Count,510,number,Number of people,
2013,Census usually resident population,15-*,Aerospace engineering,S031501,Percentage of total stated,0.0172653161127,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Aerospace engineering,S031501,Count,633,number,Number of people,
2018,Census usually resident population,15-*,Aerospace engineering,S031501,Percentage of total stated,0.01805282719252,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Aerospace engineering,S031501,Count,792,number,Number of people,
2023,Census usually resident population,15-*,Aerospace engineering,S031501,Percentage of total stated,0.02053627686635,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Aircraft maintenance engineering,S031503,Count,3663,number,Number of people,
2013,Census usually resident population,15-*,Aircraft maintenance engineering,S031503,Percentage of total stated,0.1240055939624,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Aircraft maintenance engineering,S031503,Count,3528,number,Number of people,
2018,Census usually resident population,15-*,Aircraft maintenance engineering,S031503,Percentage of total stated,0.1006167051109,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Aircraft maintenance engineering,S031503,Count,4242,number,Number of people,
2023,Census usually resident population,15-*,Aircraft maintenance engineering,S031503,Percentage of total stated,0.109993543519,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Aircraft operation,S031505,Count,3822,number,Number of people,
2013,Census usually resident population,15-*,Aircraft operation,S031505,Percentage of total stated,0.1293883101623,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Aircraft operation,S031505,Count,4161,number,Number of people,
2018,Census usually resident population,15-*,Aircraft operation,S031505,Percentage of total stated,0.1186695323034,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Aircraft operation,S031505,Count,5457,number,Number of people,
2023,Census usually resident population,15-*,Aircraft operation,S031505,Percentage of total stated,0.1414980591663,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Air traffic control,S031507,Count,330,number,Number of people,
2013,Census usually resident population,15-*,Air traffic control,S031507,Percentage of total stated,0.01117167513175,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Air traffic control,S031507,Count,351,number,Number of people,
2018,Census usually resident population,15-*,Air traffic control,S031507,Percentage of total stated,0.01001033545746,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Air traffic control,S031507,Count,366,number,Number of people,
2023,Census usually resident population,15-*,Air traffic control,S031507,Percentage of total stated,0.009490249157935,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Aerospace engineering and technology not elsewhere classified,S031599,Count,0,number,Number of people,
2013,Census usually resident population,15-*,Aerospace engineering and technology not elsewhere classified,S031599,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Aerospace engineering and technology not elsewhere classified,S031599,Count,0,number,Number of people,
2018,Census usually resident population,15-*,Aerospace engineering and technology not elsewhere classified,S031599,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Aerospace engineering and technology not elsewhere classified,S031599,Count,3,number,Number of people,
2023,Census usually resident population,15-*,Aerospace engineering and technology not elsewhere classified,S031599,Percentage of total stated,0.00007778892752406,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Maritime engineering and technology not further defined,S031700,Count,0,number,Number of people,
2013,Census usually resident population,15-*,Maritime engineering and technology not further defined,S031700,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Maritime engineering and technology not further defined,S031700,Count,3,number,Number of people,
2018,Census usually resident population,15-*,Maritime engineering and technology not further defined,S031700,Percentage of total stated,0.00008555842271337,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Maritime engineering and technology not further defined,S031700,Count,0,number,Number of people,
2023,Census usually resident population,15-*,Maritime engineering and technology not further defined,S031700,Percentage of total stated,0,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Maritime engineering,S031701,Count,2049,number,Number of people,
2013,Census usually resident population,15-*,Maritime engineering,S031701,Percentage of total stated,0.06936594649986,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Maritime engineering,S031701,Count,2592,number,Number of people,
2018,Census usually resident population,15-*,Maritime engineering,S031701,Percentage of total stated,0.07392247722435,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Maritime engineering,S031701,Count,3117,number,Number of people,
2023,Census usually resident population,15-*,Maritime engineering,S031701,Percentage of total stated,0.08082269569749,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Marine construction,S031703,Count,1428,number,Number of people,
2013,Census usually resident population,15-*,Marine construction,S031703,Percentage of total stated,0.04834288511557,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Marine construction,S031703,Count,1161,number,Number of people,
2018,Census usually resident population,15-*,Marine construction,S031703,Percentage of total stated,0.03311110959007,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Marine construction,S031703,Count,1467,number,Number of people,
2023,Census usually resident population,15-*,Marine construction,S031703,Percentage of total stated,0.03803878555926,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Marine craft operation,S031705,Count,2472,number,Number of people,
2013,Census usually resident population,15-*,Marine craft operation,S031705,Percentage of total stated,0.08368600280511,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Marine craft operation,S031705,Count,2370,number,Number of people,
2018,Census usually resident population,15-*,Marine craft operation,S031705,Percentage of total stated,0.06759115394356,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Marine craft operation,S031705,Count,3867,number,Number of people,
2023,Census usually resident population,15-*,Marine craft operation,S031705,Percentage of total stated,0.1002699275785,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Maritime engineering and technology not elsewhere classified,S031799,Count,108,number,Number of people,
2013,Census usually resident population,15-*,Maritime engineering and technology not elsewhere classified,S031799,Percentage of total stated,0.003656184588573,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Maritime engineering and technology not elsewhere classified,S031799,Count,117,number,Number of people,
2018,Census usually resident population,15-*,Maritime engineering and technology not elsewhere classified,S031799,Percentage of total stated,0.003336778485821,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Maritime engineering and technology not elsewhere classified,S031799,Count,234,number,Number of people,
2023,Census usually resident population,15-*,Maritime engineering and technology not elsewhere classified,S031799,Percentage of total stated,0.006067536346876,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Other engineering and related technologies not further defined,S039900,Count,3,number,Number of people,
2013,Census usually resident population,15-*,Other engineering and related technologies not further defined,S039900,Percentage of total stated,0.0001015606830159,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Other engineering and related technologies not further defined,S039900,Count,3,number,Number of people,
2018,Census usually resident population,15-*,Other engineering and related technologies not further defined,S039900,Percentage of total stated,0.00008555842271337,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Other engineering and related technologies not further defined,S039900,Count,33,number,Number of people,
2023,Census usually resident population,15-*,Other engineering and related technologies not further defined,S039900,Percentage of total stated,0.0008556782027646,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Environmental engineering,S039901,Count,2598,number,Number of people,
2013,Census usually resident population,15-*,Environmental engineering,S039901,Percentage of total stated,0.08795155149177,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Environmental engineering,S039901,Count,4836,number,Number of people,
2018,Census usually resident population,15-*,Environmental engineering,S039901,Percentage of total stated,0.1379201774139,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Environmental engineering,S039901,Count,5742,number,Number of people,
2023,Census usually resident population,15-*,Environmental engineering,S039901,Percentage of total stated,0.148888007281,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Orthotics and prosthetics,S039902,Count,90,number,Number of people,
2013,Census usually resident population,15-*,Orthotics and prosthetics,S039902,Percentage of total stated,0.003046820490477,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Orthotics and prosthetics,S039902,Count,108,number,Number of people,
2018,Census usually resident population,15-*,Orthotics and prosthetics,S039902,Percentage of total stated,0.003080103217681,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Orthotics and prosthetics,S039902,Count,129,number,Number of people,
2023,Census usually resident population,15-*,Orthotics and prosthetics,S039902,Percentage of total stated,0.003344923883534,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Biomedical engineering,S039903,Count,141,number,Number of people,
2013,Census usually resident population,15-*,Biomedical engineering,S039903,Percentage of total stated,0.004773352101748,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Biomedical engineering,S039903,Count,396,number,Number of people,
2018,Census usually resident population,15-*,Biomedical engineering,S039903,Percentage of total stated,0.01129371179816,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Biomedical engineering,S039903,Count,903,number,Number of people,
2023,Census usually resident population,15-*,Biomedical engineering,S039903,Percentage of total stated,0.02341446718474,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Fire technology and rescue services,S039905,Count,1029,number,Number of people,
2013,Census usually resident population,15-*,Fire technology and rescue services,S039905,Percentage of total stated,0.03483531427446,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Fire technology and rescue services,S039905,Count,1245,number,Number of people,
2018,Census usually resident population,15-*,Fire technology and rescue services,S039905,Percentage of total stated,0.03550674542605,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Fire technology and rescue services,S039905,Count,1563,number,Number of people,
2023,Census usually resident population,15-*,Fire technology and rescue services,S039905,Percentage of total stated,0.04052803124003,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Rail operations,S039907,Count,210,number,Number of people,
2013,Census usually resident population,15-*,Rail operations,S039907,Percentage of total stated,0.007109247811113,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Rail operations,S039907,Count,156,number,Number of people,
2018,Census usually resident population,15-*,Rail operations,S039907,Percentage of total stated,0.004449037981095,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Rail operations,S039907,Count,231,number,Number of people,
2023,Census usually resident population,15-*,Rail operations,S039907,Percentage of total stated,0.005989747419352,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Cleaning,S039909,Count,126,number,Number of people,
2013,Census usually resident population,15-*,Cleaning,S039909,Percentage of total stated,0.004265548686668,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Cleaning,S039909,Count,210,number,Number of people,
2018,Census usually resident population,15-*,Cleaning,S039909,Percentage of total stated,0.005989089589936,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Cleaning,S039909,Count,318,number,Number of people,
2023,Census usually resident population,15-*,Cleaning,S039909,Percentage of total stated,0.00824562631755,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Engineering and related technologies  not elsewhere classified,S039999,Count,927,number,Number of people,
2013,Census usually resident population,15-*,Engineering and related technologies  not elsewhere classified,S039999,Percentage of total stated,0.03138225105191,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Engineering and related technologies  not elsewhere classified,S039999,Count,519,number,Number of people,
2018,Census usually resident population,15-*,Engineering and related technologies  not elsewhere classified,S039999,Percentage of total stated,0.01480160712941,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Engineering and related technologies  not elsewhere classified,S039999,Count,1353,number,Number of people,
2023,Census usually resident population,15-*,Engineering and related technologies  not elsewhere classified,S039999,Percentage of total stated,0.03508280631335,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Architecture and building not further defined,S0400,Count,45,number,Number of people,
2013,Census usually resident population,15-*,Architecture and building not further defined,S0400,Percentage of total stated,0.001523410245239,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Architecture and building not further defined,S0400,Count,27,number,Number of people,
2018,Census usually resident population,15-*,Architecture and building not further defined,S0400,Percentage of total stated,0.0007700258044203,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Architecture and building not further defined,S0400,Count,72,number,Number of people,
2023,Census usually resident population,15-*,Architecture and building not further defined,S0400,Percentage of total stated,0.001866934260577,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Architecture and urban environment not further defined,S040100,Count,42,number,Number of people,
2013,Census usually resident population,15-*,Architecture and urban environment not further defined,S040100,Percentage of total stated,0.001421849562223,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Architecture and urban environment not further defined,S040100,Count,24,number,Number of people,
2018,Census usually resident population,15-*,Architecture and urban environment not further defined,S040100,Percentage of total stated,0.0006844673817069,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Architecture and urban environment not further defined,S040100,Count,72,number,Number of people,
2023,Census usually resident population,15-*,Architecture and urban environment not further defined,S040100,Percentage of total stated,0.001866934260577,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Architecture,S040101,Count,8838,number,Number of people,
2013,Census usually resident population,15-*,Architecture,S040101,Percentage of total stated,0.2991977721649,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Architecture,S040101,Count,11766,number,Number of people,
2018,Census usually resident population,15-*,Architecture,S040101,Percentage of total stated,0.3355601338818,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Architecture,S040101,Count,15183,number,Number of people,
2023,Census usually resident population,15-*,Architecture,S040101,Percentage of total stated,0.3936897621992,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Urban design and regional planning,S040103,Count,2115,number,Number of people,
2013,Census usually resident population,15-*,Urban design and regional planning,S040103,Percentage of total stated,0.07160028152621,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Urban design and regional planning,S040103,Count,2124,number,Number of people,
2018,Census usually resident population,15-*,Urban design and regional planning,S040103,Percentage of total stated,0.06057536328106,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Urban design and regional planning,S040103,Count,2670,number,Number of people,
2023,Census usually resident population,15-*,Urban design and regional planning,S040103,Percentage of total stated,0.06923214549641,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Landscape architecture,S040105,Count,1953,number,Number of people,
2013,Census usually resident population,15-*,Landscape architecture,S040105,Percentage of total stated,0.06611600464335,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Landscape architecture,S040105,Count,2499,number,Number of people,
2018,Census usually resident population,15-*,Landscape architecture,S040105,Percentage of total stated,0.07127016612023,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Landscape architecture,S040105,Count,3150,number,Number of people,
2023,Census usually resident population,15-*,Landscape architecture,S040105,Percentage of total stated,0.08167837390026,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Interior and environmental design,S040107,Count,2637,number,Number of people,
2013,Census usually resident population,15-*,Interior and environmental design,S040107,Percentage of total stated,0.08927184037098,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Interior and environmental design,S040107,Count,3075,number,Number of people,
2018,Census usually resident population,15-*,Interior and environmental design,S040107,Percentage of total stated,0.0876973832812,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Interior and environmental design,S040107,Count,4164,number,Number of people,
2023,Census usually resident population,15-*,Interior and environmental design,S040107,Percentage of total stated,0.1079710314034,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Architecture and urban environment not elsewhere classified,S040199,Count,21,number,Number of people,
2013,Census usually resident population,15-*,Architecture and urban environment not elsewhere classified,S040199,Percentage of total stated,0.0007109247811113,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Architecture and urban environment not elsewhere classified,S040199,Count,33,number,Number of people,
2018,Census usually resident population,15-*,Architecture and urban environment not elsewhere classified,S040199,Percentage of total stated,0.000941142649847,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Architecture and urban environment not elsewhere classified,S040199,Count,120,number,Number of people,
2023,Census usually resident population,15-*,Architecture and urban environment not elsewhere classified,S040199,Percentage of total stated,0.003111557100962,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Building not further defined,S040300,Count,9090,number,Number of people,
2013,Census usually resident population,15-*,Building not further defined,S040300,Percentage of total stated,0.3077288695382,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Building not further defined,S040300,Count,3708,number,Number of people,
2018,Census usually resident population,15-*,Building not further defined,S040300,Percentage of total stated,0.1057502104737,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Building not further defined,S040300,Count,5973,number,Number of people,
2023,Census usually resident population,15-*,Building not further defined,S040300,Percentage of total stated,0.1548777547004,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Building science and technology,S040301,Count,438,number,Number of people,
2013,Census usually resident population,15-*,Building science and technology,S040301,Percentage of total stated,0.01482785972032,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Building science and technology,S040301,Count,597,number,Number of people,
2018,Census usually resident population,15-*,Building science and technology,S040301,Percentage of total stated,0.01702612611996,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Building science and technology,S040301,Count,930,number,Number of people,
2023,Census usually resident population,15-*,Building science and technology,S040301,Percentage of total stated,0.02411456753246,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Building construction management,S040303,Count,4224,number,Number of people,
2013,Census usually resident population,15-*,Building construction management,S040303,Percentage of total stated,0.1429974416864,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Building construction management,S040303,Count,12819,number,Number of people,
2018,Census usually resident population,15-*,Building construction management,S040303,Percentage of total stated,0.3655911402542,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Building construction management,S040303,Count,16521,number,Number of people,
2023,Census usually resident population,15-*,Building construction management,S040303,Percentage of total stated,0.428383623875,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Building surveying (inspection),S040305,Count,168,number,Number of people,
2013,Census usually resident population,15-*,Building surveying (inspection),S040305,Percentage of total stated,0.005687398248891,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Building surveying (inspection),S040305,Count,411,number,Number of people,
2018,Census usually resident population,15-*,Building surveying (inspection),S040305,Percentage of total stated,0.01172150391173,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Building surveying (inspection),S040305,Count,933,number,Number of people,
2023,Census usually resident population,15-*,Building surveying (inspection),S040305,Percentage of total stated,0.02419235645998,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Building construction economics (including quantity surveying),S040307,Count,2037,number,Number of people,
2013,Census usually resident population,15-*,Building construction economics (including quantity surveying),S040307,Percentage of total stated,0.0689597037678,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Building construction economics (including quantity surveying),S040307,Count,2295,number,Number of people,
2018,Census usually resident population,15-*,Building construction economics (including quantity surveying),S040307,Percentage of total stated,0.06545219337572,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Building construction economics (including quantity surveying),S040307,Count,4746,number,Number of people,
2023,Census usually resident population,15-*,Building construction economics (including quantity surveying),S040307,Percentage of total stated,0.1230620833431,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Bricklaying and stonemasonry,S040309,Count,1842,number,Number of people,
2013,Census usually resident population,15-*,Bricklaying and stonemasonry,S040309,Percentage of total stated,0.06235825937177,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Bricklaying and stonemasonry,S040309,Count,1344,number,Number of people,
2018,Census usually resident population,15-*,Bricklaying and stonemasonry,S040309,Percentage of total stated,0.03833017337559,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Bricklaying and stonemasonry,S040309,Count,1737,number,Number of people,
2023,Census usually resident population,15-*,Bricklaying and stonemasonry,S040309,Percentage of total stated,0.04503978903643,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,Carpentry and joinery,S040311,Count,32718,number,Number of people,
2013,Census usually resident population,15-*,Carpentry and joinery,S040311,Percentage of total stated,1.107620808971,percentage,% of people aged 15+ where information available,
2018,Census usually resident population,15-*,Carpentry and joinery,S040311,Count,26475,number,Number of people,
2018,Census usually resident population,15-*,Carpentry and joinery,S040311,Percentage of total stated,0.7550530804455,percentage,% of people aged 15+ where information available,
2023,Census usually resident population,15-*,Carpentry and joinery,S040311,Count,36564,number,Number of people,
2023,Census usually resident population,15-*,Carpentry and joinery,S040311,Percentage of total stated,0.9480914486632,percentage,% of people aged 15+ where information available,
2013,Census usually resident population,15-*,"Ceiling, wall and floor fixing",S040313,Count,369,number,Number of people,
2013,Census usually resident population,15-*,"Ceiling, wall and floor fixing",S040313,Percentage of total stated,0.01249196401096,percentage,% of people aged 15+ where information available,
