Year,Predominant field of study,Predominant field of study Code,Qualification,Qualification Code,Student origin,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Female,25-39,395,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Female,40-*,100,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Female,total,1290,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Male,18-19,70,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Male,20-24,70,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Male,25-39,60,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Male,40-*,10,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Male,total,215,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Total,*-17,55,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Total,18-19,445,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Total,20-24,445,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Total,25-39,455,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Total,40-*,110,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 4 certificate,Level 4 Certificate,Domestic,Total,total,1510,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,18-19,75,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,20-24,135,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,25-39,185,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,40-*,105,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,total,495,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,18-19,25,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,20-24,40,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,25-39,25,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,40-*,15,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,total,100,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,18-19,95,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,20-24,180,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,25-39,210,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,40-*,120,number,Number of students enrolled,
2024,Biological sciences,S0109,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Total,total,605,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Female,*-17,10,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Female,18-19,2190,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Female,20-24,2845,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Female,25-39,480,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Female,40-*,115,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Female,total,5635,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Male,18-19,995,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Male,20-24,1430,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Male,25-39,240,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Male,40-*,35,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Male,total,2705,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Total,*-17,15,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Total,18-19,3210,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Total,20-24,4335,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Total,25-39,735,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Total,40-*,150,number,Number of students enrolled,
2024,Biological sciences,S0109,Bachelor degree,Bachelor Degree,Domestic,Total,total,8440,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,20-24,5,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,25-39,20,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,40-*,5,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Female,total,25,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,20-24,5,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,25-39,10,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,40-*,5,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Male,total,15,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,20-24,5,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,25-39,25,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,40-*,10,number,Number of students enrolled,
2024,Biological sciences,S0109,Graduate diploma/certificate,Graduate Diploma/Certificate,Domestic,Total,total,40,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,18-19,20,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,20-24,180,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,25-39,115,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,40-*,50,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Female,total,365,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,18-19,10,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,20-24,90,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,25-39,50,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,40-*,10,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Male,total,160,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,18-19,30,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,20-24,275,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,25-39,165,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,40-*,65,number,Number of students enrolled,
2024,Biological sciences,S0109,Honours or postgraduate diploma/certificate,Postgraduate Diploma/Certificate and Bachelor Honours,Domestic,Total,total,530,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Female,20-24,225,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Female,25-39,165,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Female,40-*,30,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Female,total,420,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Male,20-24,125,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Male,25-39,85,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Male,40-*,15,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Male,total,230,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Total,20-24,350,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Total,25-39,260,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Total,40-*,45,number,Number of students enrolled,
2024,Biological sciences,S0109,Masters degree,Masters Degree,Domestic,Total,total,660,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Female,20-24,50,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Female,25-39,270,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Female,40-*,30,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Female,total,350,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Male,20-24,30,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Male,25-39,130,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Male,40-*,25,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Male,total,180,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Total,20-24,80,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Total,25-39,405,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Total,40-*,55,number,Number of students enrolled,
2024,Biological sciences,S0109,Doctorate degree,Doctorate Degree,Domestic,Total,total,535,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Female,*-17,70,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Female,18-19,2650,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Female,20-24,3775,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Female,40-*,430,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Female,total,8520,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Male,*-17,10,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Male,18-19,1090,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Male,20-24,1770,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Male,25-39,590,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Male,40-*,115,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Male,total,3570,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Total,*-17,75,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Total,18-19,3775,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Total,20-24,5620,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Total,25-39,2220,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Total,40-*,540,number,Number of students enrolled,
2024,Biological sciences,S0109,Total people,Total,Domestic,Total,total,12235,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Female,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Female,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Female,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Female,total,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Male,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Male,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Male,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Male,total,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Total,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Total,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Total,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 1 certificate,Level 1 Certificate,Domestic,Total,total,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Female,*-17,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Female,18-19,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Female,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Female,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Female,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Female,total,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Male,18-19,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Male,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Male,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Male,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Male,total,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Total,*-17,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Total,18-19,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Total,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Total,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Total,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 2 certificate,Level 2 Certificate,Domestic,Total,total,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Female,18-19,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Female,20-24,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Female,25-39,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Female,40-*,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Female,total,15,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Male,*-17,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Male,18-19,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Male,20-24,10,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Male,25-39,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Male,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Male,total,20,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Total,*-17,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Total,18-19,10,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Total,20-24,15,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Total,25-39,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Total,40-*,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 3 certificate,Level 3 Certificate,Domestic,Total,total,35,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Female,18-19,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Female,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Female,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Female,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Female,total,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Male,18-19,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Male,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Male,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Male,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Male,total,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Total,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Total,18-19,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Total,20-24,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Total,25-39,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Total,40-*,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 4 certificate,Level 4 Certificate,Domestic,Total,total,5,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,18-19,25,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,20-24,30,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,25-39,50,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,40-*,40,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Female,total,150,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,*-17,0,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,18-19,10,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,20-24,20,number,Number of students enrolled,
2024,Other natural and physical sciences,S0199,Level 5-7 certificate and diploma,Level 5-7 Certificate and Diploma,Domestic,Male,25-39,10,number,Number of students enrolled,
