X,Y,OBJECTID,TYPE,Location,GlobalID,Facility,Description,NeedsChecking,SubType,PopUp,created_user,created_date,last_edited_user,last_edited_date,Shape
1770144.9666,5444453.8324,208,Tilley Tilt,Trentham Memorial Park,{EF441288-9F0B-43FF-9779-7FAB0134DF7F},Rubbish Bin,Tilly tilt stained (cricket club),,,Rubbish Bin,,,,,
1770145.6799,5444454.4591,209,Tilley Tilt,Trentham Memorial Park,{428D943A-6E55-4702-884C-ECDC2E69FED9},Rubbish Bin,Tilly tilt stained (cricket club),,,Rubbish Bin,,,,,
1770614.3209,5444115.6073,210,Tilley Tilt,Trentham Memorial Park,{714ACCCB-B551-44FC-AFAB-C5C74920AB53},Rubbish Bin,Tilley Tilt Rubbish Bin by Gullam footbridge,,,Rubbish Bin,,,,,
1770617.7958,5444583.4746,211,Tilley Tilt,Trentham Memorial Park,{FCDDAF8B-E91E-4E2A-B543-E3C3B6FBFEE5},Rubbish Bin,Bin adjacent to Brentwood St carpark,,,Rubbish Bin,,,,,
1770773.7654,5444212.4129,212,Tilley Tilt,Trentham Memorial Park,{1D47351A-2517-4993-9D37-588D8D3788FE},Rubbish Bin,"Fixed metal slat next to sign 11, over the bridge at Fergusson Dve entrance North end.",,,Rubbish Bin,,,,,
1773602.9605,5445125.2085,213,Tilley Tilt,Civic Centre,{9D9ABA43-1803-40C6-9101-8FEC002EA7BD},Rubbish Bin,Rubbish Bin in Lawn Area at rear of Civic Building,,,Rubbish Bin,,,,,
1773583.7915,5445117.4701,214,Timber,Civic Centre,{C16D799E-E457-45FA-8DEB-069281FE70DC},Picnic Table,Timber on steel posts mounted on concrete pad,,,Picnic Table,,,,,
1773624.1933,5445202.5629,215,Tilley Tilt,Civic Centre,{EB9F69ED-91FF-44A7-9B42-CC5BB0C9E477},Rubbish Bin,Rubbish Bin adjacent to Library entrance,,,Rubbish Bin,,,,,
1768979.2555,5442744.5115,216,Tilley Tilt,Silverstream Park,{1011A5C9-2621-4F26-8994-73BE787C8621},Rubbish Bin,Tilley Tilt stained slat Rubbish Bin,,,Rubbish Bin,,,,,
1768931.0123,5441611.5931,217,Tilley Tilt,Pinehaven Reserve,{6A0299C4-FFAF-43CE-BA55-EB53BFE32A07},Rubbish Bin,Tilly tilt unstained Rubbish Bin,,,Rubbish Bin,,,,,
1771094.6443,5444099.2835,218,Timber,Tawai Park,{CC281959-17A3-447C-96B2-F51C73001953},Picnic Table,Painted metal with timber seats & top on concrete pad,,,Picnic Table,,,,,
1771092.7109,5444097.1416,219,Tilley Tilt,Tawai Park,{E867D3D9-D130-4A74-8879-3F17090884A3},Rubbish Bin,Tilly wooden slat tilt bin unstained,,,Rubbish Bin,,,,,
1767961.5345,5443375.874,220,Tilley Tilt,County Lane,{926F5206-FB26-4B40-9EB0-9D57633444FA},Rubbish Bin,Rubbish Bin at right side of Gate,,,Rubbish Bin,,,,,
1775827.9396,5447663.6158,221,44 Gallon,Harcourt Park,{1B0958A7-5868-4148-B9F0-D780FC90CF15},Rubbish Bin,44 gallon drum,,,Rubbish Bin,,,LCARTER,2024/08/30 01:37:10+00,
1777399.2599,5452197.9861,222,44 Gallon,Karapoti Reserve,{D7BA82A5-DA94-4797-9940-9D1329E17C50},Rubbish Bin,Rubbish Bin with stell mounts,,,Rubbish Bin,,,,,
