SportAreaID,ServiceStatus,SportCode,SportLevel,SportBookingOrganisation,SportSeason,SportSurface,CommissionDate,AreaNumber,AreaName,LongDescription,SeasonStartDate,SeasonEndDate,MidSeasonBreakStartDate,MidSeasonBreakEndDate,TrainingDays,MatchDays,ParkName,InContract,ContractArea,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
1359,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,41m SSE of Centre of Park,,,,,,,Staveley Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,62.3087222219313,242.47310196471
1361,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2006/03/29 00:00:00+00,,Basketball Half Court,12m NW of Centre of Park,,,,,,,Six Silvers Reserve,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,37.2684581339726,86.6020366870868
1362,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2008/07/14 00:00:00+00,,Basketball Half Court,20m NNE of Centre of Park,,,,,,,Forgan Reserve,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,37.9710275352454,90.0492510935974
1363,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2002/07/01 00:00:00+00,,Basketball Half Court,38m N of Centre of Park,,,,,,,Francis Reserve,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,67.4141670503364,280.766786801207
1365,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,62m E of Centre of Park,,,,,,,Auburn Reserve,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,56.3305180718703,193.738646686596
1366,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2023/11/01 00:00:00+00,,Basketball Half Court,87m S of Centre of Park,,,,,,,Harrington Park,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,59.5521528869595,221.525539202521
1367,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/03/31 00:00:00+00,,Basketball Half Court,199m N of Centre of Park,,,,,,,Jellie Park,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,53.9867981124546,179.700050915431
1369,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/09/30 00:00:00+00,,Basketball Half Court,130m NNW of Centre of Park,,,,,,,Bishopdale Park,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,55.6491937383856,189.94618620699
1370,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2008/05/02 00:00:00+00,,Basketball Half Court,73m NW of Centre of Park,,,,,,,Morrison Avenue Bowling Club,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,51.1208755646994,163.681153967356
1371,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,53m SSE of Centre of Park,,,,,,,Paddington Playground,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,63.727100017754,253.603529208281
1372,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,51m NNW of Centre of Park,,,,,,,Holliss Reserve,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,50.3297346987085,151.676014565075
1373,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2004/07/01 00:00:00+00,,Basketball Half Court,72m WSW of Centre of Park,,,,,,,Waltham Park,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,58.2931007130099,212.140285056836
1375,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/08/07 00:00:00+00,,Basketball Semi Circle Court,7m N of Centre of Park,,,,,,,Hereford Playground,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,42.0515876652976,114.840126457381
1376,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/08/10 00:00:00+00,,Basketball Half Court,75m SSW of Centre of Park,,,,,,,Linwood Park,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,63.3185806364506,250.455227500693
1377,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/07/01 00:00:00+00,,Basketball Half Court,106m SE of Centre of Park,,,,,,,Woolston Park,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,52.1389750767881,169.881779255012
1378,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,59m NNE of Centre of Park,,,,,,,Shirley Community Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,55.6131454619506,190.783254507794
1379,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2023/08/01 00:00:00+00,,Basketball Half Court,311m SSW of Centre of Park,,,,,,,Burwood Park,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,56.1814370122024,192.879645449545
1380,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/07/16 00:00:00+00,,Basketball Half Court,78m SE of Centre of Park,,,,,,,Old School Reserve,Yes,Eastern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,51.9372224284186,154.45515579451
1381,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/06/23 00:00:00+00,,Basketball Full Court,28m ESE of Centre of Park,,,,,,,Bromley Old School Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,94.351316063491,532.13532133916
1382,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/08/22 00:00:00+00,,Basketball Half Court,45m WSW of Centre of Park,,,,,,,Bromley Park,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,66.7329136441231,278.252657762105
1383,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,,,,,,,,Aranui Playground,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2026/03/23 09:30:03+00,55.5219495087615,188.645561788641
1385,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,20m NE of Centre of Park,,,,,,,Carisbrook Playground,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,38.6528817817507,81.8176543241429
1386,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,73m NNW of Centre of Park,,,,,,,Te Karoro Karoro Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,59.6705347390836,222.355666573546
1387,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/09/02 00:00:00+00,,Basketball Half Court,454m S of Centre of Park,,,,,,,Rawhiti Domain,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,39.5374186569006,97.6885402229856
1388,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2012/01/31 00:00:00+00,,Basketball Half Court,W of pier ramp,,,,,,,New Brighton Beach Developed,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,63.2482936655688,261.7232406274
1389,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,245m WNW of Centre of Park,,,,,,,Sheldon Park,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,61.8793617225794,239.166431687405
1390,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2009/05/21 00:00:00+00,,Basketball Half Court,13m SSW of Centre of Park,,,,,,,Pagoda Playground,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,40.5759652281326,98.5716002813628
1391,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2006/05/09 00:00:00+00,,Basketball Half Court,19m ESE of Centre of Park,,,,,,,Limes Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,38.733124726711,93.4780267884738
1392,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2008/08/11 00:00:00+00,,Basketball Half Court,46m NNE of Centre of Park,,,,,,,Riverlea Recreation Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,66.6540507415986,276.451911991713
1393,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,2006/05/09 00:00:00+00,,Basketball Half Court,Putake Dv - Titirangi Cres E of Waterway SW cnr,,,,,,,Titirangi Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,67.0757246379533,306.497457275643
1395,In Service,Basketball,Recreational,Unknown,Non-Seasonal,Ashphalt,1995/07/01 00:00:00+00,,Basketball Half Court,132m ESE of Centre of Park,,,,,,,Parklands Reserve,Yes,Northern Contract Area,2013/08/02 11:25:00+00,2025/04/08 08:53:38+00,65.647965407334,269.094743727508
