OBJECTID,Reference,Category,Location,TotalArea,Playground,Reserve_Name,DisplayOrder,Image,Shape__Area,Shape__Length
92,OS33,OpenSpaceNatural,HavelockNorth,4.2377,No,Tauroa Reserve,5,Yes,42430.1396484375,1963.56281749826
93,L53,LinkageUrban,HavelockNorth,0.7495,No,Woodlands Drive Reserve,8,No,7514.029296875,913.696515030374
94,L06,LinkageEcological,HavelockNorth,0.4165,No,Crosses Road Riverbank Reserve,7,No,4113.529296875,934.747256511996
95,OS29,OpenSpaceNatural,Rural,7.1958,No,River Road Recreation Reserve,5,Yes,72064.69140625,1677.60079060646
96,C02,Community,Plains,1.4432,Yes,Bridge Pa Domain,2,Yes,14505.40625,711.072417047189
97,OS23,OpenSpaceMaintained,Plains,0.4720,No,Pakowhai Country Park Carpark,4,Yes,4730.8857421875,300.813320537496
98,L04,LinkageEcological,Plains,0.2909,No,Chesterhope Road Esplanade Reserve,7,Yes,4144.92578125,973.429318457107
99,L26,LinkageEcological,Plains,0.7688,No,Stock Road Esplanade Reserve,7,Yes,7435.611328125,804.778672467156
100,C10,Community,Plains,0.3237,Yes,Essex Crescent Reserve,2,Yes,3244.5732421875,225.169894767948
101,C29,Community,Plains,0.4702,Yes,Ngaruroro Avenue Reserve,2,Yes,4712.908203125,293.508386964454
102,L11,LinkageEcological,Plains,1.0340,No,Essex Crescent Esplanade Reserve,7,Yes,10905.7919921875,1148.4600026223
103,L24,LinkageEcological,Plains,0.0960,No,State Highway 2 Esplanade Reserve,7,No,1011.7734375,137.818923453417
104,SR05,SportRecreation,Plains,11.2701,Yes,Farndon Park,1,Yes,113205.6015625,2675.72732935893
105,C14,Community,Plains,0.0770,Yes,Gregory Park,2,No,771.5302734375,117.902321184874
106,C11,Community,Plains,1.1052,Yes,Evers-Swindell Reserve,2,Yes,11047.921875,687.29445700735
107,L01,LinkageEcological,Plains,0.1289,No,Allens Lane Esplanade Reserve,7,No,1248.0966796875,404.833623218714
108,L05,LinkageEcological,Plains,0.1949,No,Clive River Esplanade Reserves,7,Yes,2479.2470703125,757.027975307478
109,L08,LinkageEcological,Plains,0.1012,No,Elizabeth Place Esplanade Reserve,7,No,1228.0078125,364.739534220491
110,L12,LinkageEcological,Plains,0.0136,No,Ferry Road Esplanade Reserve,7,No,140.314453125,53.2456727318086
111,L19,LinkageEcological,Plains,0.1110,No,Mill Road Esplanade Reserves,7,Yes,1152.2041015625,387.695906290685
112,L29,LinkageEcological,Plains,0.1341,No,Tucker Lane Esplanade Reserve,7,Yes,1634.896484375,446.790581125751
113,CH01,Cultural,Plains,0.0146,No,Clive Cenotaph,6,No,384.6142578125,87.8927497787296
114,C15,Community,Plains,3.5543,Yes,Haumoana Memorial Park,2,No,35711.20703125,898.777347791321
115,C04,Community,Plains,0.4663,No,Cavell Park,2,No,4671.77734375,341.349349044445
116,CS06,CivicSpace,Plains,0.1424,No,Haumoana Hall,9,No,1436.8955078125,152.802942038511
117,OS13,OpenSpaceMaintained,Plains,0.4247,No,Mill Road Reserves,4,No,4255.279296875,441.755246157231
118,OS09B,OpenSpaceNatural,Plains,5.7307,No,Clive Grange (Haumoana Beachfront),5,Yes,57307.5537109375,2511.6832784062
119,L13,LinkageEcological,Plains,0.2333,No,Gow Avenue Esplanade Reserve,7,No,2428.412109375,460.660514184829
120,C32,Community,Plains,0.1898,No,Oregon Road Reserve,2,No,1902.2548828125,177.41198870266
121,C43,Community,Plains,2.5080,Yes,Te Awanga Domain,2,Yes,25157.8505859375,1448.41426369103
122,L03,LinkageEcological,Rural,12.0000,No,Charlton Road Esplanade Reserve,7,No,148589.360351562,11426.4851663651
123,OS03,OpenSpaceMaintained,Rural,11.5722,No,Clifton Domain,4,No,138480.875976562,3743.41014919792
124,C12,Community,Rural,0.5534,No,Gillies Crescent Reserve,2,Yes,5510.91796875,284.829481183944
125,CS14,CivicSpace,Rural,0.1993,No,Waimarama and Maraetotara Memorial Hall,9,No,2034.294921875,193.392446165752
