X,Y,SportsEquipmentID,Type,ServiceStatus,Ownership,Responsibility,Maintenance,LocationCertainty,InstallationCompany,OwnerType,ContractArea,InContract,Artwork,Construction,SurfaceFinish,SurveyDate,CommissionDate,DonorName,FallHeight,NumberOfAssets,SiteName,Photo,PhotographURL,AssetLongDescription,Comment,SAPInternalReference,IDSAssetUniqueID,LastEditDate
1563584.5299,5181708.2854,311295,Goal posts,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Eastern Contract Area,No,,Metal,Painted,2021/08/08 00:00:00+00,,,6.9000001,,PRK_0201 - Crosbie Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20210808/SportsE080879/SportsE080879.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20210808/SportsE080879/SportsE080879.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20210808/SportsE080879/SportsE080879.jpg,West field - West goal posts,,IE000000000011478812,79,2021/11/05 09:43:04+00
1573795.5214,5179425.9183,311296,Tennis Net,In Service,CCC,Park,Park,Survey Accurate,Not In List,Council,Northern Contract Area,No,,Rope,None,2021/11/21 00:00:00+00,2019/05/22 00:00:00+00,,1.1,,PRK_0835 - Linwood Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211145/SportsE211145.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211145/SportsE211145.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211145/SportsE211145.jpg,West tennis court net,,IE000000000011484892,45,2021/12/24 08:43:24+00
1573806.9808,5179415.6007,311297,Tennis Net,In Service,CCC,Park,Park,Survey Accurate,Not In List,Council,Northern Contract Area,No,,Rope,None,2021/11/21 00:00:00+00,2019/05/22 00:00:00+00,,1.1,,PRK_0835 - Linwood Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211144/SportsE211144.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211144/SportsE211144.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211144/SportsE211144.jpg,East tennis court net,,IE000000000011484893,44,2021/12/24 08:43:24+00
1573810.2204,5179443.4276,311298,Basketball Hoop,In Service,CCC,Park,Park,Survey Accurate,Not In List,Council,Northern Contract Area,No,,Steel,Galvanised,2021/11/21 00:00:00+00,2019/05/22 00:00:00+00,,3.9000001,,PRK_0835 - Linwood Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211143/SportsE211143.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211143/SportsE211143.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211143/SportsE211143.jpg,South basketball hoop on southern court,,IE000000000011484894,43,2021/12/24 08:43:24+00
1573829.4039,5179464.6987,311299,Basketball Hoop,In Service,CCC,Park,Park,Survey Accurate,Not In List,Council,Northern Contract Area,No,,Steel,Galvanised,2021/11/21 00:00:00+00,2019/05/22 00:00:00+00,,3.9000001,,PRK_0835 - Linwood Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211142/SportsE211142.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211142/SportsE211142.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20211121/SportsE211142/SportsE211142.jpg,North basket ball hoop on southern court,,IE000000000011484895,42,2021/12/24 08:43:24+00
1568646.6269,5182354.1552,311300,Cricket Net,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Metal,None,2022/08/16 00:00:00+00,1900/01/01 00:00:00+00,,3,,PRK_0590 - Elmwood Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220816/SportsE1608102/SportsE1608102.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220816/SportsE1608102/SportsE1608102.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20220816/SportsE1608102/SportsE1608102.jpg,Cricket net on artificial turf SE of sports pavilion,,IE000000000011502987,102,2022/10/21 09:37:58+00
1566311.944,5184898.4048,311313,Skateboard Ramp,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Concrete,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,1.5,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301021/SportsE301021.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301021/SportsE301021.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301021/SportsE301021.jpg,North ramp in smaller skateboard area,,IE000000000011510833,21,2022/12/09 12:36:13+00
1566309.0679,5184875.9248,311314,Skateboard Rail,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Metal,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,0.5,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301022/SportsE301022.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301022/SportsE301022.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301022/SportsE301022.jpg,Skateboard box rail in South-East corner of skatepark,,IE000000000011510834,22,2022/12/09 12:36:06+00
1566302.5383,5184873.2329,311315,Skateboard Rail,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Metal,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,0.30000001,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301023/SportsE301023.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301023/SportsE301023.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301023/SportsE301023.jpg,Rail in South area of skatepark,,IE000000000011510835,23,2022/12/09 12:32:08+00
1566290.173,5184883.3396,311316,Skateboard Ramp,In Service,CCC,Park,Park,Survey Accurate,Unknown,Council,Northern Contract Area,No,,Concrete,None,2022/10/30 00:00:00+00,2021/12/09 00:00:00+00,,1.7,,PRK_0322 - Bishopdale Park,"<table><tr><td><a href=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301024/SportsE301024.jpg""><img src=""https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301024/SportsE301024.jpg"" style=""width:150px;height:auto;""""></a></td></tr></table>",https://gis.ccc.govt.nz/Image/ManMade/ParkAsset/20221030/SportsE301024/SportsE301024.jpg,Rider ramp in South-East corner of skatepark,,IE000000000011510836,24,2022/12/09 12:38:42+00
