Name,Park,Season,Use_,Park_Season,Entire_Park,OBJECTID,GlobalID,Shape,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
Entire Park Area,Timberlea Park,All Year,Multiple Uses,Timberlea Park - All Year,Yes,55,{925A9BEB-E95B-4AE1-A68E-0BB4CADC7F50},,,,LCARTER,2023/11/22 22:33:26+00,33662.12236574,708.862450710371
Entire Park Area,California Park,All Year,Multiple Uses,California Park - All Year,Yes,56,{F4BE22EA-359F-496D-AEEC-52C47C45AA14},,,,LCARTER,2023/11/22 22:33:26+00,43138.657437335,865.409639871654
Entire Park Area,Savage Park,All Year,Multiple Uses,Savage Park - All Year,Yes,57,{38326172-0663-4F35-B2FC-ABCB46452747},,,,LCARTER,2023/11/22 22:33:26+00,5186.42400484,356.889968587268
Entire Park Area,Moonshine Park,All Year,Multiple Uses,Moonshine Park - All Year,Yes,58,{94076742-FB7D-4EF8-A194-0E46586DA8D8},,,,LCARTER,2023/11/22 22:33:26+00,113928.07068629,2416.69600869107
Entire Park Area,Silverstream Park,All Year,Multiple Uses,Silverstream Park - All Year,Yes,59,{1D51F287-BB4F-4A2D-AF9F-E5543C339428},,,,LCARTER,2023/11/22 22:33:26+00,5496.432847145,345.501617226554
Entire Park Area,Riverbank Park,All Year,Multiple Uses,Riverbank Park - All Year,Yes,60,{307F51FA-B4D9-4188-A415-2F49893DD289},,,,LCARTER,2023/11/22 22:33:26+00,6975.42591688,402.38340101693
Entire Park Area,Moehau Park,All Year,Multiple Uses,Moehau Park - All Year,Yes,61,{A0A7A9FA-F86A-4C71-8679-95AECC165DEC},,,,LCARTER,2023/11/22 22:33:26+00,31859.967074455,971.499447409927
Entire Park Area,Ngāti Tama Park,All Year,Multiple Uses,Ngāti Tama Park - All Year,Yes,62,{6F0CB7CB-F2D2-47D4-B46F-AD08A464134B},,,,LCARTER,2023/11/22 22:33:26+00,46428.584544655,896.909992992199
Stage Area,Harcourt Park,All Year,Multiple Uses,Harcourt Park - All Year,No,71,{CA30C7B4-F291-48EC-BB32-D14CB5D0DDAD},,,,LCARTER,2023/11/22 22:33:26+00,2351.53863517,173.465888976699
Stage,Harcourt Park,All Year,Multiple Uses,Harcourt Park - All Year,No,74,{AB0931AA-4A62-4643-9FEA-FAB360B0E4A6},,,,LCARTER,2023/11/22 22:33:26+00,242.98258533,62.0908420766872
Symbol - All Year,,All Year,Multiple Uses,,No,85,{8002C986-8F3F-4A49-A71C-6F42D3FC275A},,LCARTER,2023/11/02 22:37:06+00,LCARTER,2023/11/22 22:33:26+00,,
South Field,Awa Kairangi Park,All Year,Multiple Uses,Awa Kairangi Park - All Year,No,88,{80EA9D18-FAA6-4F09-904C-6FE70BDA4041},,LCARTER,2024/02/14 05:01:30+00,LCARTER,2024/03/15 01:44:51+00,52893.13677041,991.659140449862
Tennis Court 4,Maidstone Park,All Year,Tennis,Maidstone Park - All Year,No,90,{448A71F6-CEE6-4535-B51F-432BABA99FC1},,LCARTER,2025/07/21 04:02:57+00,LCARTER,2025/07/21 04:16:38+00,260.935007445,69.0325066123089
Tennis Court 3,Maidstone Park,All Year,Tennis,Maidstone Park - All Year,No,91,{837295BC-835D-4EAE-8247-A5D1352EA6ED},,LCARTER,2025/07/21 04:02:57+00,LCARTER,2025/07/21 04:16:38+00,260.935007445,69.0325066123089
Tennis Court 2,Maidstone Park,All Year,Tennis,Maidstone Park - All Year,No,92,{2685ED15-EBB5-4B6E-9559-33A07F713E0A},,LCARTER,2025/07/21 04:02:57+00,LCARTER,2025/07/21 04:16:38+00,260.935007445,69.0325066123089
Tennis Court 1,Maidstone Park,All Year,Tennis,Maidstone Park - All Year,No,93,{7A067D94-DD10-4C33-9D75-B51B34BB7D6D},,LCARTER,2025/07/21 04:02:57+00,LCARTER,2025/07/21 04:02:57+00,260.935007445,69.0325066123089
Lights (Tennis Courts 3 and 4),Maidstone Park,All Year,Tennis,Maidstone Park - All Year,No,99,{DF1CFED2-A630-48E9-ACA2-5C997ADD8BE7},,LCARTER,2025/07/21 06:42:51+00,LCARTER,2025/07/21 07:54:42+00,976.86473032,125.39220342907
Lights (Tennis Courts 1 and 2),Maidstone Park,All Year,Tennis,Maidstone Park - All Year,No,100,{33CF62DA-DA47-41E5-88EB-CA57406876B6},,LCARTER,2025/07/21 06:58:45+00,LCARTER,2025/07/21 07:54:42+00,976.86473032,125.39220342907
