Team,Played,Won,Lost,Drawn,Points For,Points Against,Point Diff,Tries For,Tries Against,BP,Log Points
South Africa,6,4,2,0,208,151,57,27,19,2,19
New Zealand,6,4,2,0,159,151,8,21,17,2,19
Australia,6,2,4,0,152,165,-13,21,17,2,11
Argentina,6,2,4,0,162,214,-52,14,30,0,10
