Decade,Games Played,Won,Lost,Drawn,Win %
1900s,14,11,1,2,78.57%
1910s,10,8,2,0,80.00%
1920s,14,7,6,1,50.00%
1930s,22,14,7,1,63.64%
1940s,10,4,6,0,40.00%
1950s,30,22,7,1,73.33%
1960s,42,35,4,3,83.33%
1970s,45,27,15,3,60.00%
1980s,57,45,9,3,78.95%
1990s,92,68,22,2,73.91%
2000s,122,100,21,1,81.97%
2010s,133,116,13,4,87.22%
2020–2025,60,48,11,1,80.00%
