RESERVE_NA,Alternative_Park_Name,Type,OBJECTID,UNITID,COMPKEY,COMPTYPE,Managed,Owner,Hectares,In_Parks_Maintenance_Contract,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
California Park,California Park,Community Park,35,CALIFORNIA-PARK,87977,18,Yes,UHCC,5.01417022,Yes,{75B4A331-A36E-4437-969A-45312534855D},,,,,50139.528583215,1080.28383772165
Turon Park,Turon Park,Community Park,37,TURON-PARK,87943,18,Yes,UHCC,0.21041071,Yes,{8E158CDB-1C46-47A9-8599-9C4F7BC940EE},,,,,2104.00581915,207.829676838736
Denver Grove Reserve,Denver Grove Reserve,Community Park,38,DENVER-RESERVE,88488,18,Yes,UHCC,0.11682133,No,{9FDB9438-88A0-46B2-961E-E2FB80649B42},,,,,1168.158156525,191.909528661166
Dunns Park,Dunns Park,Neighbourhood Park,39,DUNNS-PARK,87498,18,Yes,UHCC,0.94305789,Yes,{9F051685-57AE-407E-A342-0A9FFB959574},,,,,9429.645063255,730.021743839076
Ward/Miro Green Area,Ward/Miro Green Area,Community Park,40,WARD/MIRO-PARK,87560,18,Yes,UHCC,0.53735498,Yes,{12074AD1-6DD8-4F8C-9E67-D50991FFB654},,,,,5348.80684481,294.548367594033
Tapestry Grove Reserve,Tapestry Grove Reserve,Neighbourhood Park,41,TAPESTRY-PARK,87580,18,Yes,UHCC,0.17353779,Yes,{60F77B18-ACD3-4D99-B42D-1C057E1D67D8},,,,,1716.21548011,308.477163131652
Willow Park,Willow Park,Neighbourhood Park,42,WILLOW-PARK,87598,18,Yes,UHCC,0.22137589,Yes,{A5224CCB-C321-41C8-9227-CAAF0FCD1E6C},,,,,2213.54724123,357.071886823087
Duncraig Crescent Reserve,Duncraig Crescent Reserve,Neighbourhood Park,44,DUNCRAIG-PARK,87895,18,Yes,UHCC,0.20279763,Yes,{C184D2B2-6858-49D9-B5E5-EC332A951E2C},,,,,2027.77175915,220.533518850639
Pinehaven Reserve,Pinehaven Reserve,Community Park,45,PINEHAVEN-PARK,87654,18,Yes,UHCC,4.99282608,Yes,{825E27E8-E5E4-4C64-81AD-F400897088EE},,,,,49923.54654797,1035.53354357248
Birchville Park,Birchville Park,Community Park,46,BIRCHVILLE-PARK,87686,18,Yes,UHCC,3.10896029,Yes,{D26AD10C-C682-4413-8093-3B36CCA71179},,,,,31088.826622235,795.428983256897
Clyma Park,Clyma Park,Community Park,47,CLYMA-PARK,87780,18,Yes,UHCC,2.68841905,Yes,{B5F224F3-D820-4B15-8CBB-76FC664F180F},,,,,26882.561493095,1036.55306407675
Oxford Park,Oxford Park,Community Park,48,OXFORD-PARK,87813,18,Yes,UHCC,1.16264531,Yes,{410371C1-33DC-46D3-A97B-F7CC6FD8FF31},,,,,11625.80589382,636.973490938493
Savage Park,Savage Park,Community Park,49,SAVAGE-PARK,87833,18,Yes,UHCC,0.73000422,Yes,{E72D68C2-BCBC-4D37-A5AF-0424D523C146},,,,,7299.631207805,676.556894413566
McLeod Street Play Area,McLeod Street Play Area,Community Park,51,MCLEOD-PLAYGROUND,87758,18,Yes,UHCC,0.16923921,Yes,{28C84624-BE85-402B-B64B-7F51CEC641CD},,,,,1692.27687868,165.618952368039
Silverstream Scenic Reserve,Silverstream Scenic Reserve,Nature Reserve,52,SILVSCENE-RESERVE,88128,18,Yes,DOC,67.50728492,Yes,{ADD605F5-267B-4094-B6F6-FF5E1D5DDCC4},,,,,674994.75710363,3752.72753537732
Keith George Memorial Park,Keith George Memorial Park,Nature Reserve,53,KEITH-RESERVE,88127,18,Yes,UHCC,63.49386805,Yes,{40297FFF-E389-4B74-86F8-8547EED2EBA1},,,,,634862.485273285,6844.33540413348
Tulsa Park,Tulsa Park,Neighbourhood Park,56,TULSA-PARK,87958,18,Yes,UHCC,1.2635149,Yes,{0CAD0F08-322D-4DF0-8BE9-C65CD359806F},,,,,12634.51705237,494.763918880195
Hoggard Park,Hoggard Park,Community Park,57,HOGGARD-PARK,88392,18,Yes,UHCC,0.29080819,Yes,{6B30845F-AA00-47BA-AB03-3AB8DE0E150E},,,,,2907.963990815,221.196779103509
Doris Nicholson Reserve,Doris Nicholson Reserve,Community Park,59,DORIS-RESERVE,88495,18,Yes,UHCC,0.19106766,Yes,{94DA5555-0C4F-4AAF-9282-FFEEDF099167},,,,,1912.03623359,336.392020777471
Awa Kairangi Park,Awa Kairangi Park,Community Park,60,AWAKAIRANGI-PARK,88518,18,Yes,GWRC,14.65591046,Yes,{1D0E1F00-72B1-43AE-B64F-69B99B9066C1},,,,,146553.53371602,2390.50466103301
Oaklands Reserve,Oaklands Reserve,Neighbourhood Park,61,OAKLANDS-RESERVE,88634,18,Yes,UHCC,0.17351254,Yes,{EEC5DDD0-1F0D-4B6F-9412-F1D161A61740},,,,,1810.857498125,191.02646354097
Whakatiki Park,Whakatiki Park,Community Park,62,WHAKATIKI-PARK,88900,18,Yes,UHCC,5.71266263,Yes,{2789CAA0-C32F-463C-9DD5-4E3A87A663F7},,,,,57122.57178129,1317.4150309822
Moonshine Park,Moonshine Park,Neighbourhood Park,63,MOONSHINE-PARK,88182,18,Yes,GWRC,10.91808344,Yes,{6FA0B857-31EF-422C-AFBA-1F01C694EECA},,,,,140360.28789203,2589.37909000012
Pine Avenue Park,Pine Avenue Park,Neighbourhood Park,64,PINEAV-PARK,88761,18,Yes,GWRC,2.93969856,Yes,{CF04771D-02D7-4FD1-B0C7-753DAF72AF19},,,,,29395.0723106,2551.37019370379
Kaitoke Hill Scenic Reserve,Kaitoke Hill Scenic Reserve,Nature Reserve,65,KAITOKEHILL-RESERVE,88894,18,Yes,DOC,11.21245832,Yes,{27D7C50D-D890-4CD2-B672-490E77AC325F},,,,,112125.12752061,1751.50219245849
Harcourt Park,Harcourt Park,Destination Park,66,HARCOURT-PARK,88231,18,Yes,UHCC,12.42281548,Yes,{3F4BC877-B397-4928-8741-F70571D6C1A3},,,,,124223.39047447,1465.30240042993
