SportFieldID,ServiceStatus,SportCode,SportLevel,SportBookingOrganisation,SportSeason,SportSurface,FieldNumber,FieldName,LongDescription,SeasonStartDate,SeasonEndDate,MidSeasonBreakStartDate,MidSeasonBreakEndDate,TrainingDays,MatchDays,ParkName,InContract,ContractArea,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
2317,In Service,Softball,Senior,Christchurch City Council,Summer,Grass,1,Senior Softball 1,,2022/10/01 00:00:00+00,2023/03/26 00:00:00+00,2022/12/19 00:00:00+00,2023/01/13 00:00:00+00,"Tuesday,Wednesday,Thursday",,Cypress Garden Reserve,No,,2022/09/15 11:05:06+00,2024/09/03 12:51:29+00,99.1154340899268,690.606483791712
2318,In Service,Football,Senior,Christchurch City Council,Winter,Grass,2,Senior Football 2,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Nunweek Park,Yes,,2023/05/08 15:20:17+00,2024/06/18 12:56:28+00,295.254753858361,5059.69108113896
2319,In Service,Football,Senior,Christchurch City Council,Winter,Grass,4,Senior Football 4,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Tulett Park,Yes,,2023/05/08 16:03:12+00,2024/06/18 12:56:29+00,279.755555273142,4817.91463028256
2320,In Service,Football,Senior,Christchurch City Council,Winter,Grass,2,Senior Football 2,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Te Kahu Park,Yes,,2023/05/08 16:11:29+00,2024/06/18 12:57:01+00,346.778777579008,6990.17533764675
2321,In Service,Football,Junior,Christchurch City Council,Winter,Grass,1,Junior Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Te Kahu Park,Yes,,2023/05/10 11:31:40+00,2024/06/18 12:53:18+00,345.002725152798,6964.62815201389
2322,In Service,Football,Senior,Christchurch City Council,Winter,Grass,1,Senior Football 1,,2024/04/06 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Addington Park,Yes,,2023/08/16 09:01:14+00,2024/06/18 12:57:08+00,369.293179051325,7883.49454957544
2323,In Service,Football,Junior,Christchurch City Council,Winter,Grass,1,Junior Football 1,,2024/04/27 00:00:00+00,2024/09/01 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday","Saturday,Sunday",Westminster Park,Yes,,2023/08/16 09:07:43+00,2024/06/18 12:53:43+00,205.73468458093,2533.05644600583
2324,In Service,Rugby,Senior,Christchurch City Council,Winter,Grass,2,Senior Rugby Union 2,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Sunday,Hagley Park North,Yes,,2023/08/29 15:05:51+00,2024/06/18 12:59:14+00,381.190458722378,8624.14173090344
2326,In Service,Rugby,Senior,Christchurch City Council,Winter,Grass,1,Senior Rugby Union 1,,2024/04/13 00:00:00+00,2024/08/31 00:00:00+00,,,"Monday,Tuesday,Wednesday,Thursday,Friday",Saturday,Macfarlane Park,Yes,,2023/08/29 15:19:10+00,2024/06/18 13:00:01+00,357.03548183386,7492.40937175858
2328,In Service,American Football,Junior,Christchurch City Council,Summer,Grass,2,Junior American Football 2,,2023/09/13 15:00:00+00,2024/03/31 18:00:00+00,2023/12/21 19:00:00+00,2024/01/14 15:00:00+00,"Tuesday,Wednesday,Thursday,Friday,Saturday",Friday,Marshland Domain,,,2023/09/04 12:12:14+00,2023/09/04 12:21:50+00,150.277042560114,1188.76157750877
