DPMotorSportNoiseID,CreatedByPlanChangeIdentifier,RemovedByPlanChangeIdentifier,LegalStatus,NoiseBoundaryClassification,ScheduleReference,PopupText,CreateDate,LastEditDate,SHAPE_Length,SHAPE_Area
4,Prior to June 2022,,Operative,Ruapuna Inner Noise Boundary,,,,2016/06/03 18:47:49+00,7625.62676744779,4475180.67251146
5,Prior to June 2022,,Operative,Ruapuna Outer Noise Boundary,,,,2016/06/03 18:47:49+00,18634.8714258393,4780983.23502681
