Year as at February,Industry,Industry Code,Measure,Value,Value Unit,Value Label,Null Reason
2023,Other mining support services,B1090,Enterprises,219,number,Number of enterprises,
2023,"Textile fibre, yarn and woven fabric manufacturing",C131,Employee count,770,number,Number of employees,
2023,Industrial gas manufacturing,C1811,Employee count,310,number,Number of employees,
2023,Other electronic equipment manufacturing,C2429,Enterprises,198,number,Number of enterprises,
2023,Tyre retailing,G3922,Enterprises,513,number,Number of enterprises,
2023,Internet publishing and broadcasting,J5700,Enterprises,270,number,Number of enterprises,
2023,Other depository financial intermediation,K6229,Enterprises,12,number,Number of enterprises,
2023,Education and training,P,Employee count,200300,number,Number of employees,
2023,Casino operation,R9201,Employee count,3500,number,Number of employees,
2024,Grape growing,A0131,Employee count,2300,number,Number of employees,
2024,Other livestock farming,A019,Enterprises,3027,number,Number of enterprises,
2024,"Rope, cordage and twine manufacturing",C1332,Enterprises,21,number,Number of enterprises,
2024,Knitted product manufacturing,C1340,Employee count,650,number,Number of employees,
2024,Other manufacturing n.e.c.,C2599,Enterprises,570,number,Number of enterprises,
2024,Other electricity generation,D2619,Employee count,70,number,Number of employees,
2024,Other waste collection services,D2919,Enterprises,132,number,Number of enterprises,
2024,House construction,E3011,Employee count,36600,number,Number of employees,
2024,Motor vehicle and motor vehicle parts retailing,G39,Employee count,20700,number,Number of employees,
2024,Clothing retailing,G4251,Employee count,16600,number,Number of employees,
2024,Cafes and restaurants,H4511,Employee count,79400,number,Number of employees,
2024,Water freight transport,I4810,Employee count,870,number,Number of employees,
2024,Postal and courier pick-up and delivery services,I510,Enterprises,3831,number,Number of enterprises,
2024,Architectural services,M6921,Employee count,7200,number,Number of employees,
2024,Museum operation,R8910,Enterprises,207,number,Number of enterprises,
2000,Fruit and vegetable processing,C1140,Employee count,6000,number,Number of employees,
2000,"Potato, corn and other crisp manufacturing",C1191,Enterprises,0,number,Number of enterprises,
2000,Motor vehicle manufacturing,C2311,Employee count,220,number,Number of employees,
2000,"Pump, compressor, heating and ventilation equipment manufacturing",C245,Enterprises,102,number,Number of enterprises,
2000,Painting and decorating services,E3244,Enterprises,3588,number,Number of enterprises,
2000,"Mineral, metal and chemical wholesaling",F332,Enterprises,837,number,Number of enterprises,
2000,Other machinery and equipment wholesaling,F349,Employee count,17600,number,Number of employees,
2000,Clothing and footwear wholesaling,F3712,Employee count,1850,number,Number of employees,
2000,Floor coverings retailing,G4212,Employee count,1350,number,Number of employees,
2000,Stevedoring services,I5211,Enterprises,39,number,Number of enterprises,
2000,Free-to-air television broadcasting,J5621,Enterprises,36,number,Number of enterprises,
2000,Real estate services,L6720,Employee count,6600,number,Number of employees,
2000,Residential care services,Q860,Enterprises,1008,number,Number of enterprises,
2000,Child care services,Q8710,Enterprises,681,number,Number of enterprises,
2001,Dairy cattle farming,A0160,Employee count,16600,number,Number of employees,
2001,Beverage and tobacco product manufacturing,C12,Enterprises,303,number,Number of enterprises,
2001,"Leather tanning, fur dressing and leather product manufacturing",C1320,Enterprises,147,number,Number of enterprises,
2001,Human pharmaceutical and medicinal product manufacturing,C1841,Employee count,990,number,Number of employees,
2001,"Fixed space heating, cooling and ventilation equipment manufacturing",C2452,Enterprises,81,number,Number of enterprises,
2001,Waste collection services,D291,Enterprises,372,number,Number of enterprises,
2001,Motor cycle retailing,G3912,Employee count,980,number,Number of employees,
2001,Sound recording and music publishing,J552,Employee count,120,number,Number of employees,
2001,General insurance,K6322,Enterprises,81,number,Number of enterprises,
2001,Other auxiliary finance and investment services,K6419,Employee count,4300,number,Number of employees,
2001,Corporate head office management services,M6961,Employee count,2150,number,Number of employees,
2001,"Automotive body, paint and interior repair",S9412,Enterprises,2043,number,Number of enterprises,
2002,Stone fruit growing,A0135,Enterprises,282,number,Number of enterprises,
2002,Other fruit and tree nut growing,A0139,Employee count,1400,number,Number of employees,
2002,Forestry,A0301,Employee count,1150,number,Number of employees,
2002,Clothing and footwear manufacturing,C135,Enterprises,1041,number,Number of enterprises,
2002,Sanitary paper product manufacturing,C1524,Enterprises,6,number,Number of enterprises,
2002,Adhesive manufacturing,C1915,Employee count,190,number,Number of employees,
2002,Transport equipment manufacturing,C23,Enterprises,1443,number,Number of enterprises,
2002,Other furniture manufacturing,C2519,Employee count,640,number,Number of employees,
2002,Tiling and carpeting services,E3243,Employee count,1250,number,Number of employees,
2002,Liquor and tobacco product wholesaling,F3606,Enterprises,192,number,Number of enterprises,
2002,Libraries and archives,J6010,Enterprises,30,number,Number of enterprises,
2002,Local government administration,O7530,Employee count,22800,number,Number of employees,
2002,Photographic film processing,S9532,Enterprises,216,number,Number of enterprises,
2003,Other basic polymer manufacturing,C1829,Enterprises,51,number,Number of enterprises,
2003,Fertiliser and pesticide manufacturing,C183,Employee count,1700,number,Number of employees,
2003,"Aluminium rolling, drawing, extruding",C2142,Employee count,1750,number,Number of employees,
2003,Electricity distribution,D2630,Enterprises,42,number,Number of enterprises,
2003,"Water supply, sewerage and drainage services",D281,Employee count,520,number,Number of employees,
2003,Other heavy and civil engineering construction,E3109,Enterprises,852,number,Number of enterprises,
2003,Department stores,G4260,Enterprises,18,number,Number of enterprises,
2003,Antique and used goods retailing,G4273,Employee count,1450,number,Number of employees,
2003,Non-store and commission-based retailing,G43,Enterprises,1299,number,Number of enterprises,
2003,Clubs (hospitality),H4530,Enterprises,399,number,Number of enterprises,
2003,Administrative services,N72,Employee count,47200,number,Number of employees,
2003,Employment placement and recruitment services,N7211,Enterprises,696,number,Number of enterprises,
2003,Office administrative services,N7291,Employee count,2550,number,Number of employees,
2004,Mushroom and vegetable growing,A012,Employee count,7700,number,Number of employees,
2004,Other fishing,A0419,Enterprises,252,number,Number of enterprises,
2004,"Cement, lime, plaster and concrete product manufacturing",C203,Enterprises,315,number,Number of enterprises,
2004,Ready-mixed concrete manufacturing,C2033,Employee count,1900,number,Number of employees,
2004,Spring and wire product manufacturing,C2291,Employee count,880,number,Number of employees,
2004,Professional and scientific equipment manufacturing,C241,Enterprises,324,number,Number of enterprises,
2004,Wholesale trade,F,Employee count,95400,number,Number of employees,
2004,Fruit and vegetable wholesaling,F3605,Employee count,3150,number,Number of employees,
2004,Publishing (except internet and music publishing),J54,Enterprises,810,number,Number of enterprises,
2004,Other goods and equipment rental and hiring,L663,Employee count,6900,number,Number of employees,
2005,Nursery production (under cover),A0111,Employee count,1150,number,Number of employees,
2005,Gold ore mining,B0804,Enterprises,45,number,Number of enterprises,
2005,Wine and other alcoholic beverage manufacturing,C1214,Employee count,4250,number,Number of employees,
2005,"Copper, silver, lead and zinc smelting and refining",C2133,Enterprises,0,number,Number of enterprises,
2005,"Clothing, footwear and personal accessories retailing",G425,Employee count,19400,number,Number of employees,
2005,Airport operations and other air transport support services,I5220,Enterprises,87,number,Number of enterprises,
2005,Higher education,P8102,Enterprises,60,number,Number of enterprises,
2005,Sport and physical recreation activities,R911,Employee count,12800,number,Number of employees,
2006,Manufacturing,C,Enterprises,22533,number,Number of enterprises,
2006,Grain mill product manufacturing,C1161,Enterprises,15,number,Number of enterprises,
2006,Basic chemical and chemical product manufacturing,C18,Employee count,8300,number,Number of employees,
2006,Machine tool and parts manufacturing,C2463,Enterprises,261,number,Number of enterprises,
2006,Manchester and other textile goods retailing,G4214,Enterprises,456,number,Number of enterprises,
2006,Other motor vehicle and transport equipment rental and hiring,L6619,Employee count,740,number,Number of employees,
2006,Tertiary education,P810,Enterprises,459,number,Number of enterprises,
2006,Optometry and optical dispensing,Q8532,Enterprises,354,number,Number of enterprises,
2006,Other repair and maintenance n.e.c.,S9499,Employee count,520,number,Number of employees,
2006,Personal and other services,S95,Enterprises,10674,number,Number of enterprises,
2007,"Fishing, hunting and trapping",A04,Enterprises,1587,number,Number of enterprises,
2007,"Soft drink, cordial and syrup manufacturing",C1211,Enterprises,81,number,Number of enterprises,
2007,Other petroleum and coal product manufacturing,C1709,Employee count,170,number,Number of employees,
2007,Communication equipment manufacturing,C2422,Enterprises,36,number,Number of enterprises,
2007,Landscape construction services,E3291,Employee count,4050,number,Number of employees,
2007,Motor vehicle parts retailing,G3921,Enterprises,159,number,Number of enterprises,
2007,Clothing retailing,G4251,Enterprises,2148,number,Number of enterprises,
2007,Other water transport support services,I5219,Employee count,1150,number,Number of employees,
2007,Television broadcasting,J562,Enterprises,39,number,Number of enterprises,
2007,Veterinary services,M6970,Enterprises,585,number,Number of enterprises,
2007,Labour association services,S9552,Employee count,1050,number,Number of employees,
2008,Rock lobster and crab potting,A0411,Enterprises,264,number,Number of enterprises,
2008,Sugar and confectionery manufacturing,C118,Enterprises,105,number,Number of enterprises,
2008,"Pulp, paper and converted paper product manufacturing",C15,Enterprises,99,number,Number of enterprises,
2008,Cosmetic and toiletry preparation manufacturing,C1852,Employee count,420,number,Number of employees,
2008,Residential building construction,E301,Employee count,20100,number,Number of employees,
2008,Concreting services,E3221,Enterprises,1128,number,Number of enterprises,
2008,Structural steel erection services,E3224,Employee count,470,number,Number of employees,
2008,Urban bus transport (including tramway),I4622,Enterprises,654,number,Number of enterprises,
2008,Rail passenger transport,I4720,Employee count,3450,number,Number of employees,
2008,Pipeline and other transport,I502,Enterprises,369,number,Number of enterprises,
2008,"Other publishing (except software, music and internet)",J5419,Employee count,75,number,Number of employees,
2008,School education,P802,Employee count,89600,number,Number of employees,
2008,Dental services,Q8531,Employee count,4650,number,Number of employees,
2009,Gravel and sand quarrying,B0911,Enterprises,75,number,Number of enterprises,
2009,Other food product manufacturing n.e.c.,C1199,Employee count,5400,number,Number of employees,
2009,Iron smelting and steel manufacturing,C2110,Employee count,1600,number,Number of employees,
2009,Other machinery and equipment manufacturing,C249,Employee count,10300,number,Number of employees,
2009,Solid waste collection services,D2911,Enterprises,336,number,Number of enterprises,
2009,Timber wholesaling,F3331,Employee count,590,number,Number of employees,
2009,Textile product wholesaling,F3711,Employee count,1350,number,Number of employees,
2009,Other store-based retailing n.e.c.,G4279,Enterprises,3960,number,Number of enterprises,
2009,Library and other information services,J60,Employee count,720,number,Number of employees,
2009,Central banking,K6210,Employee count,300,number,Number of employees,
2009,Employment services,N721,Enterprises,1491,number,Number of enterprises,
2009,"Building cleaning, pest control and gardening services",N731,Employee count,25000,number,Number of employees,
2009,Public administration,O75,Enterprises,153,number,Number of enterprises,
2009,Secondary education,P8022,Enterprises,345,number,Number of enterprises,
2009,Sports and physical recreation administrative service,R9114,Employee count,2350,number,Number of employees,
2010,Floriculture production (under cover),A0114,Employee count,520,number,Number of employees,
2010,Ice cream manufacturing,C1132,Enterprises,24,number,Number of enterprises,
2010,Wood product manufacturing,C14,Employee count,16800,number,Number of employees,
2010,Prefabricated wooden building manufacturing,C1491,Employee count,150,number,Number of employees,
2010,Basic non-ferrous metal product manufacturing,C214,Enterprises,63,number,Number of enterprises,
2010,"Aluminium rolling, drawing, extruding",C2142,Enterprises,24,number,Number of enterprises,
2010,Metal coating and finishing,C2293,Enterprises,318,number,Number of enterprises,
2010,Other electrical and electronic goods wholesaling,F3494,Enterprises,1146,number,Number of enterprises,
2010,Commercial vehicle wholesaling,F3502,Employee count,690,number,Number of employees,
2010,Accommodation and food services,H,Enterprises,18051,number,Number of enterprises,
