Year as at February,Industry,Industry Code,Measure,Value,Value Unit,Value Label,Null Reason
2000,Beef cattle farming (specialised),A0142,Employee count,2850,number,Number of employees,
2000,Coal mining,B0600,Enterprises,24,number,Number of enterprises,
2000,Other wood product manufacturing,C149,Enterprises,1626,number,Number of enterprises,
2000,Other polymer product manufacturing,C1919,Employee count,2800,number,Number of employees,
2000,Other fabricated metal product manufacturing n.e.c.,C2299,Enterprises,1134,number,Number of enterprises,
2000,Furniture and other manufacturing,C25,Enterprises,2844,number,Number of enterprises,
2000,Glazing services,E3245,Employee count,800,number,Number of employees,
2000,Textile product wholesaling,F3711,Enterprises,294,number,Number of enterprises,
2000,Port and water transport terminal operations,I5212,Employee count,2150,number,Number of employees,
2000,Cable and other subscription broadcasting,J5622,Employee count,550,number,Number of employees,
2000,"Rental, hiring and real estate services",L,Employee count,20900,number,Number of employees,
2000,Non-residential property operators,L6712,Enterprises,36639,number,Number of enterprises,
2000,Other social assistance services,Q8790,Employee count,13500,number,Number of employees,
2000,Brothel keeping and prostitution services,S9534,Enterprises,78,number,Number of enterprises,
2001,Other crop growing n.e.c.,A0159,Enterprises,399,number,Number of enterprises,
2001,Textile floor covering manufacturing,C1331,Employee count,1250,number,Number of employees,
2001,Pesticide manufacturing,C1832,Enterprises,9,number,Number of enterprises,
2001,Solid waste collection services,D2911,Employee count,1100,number,Number of employees,
2001,"Waste treatment, disposal and remediation services",D292,Employee count,1550,number,Number of employees,
2001,Other store-based retailing n.e.c.,G4279,Employee count,7400,number,Number of employees,
2001,Public administration,O75,Employee count,48300,number,Number of employees,
2001,Heritage activities,R89,Enterprises,213,number,Number of enterprises,
2001,Other repair and maintenance,S949,Employee count,700,number,Number of employees,
2002,Basic non-ferrous metal product manufacturing,C214,Employee count,2200,number,Number of employees,
2002,Metal coating and finishing,C2293,Employee count,1500,number,Number of employees,
2002,Machinery and equipment manufacturing,C24,Employee count,27100,number,Number of employees,
2002,Sport and camping equipment retailing,G4241,Enterprises,792,number,Number of enterprises,
2002,Broadcasting (except Internet),J56,Enterprises,168,number,Number of enterprises,
2002,Property operators,L671,Employee count,5300,number,Number of employees,
2002,Accounting services,M6932,Enterprises,3447,number,Number of enterprises,
2002,Parking services,S9533,Employee count,420,number,Number of employees,
2003,Longline and rack (offshore) aquaculture,A0201,Enterprises,273,number,Number of enterprises,
2003,Agriculture and fishing support services,A052,Employee count,16500,number,Number of employees,
2003,Fertiliser manufacturing,C1831,Employee count,1550,number,Number of employees,
2003,Non-ferrous metal casting,C2141,Enterprises,36,number,Number of enterprises,
2003,Land development and subdivision,E3211,Employee count,630,number,Number of employees,
2003,Petroleum product wholesaling,F3321,Employee count,600,number,Number of employees,
2003,Telecommunication goods wholesaling,F3493,Enterprises,153,number,Number of enterprises,
2003,Book and magazine wholesaling,F3735,Enterprises,159,number,Number of enterprises,
2003,Other warehousing and storage services,I5309,Employee count,2950,number,Number of employees,
2003,Life insurance,K6310,Enterprises,39,number,Number of enterprises,
2003,Hospitals (except psychiatric hospitals),Q8401,Employee count,64000,number,Number of employees,
2003,Health and fitness centres and gymnasia operation,R9111,Employee count,3000,number,Number of employees,
2003,Other services,S,Employee count,58200,number,Number of employees,
2004,Nursery and floriculture production,A011,Enterprises,2160,number,Number of enterprises,
2004,Berry fruit growing,A0133,Enterprises,270,number,Number of enterprises,
2004,Bakery product manufacturing (non-factory based),C1174,Employee count,5200,number,Number of employees,
2004,Log sawmilling,C1411,Employee count,8700,number,Number of employees,
2004,Paper bag manufacturing,C1522,Enterprises,0,number,Number of enterprises,
2004,Other basic chemical product manufacturing n.e.c.,C1899,Enterprises,48,number,Number of enterprises,
2004,Metal furniture manufacturing,C2512,Employee count,1500,number,Number of employees,
2004,Construction,E,Enterprises,44835,number,Number of enterprises,
2004,Air conditioning and heating services,E3233,Enterprises,567,number,Number of enterprises,
2004,Garden supplies retailing,G4232,Employee count,2300,number,Number of employees,
2004,"Pubs, taverns and bars",H4520,Employee count,15200,number,Number of employees,
2004,Road passenger transport,I462,Enterprises,3138,number,Number of enterprises,
2004,Motion picture and sound recording activities,J55,Employee count,3700,number,Number of employees,
2004,Central government administration,O7510,Employee count,29100,number,Number of employees,
2005,Mineral sand mining,B0805,Employee count,0,number,Number of employees,
2005,Non-metallic mineral mining and quarrying,B09,Employee count,1250,number,Number of employees,
2005,Chemical manufacturing,C181,Employee count,1000,number,Number of employees,
2005,Electric cable and wire manufacturing,C2431,Enterprises,9,number,Number of enterprises,
2005,Electricity generation,D261,Enterprises,36,number,Number of enterprises,
2005,Food retailing,G41,Enterprises,5448,number,Number of enterprises,
2005,Auxiliary finance and insurance services,K64,Enterprises,4887,number,Number of enterprises,
2005,Management and related consulting services,M696,Employee count,20500,number,Number of employees,
2005,"Other professional, scientific and technical services n.e.c.",M6999,Enterprises,291,number,Number of enterprises,
2006,Line fishing,A0413,Enterprises,489,number,Number of enterprises,
2006,Glass and glass product manufacturing,C2010,Enterprises,147,number,Number of enterprises,
2006,"Electricity, gas, water and waste services",D,Employee count,11000,number,Number of employees,
2006,Electrical services,E3232,Employee count,11800,number,Number of employees,
2006,Motor vehicle dismantling and used parts wholesaling,F3505,Enterprises,429,number,Number of enterprises,
2006,Water passenger transport,I4820,Employee count,390,number,Number of employees,
2006,Wired telecommunications network operation,J5801,Enterprises,60,number,Number of enterprises,
2006,Passenger car rental and hiring,L6611,Enterprises,1959,number,Number of enterprises,
2006,Physiotherapy services,Q8533,Employee count,1450,number,Number of employees,
2006,Clothing and footwear repair,S9491,Enterprises,99,number,Number of enterprises,
2007,Beef cattle farming (specialised),A0142,Enterprises,11826,number,Number of enterprises,
2007,Beer manufacturing,C1212,Employee count,1450,number,Number of employees,
2007,Petroleum refining and petroleum fuel manufacturing,C1701,Enterprises,15,number,Number of enterprises,
2007,Other electronic equipment manufacturing,C2429,Employee count,2800,number,Number of employees,
2007,Other manufacturing,C259,Employee count,3300,number,Number of employees,
2007,Waste treatment and disposal services,D2921,Enterprises,201,number,Number of enterprises,
2007,Specialised food retailing,G412,Enterprises,2481,number,Number of enterprises,
2007,Footwear retailing,G4252,Employee count,3450,number,Number of employees,
2007,Port and water transport terminal operations,I5212,Enterprises,54,number,Number of enterprises,
2007,Professional photographic services,M6991,Employee count,650,number,Number of employees,
2007,"Public order, safety and regulatory services",O77,Enterprises,1011,number,Number of enterprises,
2007,Police services,O7711,Employee count,11100,number,Number of employees,
2008,Prawn fishing,A0412,Employee count,0,number,Number of employees,
2008,Petroleum exploration,B1011,Employee count,260,number,Number of employees,
2008,Fruit and vegetable processing,C1140,Enterprises,126,number,Number of enterprises,
2008,Other food product manufacturing,C119,Employee count,7200,number,Number of employees,
2008,Printing and reproduction of recorded media,C16,Employee count,11900,number,Number of employees,
2008,Structural metal product manufacturing,C222,Enterprises,1131,number,Number of enterprises,
2008,Architectural aluminium product manufacturing,C2223,Employee count,4400,number,Number of employees,
2008,"Waste treatment, disposal and remediation services",D292,Enterprises,387,number,Number of enterprises,
2008,Motor vehicle new parts wholesaling,F3504,Employee count,3950,number,Number of employees,
2008,Floor coverings retailing,G4212,Enterprises,456,number,Number of enterprises,
2008,Water transport,I48,Enterprises,180,number,Number of enterprises,
2008,Health and general insurance,K632,Employee count,6900,number,Number of employees,
2008,Real estate services,L6720,Enterprises,11547,number,Number of enterprises,
2008,Other machinery and equipment repair and maintenance,S9429,Employee count,3100,number,Number of employees,
2009,Poultry farming,A017,Employee count,1600,number,Number of employees,
2009,Reproduction of recorded media,C1620,Employee count,110,number,Number of employees,
2009,Other non-metallic mineral product manufacturing,C2090,Enterprises,147,number,Number of enterprises,
2009,Industrial and agricultural chemical product wholesaling,F3323,Enterprises,450,number,Number of enterprises,
2009,Stevedoring services,I5211,Employee count,990,number,Number of employees,
2009,Sound recording and music publishing,J552,Enterprises,192,number,Number of enterprises,
2009,Other information services,J6020,Enterprises,36,number,Number of enterprises,
2009,Financial and insurance services,K,Employee count,56400,number,Number of employees,
2009,Combined primary and secondary education,P8023,Employee count,5000,number,Number of employees,
2009,"Sports and physical recreation venues, grounds and facilities operation",R9113,Enterprises,471,number,Number of enterprises,
2010,Turf growing,A0113,Enterprises,12,number,Number of enterprises,
2010,Cheese and other dairy product manufacturing,C1133,Employee count,9500,number,Number of employees,
2010,Timber resawing and dressing,C1413,Enterprises,105,number,Number of enterprises,
2010,Other fabricated metal product manufacturing n.e.c.,C2299,Employee count,5300,number,Number of employees,
2010,"Fixed space heating, cooling and ventilation equipment manufacturing",C2452,Employee count,900,number,Number of employees,
2010,Land development and subdivision,E3211,Enterprises,1602,number,Number of enterprises,
2010,Agricultural product wholesaling,F331,Enterprises,828,number,Number of enterprises,
2010,Furniture retailing,G4211,Employee count,2450,number,Number of employees,
2010,Road freight transport,I4610,Enterprises,4707,number,Number of enterprises,
2010,Rail transport,I47,Employee count,3200,number,Number of employees,
2010,Document preparation services,N7292,Employee count,200,number,Number of employees,
2010,Other health care services,Q859,Enterprises,687,number,Number of enterprises,
2010,Social assistance services,Q87,Enterprises,2328,number,Number of enterprises,
2011,Agriculture,A01,Employee count,79700,number,Number of employees,
2011,Shearing services,A0522,Employee count,5000,number,Number of employees,
2011,Bakery product manufacturing (non-factory based),C1174,Enterprises,1050,number,Number of enterprises,
2011,Clothing and footwear manufacturing,C135,Employee count,3600,number,Number of employees,
2011,Concrete product manufacturing,C2034,Employee count,2850,number,Number of employees,
2011,Aircraft manufacturing and repair services,C2394,Enterprises,249,number,Number of enterprises,
2011,Computer and electronic equipment manufacturing,C242,Enterprises,297,number,Number of enterprises,
2011,Basic material wholesaling,F33,Enterprises,2910,number,Number of enterprises,
2011,Liquor and tobacco product wholesaling,F3606,Employee count,1050,number,Number of employees,
2011,Motion picture and video activities,J551,Employee count,3650,number,Number of employees,
2011,Libraries and archives,J6010,Employee count,130,number,Number of employees,
2011,"Other professional, scientific and technical services",M699,Enterprises,1425,number,Number of enterprises,
2012,Nursery production (outdoors),A0112,Employee count,1800,number,Number of employees,
2012,Non-metallic mineral mining and quarrying,B09,Enterprises,219,number,Number of enterprises,
2012,Polymer film and sheet packaging material manufacturing,C1911,Enterprises,57,number,Number of enterprises,
2012,Computer and computer peripheral wholesaling,F3492,Enterprises,360,number,Number of enterprises,
2012,Motion picture exhibition,J5513,Enterprises,90,number,Number of enterprises,
2012,Educational support services,P8220,Employee count,1300,number,Number of employees,
2012,Other allied health services,Q8539,Enterprises,3018,number,Number of enterprises,
2012,Lottery operation,R9202,Enterprises,39,number,Number of enterprises,
2013,Wine and other alcoholic beverage manufacturing,C1214,Enterprises,384,number,Number of enterprises,
2013,Corrugated paperboard and paperboard container manufacturing,C1521,Enterprises,24,number,Number of enterprises,
2013,Railway rolling stock manufacturing and repair services,C2393,Employee count,9,number,Number of employees,
2013,Electricity transmission,D2620,Enterprises,3,number,Number of enterprises,
2013,"Textile, clothing and footwear wholesaling",F371,Enterprises,966,number,Number of enterprises,
2013,Book and magazine wholesaling,F3735,Employee count,820,number,Number of employees,
2013,Hardware and building supplies retailing,G4231,Employee count,16000,number,Number of employees,
2013,Other personal accessory retailing,G4259,Enterprises,84,number,Number of enterprises,
2013,Water passenger transport,I4820,Enterprises,87,number,Number of enterprises,
2013,Scientific testing and analysis services,M6925,Employee count,3150,number,Number of employees,
2013,Fire protection and other emergency services,O7713,Enterprises,84,number,Number of enterprises,
2013,Sport and physical recreation activities,R911,Enterprises,4479,number,Number of enterprises,
2014,Beekeeping,A0193,Employee count,1200,number,Number of employees,
2014,Other mining support services,B1090,Enterprises,213,number,Number of enterprises,
2014,Meat and meat product manufacturing,C111,Employee count,29200,number,Number of employees,
2014,Basic chemical and chemical product manufacturing,C18,Enterprises,513,number,Number of enterprises,
2014,Other basic chemical product manufacturing n.e.c.,C1899,Employee count,240,number,Number of employees,
2014,Ceramic product manufacturing,C202,Enterprises,129,number,Number of enterprises,
2014,"Copper, silver, lead and zinc smelting and refining",C2133,Employee count,3,number,Number of employees,
2014,Professional and scientific goods wholesaling,F3491,Employee count,2350,number,Number of employees,
2014,Tyre retailing,G3922,Enterprises,465,number,Number of enterprises,
2014,Road passenger transport,I462,Employee count,9600,number,Number of employees,
2014,"Data processing, web hosting and electronic information storage services",J592,Employee count,1700,number,Number of employees,
2014,Non-depository financing,K6230,Employee count,1600,number,Number of employees,
2014,Auxiliary finance and investment services,K641,Enterprises,3168,number,Number of enterprises,
2014,Casino operation,R9201,Employee count,4450,number,Number of employees,
2015,Grape growing,A0131,Employee count,2800,number,Number of employees,
2015,"Pulp, paper and paperboard manufacturing",C1510,Employee count,2400,number,Number of employees,
2015,Landscape construction services,E3291,Enterprises,2403,number,Number of enterprises,
2015,"Grocery, liquor and tobacco product wholesaling",F360,Employee count,22200,number,Number of employees,
2015,Postal and courier pick-up and delivery services,I510,Enterprises,3429,number,Number of enterprises,
2015,Other water transport support services,I5219,Enterprises,219,number,Number of enterprises,
2015,Auxiliary finance and insurance services,K64,Employee count,13100,number,Number of employees,
2015,"Professional, scientific and technical services",M,Enterprises,56031,number,Number of enterprises,
2015,Investigation and security services,O7712,Employee count,10100,number,Number of employees,
2015,Museum operation,R8910,Enterprises,174,number,Number of enterprises,
2015,Creative and performing arts activities,R900,Employee count,2500,number,Number of employees,
2015,Personal and other services,S95,Employee count,43700,number,Number of employees,
2016,Mineral exploration,B1012,Employee count,40,number,Number of employees,
2016,"Rope, cordage and twine manufacturing",C1332,Enterprises,24,number,Number of enterprises,
2016,Mining and construction machinery manufacturing,C2462,Enterprises,30,number,Number of enterprises,
2016,Other waste collection services,D2919,Enterprises,84,number,Number of enterprises,
2016,Residential building construction,E301,Enterprises,18720,number,Number of enterprises,
2016,Motor vehicle and motor vehicle parts retailing,G39,Employee count,18000,number,Number of employees,
2016,Motor vehicle parts retailing,G3921,Employee count,1800,number,Number of employees,
2016,Non-store retailing,G4310,Enterprises,1971,number,Number of enterprises,
2016,Passenger car rental and hiring,L6611,Employee count,3650,number,Number of employees,
2016,Call centre operation,N7294,Enterprises,84,number,Number of enterprises,
2016,Combined primary and secondary education,P8023,Enterprises,129,number,Number of enterprises,
2017,Beef cattle farming (specialised),A0142,Employee count,3900,number,Number of employees,
2017,Coal mining,B0600,Enterprises,24,number,Number of enterprises,
2017,Cheese and other dairy product manufacturing,C1133,Enterprises,102,number,Number of enterprises,
2017,Other wood product manufacturing,C149,Enterprises,1311,number,Number of enterprises,
2017,Other polymer product manufacturing,C1919,Employee count,3250,number,Number of employees,
2017,Other fabricated metal product manufacturing n.e.c.,C2299,Enterprises,927,number,Number of enterprises,
2017,Furniture and other manufacturing,C25,Enterprises,2475,number,Number of enterprises,
2017,Glazing services,E3245,Employee count,1550,number,Number of employees,
2017,Trailer and other motor vehicle wholesaling,F3503,Employee count,160,number,Number of employees,
2017,Textile product wholesaling,F3711,Enterprises,279,number,Number of enterprises,
2017,Pipeline and other transport,I502,Employee count,320,number,Number of employees,
2017,Cable and other subscription broadcasting,J5622,Employee count,1450,number,Number of employees,
2017,Other social assistance services,Q8790,Employee count,18600,number,Number of employees,
2018,Agriculture,A01,Enterprises,52065,number,Number of enterprises,
2018,Textile floor covering manufacturing,C1331,Employee count,720,number,Number of employees,
2018,Solid waste collection services,D2911,Employee count,2350,number,Number of employees,
2018,"Waste treatment, disposal and remediation services",D292,Employee count,3600,number,Number of employees,
2018,Newspaper publishing,J5411,Enterprises,150,number,Number of enterprises,
2018,Public administration,O75,Employee count,79600,number,Number of employees,
2018,Psychiatric hospitals,Q8402,Enterprises,6,number,Number of enterprises,
2018,Other repair and maintenance,S949,Employee count,770,number,Number of employees,
2019,Sugar manufacturing,C1181,Enterprises,6,number,Number of enterprises,
2019,Basic non-ferrous metal product manufacturing,C214,Employee count,1600,number,Number of employees,
2019,Metal coating and finishing,C2293,Employee count,1400,number,Number of employees,
2019,Machinery and equipment manufacturing,C24,Employee count,29900,number,Number of employees,
2019,Mattress manufacturing,C2513,Enterprises,12,number,Number of enterprises,
2019,Other grocery wholesaling,F3609,Employee count,7200,number,Number of employees,
2019,Sport and camping equipment retailing,G4241,Enterprises,912,number,Number of enterprises,
2019,Road transport,I46,Employee count,40300,number,Number of employees,
2019,Property operators,L671,Employee count,8700,number,Number of employees,
2019,Residential property operators,L6711,Employee count,3450,number,Number of employees,
2019,Allied health services,Q853,Enterprises,8712,number,Number of enterprises,
2019,Parking services,S9533,Employee count,710,number,Number of employees,
2020,Agriculture and fishing support services,A052,Employee count,26800,number,Number of employees,
2020,Exploration and other mining support services,B10,Enterprises,276,number,Number of enterprises,
2020,Basic polymer manufacturing,C182,Enterprises,51,number,Number of enterprises,
2020,Fertiliser manufacturing,C1831,Employee count,2050,number,Number of employees,
2020,Non-ferrous metal casting,C2141,Enterprises,24,number,Number of enterprises,
2020,Petroleum product wholesaling,F3321,Employee count,1400,number,Number of employees,
2020,Book and magazine wholesaling,F3735,Enterprises,78,number,Number of enterprises,
2020,Other warehousing and storage services,I5309,Employee count,5400,number,Number of employees,
2020,Life insurance,K6310,Enterprises,30,number,Number of enterprises,
2020,Health and fitness centres and gymnasia operation,R9111,Employee count,5100,number,Number of employees,
2021,Nursery and floriculture production,A011,Enterprises,636,number,Number of enterprises,
2021,Berry fruit growing,A0133,Enterprises,192,number,Number of enterprises,
2021,Log sawmilling,C1411,Employee count,5200,number,Number of employees,
2021,Computer and electronic equipment manufacturing,C242,Employee count,4000,number,Number of employees,
2021,Metal furniture manufacturing,C2512,Employee count,480,number,Number of employees,
2021,Construction,E,Enterprises,70971,number,Number of enterprises,
2021,Building completion services,E324,Employee count,20000,number,Number of employees,
2021,Road passenger transport,I462,Enterprises,3321,number,Number of enterprises,
2021,Motion picture and sound recording activities,J55,Employee count,2900,number,Number of employees,
2021,Central government administration,O7510,Employee count,52000,number,Number of employees,
2021,Chiropractic and osteopathic services,Q8534,Enterprises,921,number,Number of enterprises,
2022,Mineral sand mining,B0805,Employee count,6,number,Number of employees,
2022,Spirit manufacturing,C1213,Enterprises,126,number,Number of enterprises,
2022,Chemical manufacturing,C181,Employee count,1250,number,Number of employees,
2022,Electric cable and wire manufacturing,C2431,Enterprises,51,number,Number of enterprises,
2022,Electricity generation,D261,Enterprises,81,number,Number of enterprises,
2022,Fuel retailing,G4000,Enterprises,672,number,Number of enterprises,
2022,Watch and jewellery retailing,G4253,Enterprises,333,number,Number of enterprises,
2022,Financial asset investing,K6240,Employee count,2750,number,Number of employees,
2022,Management and related consulting services,M696,Employee count,33500,number,Number of employees,
2022,"Other professional, scientific and technical services n.e.c.",M6999,Enterprises,1467,number,Number of enterprises,
2022,Lottery operation,R9202,Employee count,230,number,Number of employees,
2022,Private households employing staff,S9601,Employee count,0,number,Number of employees,
2023,Kiwifruit growing,A0132,Employee count,3250,number,Number of employees,
2023,Line fishing,A0413,Enterprises,282,number,Number of enterprises,
2023,Beverage manufacturing,C121,Enterprises,921,number,Number of enterprises,
2023,Explosives manufacturing,C1892,Employee count,140,number,Number of employees,
2023,Glass and glass product manufacturing,C2010,Enterprises,147,number,Number of enterprises,
2023,Metal roof and guttering manufacturing (except aluminium),C2224,Enterprises,75,number,Number of enterprises,
2023,"Electricity, gas, water and waste services",D,Employee count,21800,number,Number of employees,
2023,Electrical services,E3232,Employee count,19700,number,Number of employees,
2023,Motor vehicle dismantling and used parts wholesaling,F3505,Enterprises,405,number,Number of enterprises,
2023,Water passenger transport,I4820,Employee count,640,number,Number of employees,
2023,Water transport support services,I521,Enterprises,369,number,Number of enterprises,
2023,Motion picture and video production,J5511,Employee count,1000,number,Number of employees,
2023,Passenger car rental and hiring,L6611,Enterprises,717,number,Number of enterprises,
2023,Physiotherapy services,Q8533,Employee count,3600,number,Number of employees,
2023,Clothing and footwear repair,S9491,Enterprises,117,number,Number of enterprises,
2024,Beef cattle farming (specialised),A0142,Enterprises,10815,number,Number of enterprises,
2024,Beer manufacturing,C1212,Employee count,2300,number,Number of employees,
2024,Petroleum refining and petroleum fuel manufacturing,C1701,Enterprises,3,number,Number of enterprises,
2024,Other electronic equipment manufacturing,C2429,Employee count,2950,number,Number of employees,
2024,Other manufacturing,C259,Employee count,3350,number,Number of employees,
2024,Hydro-electricity generation,D2612,Employee count,2950,number,Number of employees,
2024,Specialised food retailing,G412,Enterprises,3096,number,Number of enterprises,
2024,Footwear retailing,G4252,Employee count,3600,number,Number of employees,
2024,Insurance and superannuation funds,K63,Employee count,12000,number,Number of employees,
2024,"Public order, safety and regulatory services",O77,Enterprises,1272,number,Number of enterprises,
2024,Special school education,P8024,Enterprises,57,number,Number of enterprises,
2024,Parks and gardens operations,R892,Employee count,5500,number,Number of employees,
2000,Floriculture production (outdoors),A0115,Enterprises,1470,number,Number of enterprises,
2000,Oil and fat manufacturing,C1150,Employee count,310,number,Number of employees,
2000,Concreting services,E3221,Enterprises,717,number,Number of enterprises,
2000,Timber and hardware goods wholesaling,F333,Enterprises,897,number,Number of enterprises,
2000,Houseware retailing,G4213,Employee count,620,number,Number of employees,
2000,Other store-based retailing n.e.c.,G4279,Enterprises,3615,number,Number of enterprises,
2000,Library and other information services,J60,Employee count,510,number,Number of employees,
2000,Call centre operation,N7294,Employee count,1100,number,Number of employees,
2000,Secondary education,P8022,Enterprises,348,number,Number of enterprises,
2001,Logging,A0302,Employee count,4200,number,Number of employees,
2001,Iron smelting and steel manufacturing,C2110,Employee count,1900,number,Number of employees,
2001,Basic non-ferrous metal product manufacturing,C214,Enterprises,69,number,Number of enterprises,
2001,Structural steel fabricating,C2221,Employee count,2550,number,Number of employees,
2001,Metal coating and finishing,C2293,Enterprises,318,number,Number of enterprises,
2001,Domestic appliance manufacturing,C244,Enterprises,39,number,Number of enterprises,
2001,Pumps and compressor manufacturing,C2451,Enterprises,30,number,Number of enterprises,
2001,Commercial vehicle wholesaling,F3502,Employee count,820,number,Number of employees,
2001,Commission-based wholesaling,F3800,Enterprises,996,number,Number of enterprises,
2001,Financial asset broking services,K6411,Employee count,1450,number,Number of employees,
2001,Advertising services,M6940,Enterprises,1104,number,Number of enterprises,
2001,Public order and safety services,O771,Enterprises,771,number,Number of enterprises,
2002,Printing (except printing support services),C1611,Employee count,10300,number,Number of employees,
2002,Polymer foam product manufacturing,C1913,Enterprises,21,number,Number of enterprises,
2002,Site preparation services,E3212,Employee count,5400,number,Number of employees,
2002,Carpentry services,E3242,Employee count,1550,number,Number of employees,
2002,Motor vehicle parts and tyre retailing,G392,Employee count,4400,number,Number of employees,
2002,Music publishing,J5521,Enterprises,6,number,Number of enterprises,
2002,"Building cleaning, pest control and other support services",N73,Employee count,27900,number,Number of employees,
2002,Justice,O7540,Employee count,2350,number,Number of employees,
2002,Heritage activities,R89,Employee count,4800,number,Number of employees,
2002,Other services,S,Enterprises,17979,number,Number of enterprises,
2002,Automotive electrical services,S9411,Enterprises,501,number,Number of enterprises,
2003,Other metal ore mining,B0809,Employee count,35,number,Number of employees,
2003,Sugar manufacturing,C1181,Employee count,200,number,Number of employees,
2003,Log sawmilling,C1411,Enterprises,474,number,Number of enterprises,
2003,Electrical equipment manufacturing,C243,Employee count,3800,number,Number of employees,
2003,On selling electricity and electricity market operation,D2640,Enterprises,12,number,Number of enterprises,
2003,Food and beverage services,H45,Employee count,84100,number,Number of employees,
2003,"Pubs, taverns and bars",H4520,Enterprises,1434,number,Number of enterprises,
2003,Accounting services,M6932,Employee count,13700,number,Number of employees,
2003,"Adult, community and other education n.e.c.",P8219,Enterprises,1932,number,Number of enterprises,
2003,Amusement and other recreation activities,R913,Enterprises,801,number,Number of enterprises,
2004,Exploration and other mining support services,B10,Employee count,470,number,Number of employees,
2004,Poultry processing,C1112,Enterprises,21,number,Number of enterprises,
2004,Boatbuilding and repair services,C2392,Enterprises,696,number,Number of enterprises,
2004,Other agricultural product wholesaling,F3319,Employee count,3050,number,Number of employees,
2004,Telecommunication goods wholesaling,F3493,Employee count,1350,number,Number of employees,
2004,Other electrical and electronic goods retailing,G4229,Enterprises,51,number,Number of enterprises,
2004,Data processing and web hosting services,J5921,Employee count,2700,number,Number of employees,
2004,Management and related consulting services,M696,Enterprises,13359,number,Number of enterprises,
2004,Diet and weight reduction centre operation,S9512,Enterprises,21,number,Number of enterprises,
2005,Nursery and floriculture production,A011,Employee count,4950,number,Number of employees,
2005,Pig farming,A0192,Enterprises,360,number,Number of enterprises,
2005,Footwear manufacturing,C1352,Employee count,730,number,Number of employees,
2005,Clay brick manufacturing,C2021,Enterprises,12,number,Number of enterprises,
2005,"Electricity, gas, water and waste services",D,Enterprises,912,number,Number of enterprises,
2005,Electricity distribution,D2630,Employee count,2500,number,Number of employees,
2005,Non-residential building construction,E3020,Employee count,11300,number,Number of employees,
2005,Building installation services,E323,Employee count,24100,number,Number of employees,
2005,Catering services,H4513,Employee count,8500,number,Number of employees,
2005,Customs agency services,I5291,Enterprises,273,number,Number of enterprises,
2005,Arts education,P8212,Employee count,350,number,Number of employees,
2005,Nature reserves and conservation parks operation,R8922,Enterprises,84,number,Number of enterprises,
2006,Meat processing,C1111,Employee count,25600,number,Number of employees,
2006,Shipbuilding and repair services,C2391,Employee count,940,number,Number of employees,
2006,Electric cable and wire manufacturing,C2431,Employee count,600,number,Number of employees,
2006,Other specialised machinery and equipment manufacturing,C2469,Enterprises,72,number,Number of enterprises,
2006,Motor vehicle and motor vehicle parts wholesaling,F350,Enterprises,1770,number,Number of enterprises,
2006,Footwear retailing,G4252,Enterprises,291,number,Number of enterprises,
2006,Insurance and superannuation funds,K63,Enterprises,924,number,Number of enterprises,
2006,"Other professional, scientific and technical services n.e.c.",M6999,Employee count,860,number,Number of employees,
2006,Police services,O7711,Enterprises,6,number,Number of enterprises,
2006,Other personal services,S953,Enterprises,1578,number,Number of enterprises,
2006,Other interest group services n.e.c.,S9559,Employee count,9800,number,Number of employees,
2007,Horse farming,A0191,Employee count,820,number,Number of employees,
2007,Aquaculture,A020,Employee count,430,number,Number of employees,
2007,Exploration,B101,Employee count,360,number,Number of employees,
2007,Glass and glass product manufacturing,C2010,Employee count,1750,number,Number of employees,
2007,Architectural aluminium product manufacturing,C2223,Enterprises,438,number,Number of enterprises,
2007,Metal container manufacturing,C223,Enterprises,69,number,Number of enterprises,
2007,Trailer and other motor vehicle retailing,G3913,Enterprises,84,number,Number of enterprises,
2007,Water transport support services,I521,Employee count,4750,number,Number of employees,
2007,Auxiliary insurance services,K6420,Enterprises,2031,number,Number of enterprises,
2007,Optometry and optical dispensing,Q8532,Employee count,1550,number,Number of employees,
2008,Sheep farming (specialised),A0141,Enterprises,7308,number,Number of enterprises,
2008,"Soft drink, cordial and syrup manufacturing",C1211,Employee count,2150,number,Number of employees,
2008,Reconstituted wood product manufacturing,C1494,Employee count,700,number,Number of employees,
2008,Veterinary pharmaceutical and medicinal product manufacturing,C1842,Enterprises,24,number,Number of enterprises,
2008,Painting and decorating services,E3244,Enterprises,4410,number,Number of enterprises,
2008,Other machinery and equipment wholesaling,F349,Employee count,18700,number,Number of employees,
2008,Retail commission-based buying and/or selling,G4320,Employee count,60,number,Number of employees,
2008,Book publishing,J5413,Enterprises,258,number,Number of enterprises,
2008,Financial and insurance services,K,Enterprises,26985,number,Number of enterprises,
2008,Other administrative services n.e.c.,N7299,Employee count,7000,number,Number of employees,
2008,Defence,O7600,Employee count,14200,number,Number of employees,
2008,"Public order, safety and regulatory services",O77,Employee count,37200,number,Number of employees,
2008,Sports and physical recreation administrative service,R9114,Enterprises,492,number,Number of enterprises,
2009,"Leather tanning, fur dressing and leather product manufacturing",C1320,Enterprises,108,number,Number of enterprises,
2009,"Pump, compressor, heating and ventilation equipment manufacturing",C245,Enterprises,90,number,Number of enterprises,
2009,Jewellery and silverware manufacturing,C2591,Enterprises,384,number,Number of enterprises,
