Year,Survey question,Response,Grouping variable,Category,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Ethnic group,Pacific Peoples,360,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Ethnic group,Asian,664,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Ethnic group,Samoan,186,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Ethnic group,Indian,240,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Ethnic group,Chinese,228,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),School year groupings,Year 0-8,2886,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),School year groupings,Year 9-13,2891,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Lifestage,5-12,2745,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Lifestage,13-17,3145,number,Number of respondents,
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Disability status,Disabled,2549,number,Number of respondents,,"When any of the above statements is rated 'Yes, some difficulty', 'Yes, a lot of difficulty', or 'Cannot do at all'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Disability status,Non-disabled,3336,number,Number of respondents,,"When all of the above statements are rated 'No, no difficulty'"
2023,"Thinking back over the last 7 days (not including today) have you done any physical activity that was specifically for the purpose of sport, exercise or recreation?",Base (All respondents aged 5 to 17),Disability status,"Disabled (rated 'Yes, a lot of difficulty' or Cannot do at all')",593,number,Number of respondents,,"When any of the above statements is rated 'Yes, a lot of difficulty', or 'Cannot do at all'"
