Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Ethnic Group,Pacific Peoples,Total hours volunteered over previous four weeks,Total that volunteered,3409.1,number,Thousands of hours,
2021,Ethnic Group,Asian,Total hours volunteered over previous four weeks,Total that volunteered,2081.3,number,Thousands of hours,
2021,Ethnic Group,European,Average hours volunteered for previous four weeks,Through an Organisation,14.3,number,Hours,
2021,Ethnic Group,Māori,Average hours volunteered for previous four weeks,Through an Organisation,26.4,number,Hours,
2021,Ethnic Group,Pacific Peoples,Average hours volunteered for previous four weeks,Through an Organisation,16.2,number,Hours,
2021,Ethnic Group,Asian,Average hours volunteered for previous four weeks,Through an Organisation,9.6,number,Hours,
2021,Ethnic Group,European,Average hours volunteered for previous four weeks,Directly,12,number,Hours,
2021,Ethnic Group,Māori,Average hours volunteered for previous four weeks,Directly,12.2,number,Hours,
2021,Ethnic Group,Pacific Peoples,Average hours volunteered for previous four weeks,Directly,12.4,number,Hours,
2021,Ethnic Group,Asian,Average hours volunteered for previous four weeks,Directly,7.8,number,Hours,
2021,Ethnic Group,European,Average hours volunteered for previous four weeks,Total that volunteered,16.9,number,Hours,
2021,Ethnic Group,Māori,Average hours volunteered for previous four weeks,Total that volunteered,25.6,number,Hours,
2021,Ethnic Group,Pacific Peoples,Average hours volunteered for previous four weeks,Total that volunteered,19.2,number,Hours,
2021,Ethnic Group,Asian,Average hours volunteered for previous four weeks,Total that volunteered,11,number,Hours,
2021,Ethnic Group,European,Percentage of volunteers by number of hours contributed,Less than 5 hours,32.1,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by number of hours contributed,Less than 5 hours,30.1,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by number of hours contributed,Less than 5 hours,40,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by number of hours contributed,Less than 5 hours,51.8,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by number of hours contributed,5 to 10 hours,12.9,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by number of hours contributed,5 to 10 hours,12.5,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by number of hours contributed,10 to 15 hours,16,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by number of hours contributed,10 to 15 hours,13.1,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by number of hours contributed,10 to 15 hours,5.5,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by number of hours contributed,10 to 15 hours,16.5,percentage,% of people who volunteered,
2021,Ethnic Group,European,Percentage of volunteers by number of hours contributed,15 to 20 hours,6,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by number of hours contributed,15 to 20 hours,10.3,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by number of hours contributed,15 to 20 hours,9.2,percentage,% of people who volunteered,
2021,Ethnic Group,Asian,Percentage of volunteers by number of hours contributed,15 to 20 hours,,percentage,% of people who volunteered,suppressed
2021,Ethnic Group,European,Percentage of volunteers by number of hours contributed,20 to 25 hours,8,percentage,% of people who volunteered,
2021,Ethnic Group,Māori,Percentage of volunteers by number of hours contributed,20 to 25 hours,5.2,percentage,% of people who volunteered,
2021,Ethnic Group,Pacific Peoples,Percentage of volunteers by number of hours contributed,20 to 25 hours,8.1,percentage,% of people who volunteered,
