Year,Cross analysis variable,Category,Measured variable,Response category,Value,Value Unit,Value Label,Null Reason
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",374.7,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,"Social services (eg Civil defence, emergency support, youth groups)",,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",887.3,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",415.3,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,"Environment, conservation or animal protection (eg SPCA, tree planting, Greenpeace)",,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",532.9,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",70.5,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,"Community development or housing (eg marae work, community centres, community support groups)",,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered by type of organisation - over previous four weeks,Other,600.2,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered by type of organisation - over previous four weeks,Other,385.9,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered by type of organisation - over previous four weeks,Other,,number,Thousands of hours,suppressed
2021,Migrant status,Born in NZ,Total hours volunteered - over previous four weeks,Total for organisations,13838.2,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered - over previous four weeks,Total for organisations,4497.7,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered - over previous four weeks,Total for organisations,231,number,Thousands of hours,
2021,Migrant status,Born in NZ,Total hours volunteered - over previous four weeks,Total for organisations and directly combined,26465.6,number,Thousands of hours,
2021,Migrant status,Long-term migrant,Total hours volunteered - over previous four weeks,Total for organisations and directly combined,8148.2,number,Thousands of hours,
2021,Migrant status,Recent migrant,Total hours volunteered - over previous four weeks,Total for organisations and directly combined,458.1,number,Thousands of hours,
2021,Migrant status,Born in NZ,Barriers to volunteering for an organisation,There are no barriers,9.8,percentage,% of people who did not volunteer,
