Year,Training type,Occupation,Value,Value Unit,Value Label,Null Reason
2009,Apprentices,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2010,Apprentices,"Architectural Technicians, Design & Draughting Professionals",5,number,Number of people,
2011,Apprentices,"Architectural Technicians, Design & Draughting Professionals",10,number,Number of people,
2012,Apprentices,"Architectural Technicians, Design & Draughting Professionals",10,number,Number of people,
2013,Apprentices,"Architectural Technicians, Design & Draughting Professionals",10,number,Number of people,
2014,Apprentices,"Architectural Technicians, Design & Draughting Professionals",10,number,Number of people,
2015,Apprentices,"Architectural Technicians, Design & Draughting Professionals",5,number,Number of people,
2016,Apprentices,"Architectural Technicians, Design & Draughting Professionals",5,number,Number of people,
2017,Apprentices,"Architectural Technicians, Design & Draughting Professionals",5,number,Number of people,
2018,Apprentices,"Architectural Technicians, Design & Draughting Professionals",5,number,Number of people,
2009,Apprentices,"Automotive Engineers, Mechanics or Technicians",4035,number,Number of people,
2010,Apprentices,"Automotive Engineers, Mechanics or Technicians",3705,number,Number of people,
2011,Apprentices,"Automotive Engineers, Mechanics or Technicians",3315,number,Number of people,
2012,Apprentices,"Automotive Engineers, Mechanics or Technicians",3050,number,Number of people,
2013,Apprentices,"Automotive Engineers, Mechanics or Technicians",3065,number,Number of people,
2014,Apprentices,"Automotive Engineers, Mechanics or Technicians",3195,number,Number of people,
2015,Apprentices,"Automotive Engineers, Mechanics or Technicians",3115,number,Number of people,
2016,Apprentices,"Automotive Engineers, Mechanics or Technicians",3030,number,Number of people,
2017,Apprentices,"Automotive Engineers, Mechanics or Technicians",3250,number,Number of people,
2018,Apprentices,"Automotive Engineers, Mechanics or Technicians",3835,number,Number of people,
2009,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",815,number,Number of people,
2010,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",620,number,Number of people,
2011,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",450,number,Number of people,
2012,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",290,number,Number of people,
2013,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",245,number,Number of people,
2014,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",335,number,Number of people,
2015,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",315,number,Number of people,
2016,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",295,number,Number of people,
2017,Apprentices,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",315,number,Number of people,
