Year,Measure,Category,Disability status,Age group,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,Participation in leisure activities in the last 4 weeks,Been to a community event like a fair or cultural festival,Non-disabled,5-*,Number,1662,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,Been to a community event like a fair or cultural festival,Non-disabled,5-*,Absolute sampling error (number),44,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Disabled,5-*,Percent,34,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Disabled,5-*,Absolute sampling error (percentage),2.3,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Disabled,5-*,Number,281,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Disabled,5-*,Absolute sampling error (number),20,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Non-disabled,5-*,Percent,52,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Non-disabled,5-*,Absolute sampling error (percentage),1,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Non-disabled,5-*,Number,2087,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to an event like a concert, stage show, movie, or sports match",Non-disabled,5-*,Absolute sampling error (number),46,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Disabled,5-*,Percent,23,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Disabled,5-*,Absolute sampling error (percentage),1.9,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Disabled,5-*,Number,191,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Disabled,5-*,Absolute sampling error (number),18,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Non-disabled,5-*,Percent,33,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Non-disabled,5-*,Absolute sampling error (percentage),0.9,percentage,% of people aged 5+,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Non-disabled,5-*,Number,1309,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Participation in leisure activities in the last 4 weeks,"Been to a public attraction like an art gallery, museum, historic site, or zoo",Non-disabled,5-*,Absolute sampling error (number),40,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
