Year,Training type,Grouping variable,Category,Occupation,Value,Value Unit,Value Label,Null Reason
2018,Apprentices,Gender,Female,"Architectural Technicians, Design & Draughting Professionals",5,number,Number of people,
2018,Apprentices,Age group,40-49,Boat Building & Sailmaking Professionals,25,number,Number of people,
2018,Apprentices,Age group,*-19,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Age group,20-29,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Age group,30-39,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Age group,40-49,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Age group,50+,"Architectural Technicians, Design & Draughting Professionals",0,number,Number of people,
2018,Apprentices,Ethnic group,European,"Automotive Engineers, Mechanics or Technicians",3160,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Automotive Engineers, Mechanics or Technicians",500,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Automotive Engineers, Mechanics or Technicians",180,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Automotive Engineers, Mechanics or Technicians",195,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Automotive Engineers, Mechanics or Technicians",85,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Automotive Engineers, Mechanics or Technicians",50,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Automotive Engineers, Mechanics or Technicians",3835,number,Number of people,
2018,Apprentices,Gender,Male,"Automotive Engineers, Mechanics or Technicians",3745,number,Number of people,
2018,Apprentices,Gender,Female,"Automotive Engineers, Mechanics or Technicians",90,number,Number of people,
2018,Apprentices,Age group,*-19,"Automotive Engineers, Mechanics or Technicians",855,number,Number of people,
2018,Apprentices,Age group,20-29,"Automotive Engineers, Mechanics or Technicians",2365,number,Number of people,
2018,Apprentices,Age group,30-39,"Automotive Engineers, Mechanics or Technicians",470,number,Number of people,
2018,Apprentices,Age group,40-49,"Automotive Engineers, Mechanics or Technicians",125,number,Number of people,
2018,Apprentices,Age group,50+,"Automotive Engineers, Mechanics or Technicians",25,number,Number of people,
2018,Apprentices,Ethnic group,European,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",240,number,Number of people,
2018,Apprentices,Ethnic group,Māori,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",65,number,Number of people,
2018,Apprentices,Ethnic group,Pacific Peoples,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",25,number,Number of people,
2018,Apprentices,Ethnic group,Asian,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",20,number,Number of people,
2018,Apprentices,Ethnic group,MELAA,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",10,number,Number of people,
2018,Apprentices,Ethnic group,Other,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",5,number,Number of people,
2018,Apprentices,Ethnic group,Total,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",325,number,Number of people,
2018,Apprentices,Gender,Male,"Automotive Panel Repairers, Paint Finishers, Motor Trimmers",305,number,Number of people,
